"and %s more posts","et %s messages supplémentaires"
"and %s more products, listed in the XML sitemap","et %s autres produits, listés dans le Plan du site XML"
"Attribute","Attribut"
"Availability","Disponibilité"
"Backorder","Pré-commande"
"Blog","Blogue"
"Brand","Marque"
"Cache Lifetime (seconds)","Durée de vie du cache (secondes)"
"Description","Libellé"
"Enabled","Activé"
"from %s to %s","de %s à %s"
"Image","Image"
"Images","Images"
"In stock","En stock"
"Limited availability","Disponibilité limitée"
"Markdown for AI agents","Markdown pour les agents IA"
"Not Found","Non Trouvé"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Un préfixe d'itinéraire par ligne, en tant que module/contrôleur/action. Seules ces pages obtiennent une version markdown. Une route a besoin d'un moteur de rendu déclaré dans un fichier config.xml."
"Options","Options"
"Out of stock","En rupture de stock"
"Price","Prix"
"Product","Produit"
"Products","Produits"
"Published","Publié"
"regular price %s","Prix régulier %s"
"Routes","Routes"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serve une version markdown d'une page lorsque la requête envoie <code>Accept: text/markdown</code> ou quand l'URL se termine par <code>. d</code>. Les navigateurs gardent la page HTML. Les pages HTML annoncent la version markdown avec un entête <code>Lien</code>."
"Specifications","Caractéristiques"
"Subcategories","Sous-catégories"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Le markdown est mis en cache avec le cache de sortie HTML des Blocs. Un produit, catégorie, page ou sauvegarde de post efface son entrée. 0 désactive le cache."
"There are no posts yet.","Il n'y a pas encore de messages."
"There are no products in this category.","Il n'y a aucun produit dans cette catégorie."
"This page has no markdown version.","Cette page n'a pas de version markdown."
"Value","Valeur"
