"Actions","Azioni"
"An error occurred while marking notification as read.","Si è verificato un errore durante la marcatura della notifica come letta."
"An error occurred while marking the messages as read.","Si è verificato un errore durante la marcatura dei messaggi come letti."
"An error occurred while removing messages.","Si è verificato un errore durante l'eliminazione dei messaggi."
"An error occurred while removing the message.","Si è verificato un errore durante l'eliminazione del messaggio."
"Are you sure?","Sei sicuro?"
"critical","critico"
"Date Added","Data Inserimento"
"Last Update","Ultimo aggiornamento"
"major","maggiore"
"Mark as Read","Segna come già letto"
"Mark as read","Marca come già letto"
"Message","Messaggio"
"Messages Inbox","Messaggi in arrivo"
"minor","minore"
"notice","nota"
"Notifications","Notifiche"
"Please select messages.","Si prega di selezionare i messaggi."
"Read Details","Maggiori dettagli"
"Remove","Elimina"
"Severity","Gravità"
"Show List","Mostra lista"
"Show Toolbar","Mostra Toolbar"
"The message has been marked as read.","Il messaggio è stato contrassegnato come letto."
"The message has been removed.","Il messaggio è stato eliminato."
"Total of %d record(s) have been marked as read.","Totale di %d record(i) sono stati contrassegnati come letti."
"Total of %d record(s) have been removed.","Totale di %d record(s) sono stati rimossi."
"Unable to proceed. Please, try again.","Impossibile procedere. Per favore, riprova."
"Update Frequency","Frequenza di aggiornamento"
"Wrong message type","TIpo messaggio errato"
