"%s","%s"
"%s role is a special one and can't be changed.","Il ruolo di %s è speciale e non può essere modificato."
"%s role is a special one and can't be deleted.","Il ruolo di %s è speciale e non può essere eliminato."
"%s role is protected.","Il ruolo di %s è protetto."
"ACL Attribute Rules","Regole degli Attributi ACL"
"ACL Attributes Information","Informazioni Attributi ACL"
"Add","Aggiungi"
"Add Admin Role","Aggiungi Ruolo Admin"
"Add New Role","Aggiungi Nuovo Ruolo"
"Address Type","Tipo di indirizzo"
"Admin","Amministratore"
"Allow","Permetti"
"An error occurred while deleting the role.","Si è verificato un errore durante l'eliminazione del ruolo."
"An error occurred while saving attribute rules.","Si è verificato un errore durante il salvataggio delle regole degli attributi."
"An error occurred while saving role.","Si è verificato un errore durante il salvataggio del ruolo."
"Api Rules Information","Informazioni Regole API"
"Assigned","Assegnato"
"Associate to Website","Associa al Sito"
"Attribute Rules Information","Informazioni Regole Attributo"
"Attribute Set","Set di attributi"
"Attributes","Attributi"
"Automatically Return Credit Memo Item to Stock","Restituisci automaticamente la nota di credito elemento all'inventario"
"Back","Indietro"
"Backorders","Inevasi"
"Base Currency","Valuta di base"
"Base Customer Balance","Saldo Cliente di Base"
"Base Discount","Sconto di base"
"Base Discount Amount","Importo Sconto di Base"
"Base Item Subtotal","Subtotale Articolo Base"
"Base Item Subtotal Including Tax","Subtotale articolo base incluso IVA"
"Base Original Price","Prezzo Originale di Base"
"Base Price","Prezzo Base"
"Base Price Including Tax","Prezzo Base IVA Inclusa"
"Base Shipping","Spedizione di Base"
"Base Shipping Discount","Sconto di spedizione di base"
"Base Shipping Tax","Imposta di spedizione di base"
"Base Subtotal","Subtotale di base"
"Base Subtotal Including Tax","Subtotale di base incluso IVA"
"Base Tax Amount","Importo IVA di base"
"Base Total Due","Totale da pagare"
"Base Total Paid","Totale Pagato Base"
"Base Total Refunded","Totale Rimborso Base"
"Buy Now URL","URL Acquista Ora"
"Can Be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Canceled Qty","Quantità Annullata"
"Catalog","Catalogo"
"Catalog Product","Prodotto Catalogo"
"CatalogInventory","Inventario Catalogo"
"Category ID","ID categoria"
"City","Città"
"Company","Azienda"
"Country","Nazione"
"Coupon Code","Codice Coupon"
"Create","Crea"
"Create Permanent Redirect for old URL","Crea un Redirect permanente per il vecchio URL"
"Created From","Creato Da"
"Customer","Cliente"
"Customer Address","Indirizzo cliente"
"Customer Address ID","ID Indirizzo Cliente"
"Customer Balance","Saldo Cliente"
"Customer First Name","Nome cliente"
"Customer ID","ID cliente"
"Customer Last Name","Cognome cliente"
"Customer Middle Name","Cognome del cliente"
"Customer Prefix","Prefisso Cliente"
"Customer Suffix","Suffix del cliente"
"Default Image","Immagine Predefinita"
"Delete","Elimina"
"Deny","Nega"
"Disable automatic group change based on VAT ID","Disabilita cambio gruppo automatico basato su ID IVA"
"Discount","Sconto"
"Discount Amount","Sconto quantità"
"Discount Description","Descrizione Sconto"
"Edit","Modifica"
"Edit %s ACL attribute rules","Modifica regole attributo ACL %s"
"Edit Role","Modifica Ruolo"
"Edit attribute rules for %s Role","Modifica regole attributo per ruolo %s"
"Email","Email"
"Enable Qty Increments","Abilita incrementi qtà"
"Exclude","Escludi"
"File Content","Contenuto del File"
"File MIME Type","Tipo MIME del file"
"File Name","Nome file"
"Final Price With Tax","Prezzo Finale con IVA"
"Final Price Without Tax","Prezzo Finale senza IVA"
"First Name","Nome"
"Gift Message","Messaggio regalo"
"Grand Total","Totale complessivo"
"Grand Total to Be Charged","Totale complessivo da addebitare"
"Group","Gruppo"
"Guest","Ospite"
"Has Custom Options","Ha Opzioni Personalizzate"
"ID","ID"
"Inventory Data","Dati di magazzino"
"Invoiced Qty","Quantità Fatturata"
"Is Confirmed","È Confermato"
"Is Default Billing Address","È Indirizzo Fatturazione Predefinito"
"Is Default Shipping Address","È Indirizzo di Spedizione Predefinito"
"Item ID","ID Articolo"
"Item Subtotal","Subtotale dell'articolo"
"Item Subtotal Including Tax","Subtotale articolo incluso IVA"
"Label","Etichetta"
"Last Logged In","Ultimo Accesso"
