"A block identifier with the same properties already exists in the selected store.","Un identificatore di blocco con le stesse proprietà esiste già nel negozio selezionato."
"Action","Azione"
"Add New Block","Aggiungi nuovo blocco"
"Add New Page","Aggiungi nuova pagina"
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"All Countries","Tutti i Paesi"
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Titolo personalizzato ancora"
"An error occurred while saving the page.","An error occurred while saving the page."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Blocca"
"Block Content","Block Content"
"Block Information","Informazioni Blocco"
"Block Title","Titolo blocco"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete page, it is used in ""%s"".","Cannot delete page, it is used in ""%s""."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot disable page, it is used in configuration ""%s"".","Cannot disable page, it is used in configuration ""%s""."
"Cannot upload file.","Cannot upload file."
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Home Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS No Route Page","Pagina CMS: Nessun Instradamento"
"CMS Page","Pagine CMS"
"CMS Page Link","Link pagina CMS"
"CMS Page Link Block Template","Template blocco Link Pagina CMS"
"CMS Page Link Inline Template","Template inline Link Pagina CMS"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","Blocco statico CMS"
"CMS Static Block Default Template","Template predefinito Blocco statico CMS"
"Collapse All","Chiudi Tutto"
"Content","Contenuto"
"Content Heading","Titolo contenuto"
"Content Management","Gestione dei contenuti"
"Contents of a Static Block","Contenuto di un blocco statico"
"Create Folder...","Create Folder..."
"Custom Design","Design Personalizzato"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Customer Tax Class Information","Customer Tax Class Information"
"Custom Layout","Layout personalizzato"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Tema personalizzato"
"Date Created","Date Created"
"Delete Block","Elimina blocco"
"Delete File","Elimina File"
"Delete Folder","Elimina cartella"
"Delete Page","Elimina pagina"
"Description","Descrizione"
"Design","Aspetto"
"Disabled","Disabilitato"
"Disabled by Default","Disabilitato di default"
"Disabled Completely","Completamente disabilitato"
"Edit Block","Modifica blocco"
"Edit Block '%s'","Edit Block '%s'"
"Edit Image","Edit Image"
"Edit Page","Modifica pagina"
"Edit Page '%s'","Edit Page '%s'"
"Enabled","Abilitato"
"Enabled by Default","Abilitato di default"
"Enable WYSIWYG Editor","Attiva l'Editor WYSIWYG"
"Expand All","Mostra Tutto"
"General Information","Informazioni Generali"
"Go to Home Page","Vai alla Home Page"
"Home","Home"
"ID","ID"
"Identifier","Identificatore"
"If empty, the Page Title will be used","Se vuoto, verrà utilizzato il titolo della pagina"
"Insert File","Inserire File"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Aggiornamento del layout XML"
"Link to a CMS Page","Link a una pagina CMS"
"Manage Pages","Gestisci le pagine"
"Media Gallery","Galleria Media"
"Media Library","Media Library"
"Media Storage","Archivio file multimediali"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
"New Block","Nuovo blocco"
"New Folder Name:","Nome della nuova cartella:"
"New Page","Nuova pagina"
"No files found","Nessun file trovato"
"Page Information","Informazioni sulla pagina"
"Page Layout","Page Layout"
"Pages","Pagine"
"Page Status","Page Status"
"Page Title","Titolo della pagina"
"Please add at least one image to the slideshow","Please add at least one image to the slideshow"
"Product Tax Class Information","Product Tax Class Information"
"px.","px."
"Relative to Website Base URL","Relative to Website Base URL"
"Robots","Robots"
"Save Block","Save Block"
"Save Page","Salva pagina"
"Save Process","Save Process"
"Select Block...","Seleziona blocco..."
"Select Page...","Seleziona pagina..."
"Show Breadcrumbs for CMS Pages","Visualizza breadcrumbs per le pagine CMS"
"Some content is not supported. Clean and continue?","Some content is not supported. Clean and continue?"
"Static Blocks","Blocchi statici"
"Status","Stato"
"Storage Root","Root Storage"
"Store View","Vista Negozio"
"Template","Template"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page has been deleted.","La pagina è stata cancellata."
"The page has been saved.","The page has been saved."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","Questo blocco non esiste più."
"This page no longer exists.","Questa pagina non esiste più."
"Title","Titolo"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete.","Unable to find a page to delete."
"URL Key","Chiave URL"
"WYSIWYG Options","Opzioni WYSIWYG"
