"* Required Fields","* Campi Obbligatori"
"0 disables the limit.","0 disabilita il limite."
"<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","<strong style=""color:red"">Attenzione!</strong> Abilitare questa funzione può causare l'invio di messaggi indesiderati a persone i cui indirizzi email vengono utilizzati in modo abusivo. Assicurati di aver implementato le misure di sicurezza prima di attivare (ad es. CAPTCHA, HoneySpam)."
"Abuse Protection","Protezione Abuso"
"Adds a hidden field that bots fill in, zero dependency, works everywhere.","Aggiunge un campo nascosto che i bot riempiscono, zero dipendenza, funziona ovunque."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Aggiunge un campo trappola invisibile. I messaggi che lo riempiono vengono silenziosamente lasciati cadere come traffico del bot."
"Allow headless frontends to submit contact forms via the API.","Consenti ai frontend headless di inviare moduli di contatto tramite l'API."
"API Submissions","Invio API"
"Auto-Reply Emails per Recipient per Hour","Email di risposta automatica per destinatario per ora"
"Auto Reply","Risposta Automatica"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Limita il numero di e-mail di risposta automatica che un singolo indirizzo può ricevere all'ora. La notifica del commerciante è ancora inviata. Sconfigge i bombardamenti di terze parti. 0 disabilita il limite."
"Comment","Commento"
"Contact Form","Modulo Di Contatto"
"Contact form (web + API)","Modulo di contatto (web + API)"
"Contact Form Auto Reply","Modulo Di Contatto Risposta Automatica"
"Contact Information","Informazioni Di Contatto"
"Contacts","Contatti"
"Contact Us","Contattaci"
"Contact Us Form","Modulo Contatti"
"Email","Email"
"Email Options","Opzioni Email"
"Email Sender","Mittente Email"
"Email Template","Modello Email"
"Enable Auto Reply","Abilita Risposta Automatica"
"Enable Contact API","Abilita API Contatto"
"Enable Contact Us","Abilita Contatti"
"Enable Honeypot Field","Abilita Honeypot Field"
"Honeypot Field","Campo Honeypot"
"Invalid Form Key. Please submit your request again.","Chiave modulo non valida. Si prega di inviare nuovamente la richiesta."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Misure di sfondo invisibili (honeypot, limiti di tasso) che smussano lo spam e l'e-bombardamento senza disagi i clienti reali. Non impostare i limiti così bassi che i visitatori legittimi sono bloccati."
"Name","Nome"
"Per email address. Default 3 per hour. 0 to disable.","Per indirizzo email. Predefinito 3 all'ora. 0 da disabilitare."
"Send Emails To","Invia Email A"
"Settings for contact-form submissions made via the REST/GraphQL API (used by headless storefronts).","Impostazioni per le presentazioni del modulo di contatto effettuate tramite l'API REST/GraphQL (usata da headless storefronts)."
"Submissions per IP per Hour","Invii per IP per ora"
"Submit","Invia"
"Telephone","Telefono"
"Too many requests. Please wait a moment and try again.","Troppe richieste. Si prega di attendere un attimo e riprovare."
"Unable to submit your request. Please try again later","Impossibile inviare la tua richiesta. Riprova più tardi"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","La sua richiesta è stata inviata e verrà risposta il prima possibile. Grazie per averci contattato."
