"""%s"" contains not only digit characters.","""%s"" contiene non solo caratteri numerici."
"""%s"" does not fit the entered date format.","""%s"" non si adatta al formato della data inserito."
"""%s"" exceeds the allowed file size.","""%s"" supera la dimensione consentita del file."
"""%s"" exceeds the allowed length.","""%s"" supera la lunghezza consentita."
"""%s"" has not only alphabetic and digit characters.","""%s"" ha non solo caratteri alfabetici e numerici."
"""%s"" has not only alphabetic characters.","""%s"" ha non solo caratteri alfabetici."
"""%s"" height exceeds allowed value of %s px.","""%s"" l'altezza supera il valore consentito di %s px."
"""%s"" invalid type entered.","""%s"" tipo inserito non valido."
"""%s"" is a required value.","""%s"" è un valore obbligatorio."
"""%s"" is an empty string.","""%s"" è una stringa vuota."
"""%s"" is not a valid URL.","""%s"" non è un URL valido."
"""%s"" is not a valid date.","""%s"" non è una data valida."
"""%s"" is not a valid email address.","""%s"" non è un indirizzo email valido."
"""%s"" is not a valid file","""%s"" non è un file valido"
"""%s"" is not a valid file extension.","""%s"" non è un'estensione di file valida."
"""%s"" is not a valid file.","""%s"" non è un file valido."
"""%s"" is not a valid hostname.","""%s"" non è un nome host valido."
"""%s"" is not a valid image format","""%s"" non è un formato immagine valido"
"""%s"" length must be equal or greater than %s characters.","""%s"" lunghezza deve essere uguale o maggiore di %s caratteri."
"""%s"" length must be equal or less than %s characters.","""%s"" lunghezza deve essere uguale o inferiore a %s caratteri."
"""%s"" width exceeds allowed value of %s px.","""%s"" larghezza supera il valore consentito di %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' sembra essere un hostname DNS ma non può estrarre la parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' sembra essere un hostname DNS ma non può corrispondere TLD contro la lista conosciuta"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' sembra essere un hostname DNS ma non può corrispondere con lo schema hostname per TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' sembra essere un hostname DNS ma contiene un dash in una posizione non valida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' sembra essere un hostname DNS ma la notazione punycode data non può essere decodificata"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' sembra essere un nome di rete locale ma i nomi di rete locali non sono consentiti"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono ammessi"
"'%value%' does not appear to be a valid URI hostname","'%value%' non sembra essere un hostname URI valido"
"'%value%' does not appear to be a valid local network name","'%value%' non sembra essere un nome di rete locale valido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' non corrisponde alla struttura prevista per un hostname DNS"
". Do not use ""event"" for an attribute code, it is a reserved keyword.",". Non usare ""evento"" per un codice di attributo, è una parola chiave riservata."
". Do not use event"" for an attribute code",". Non utilizzare l'evento"" per un codice attributo"
"A joint field with this alias (%s) is already declared","Un campo congiunto con questo alias (%s) è già dichiarato"
"Add Option","Aggiungi Opzione"
"An error occurred while loading a record, aborting. Error: %s","Si è verificato un errore durante il caricamento di un record, interrotto. Errore: %s"
"An error occurred while loading the collection, aborting. Error: %s","Si è verificato un errore durante il caricamento della raccolta, interrotto. Errore: %s"
"An error occurred while saving a record, aborting. Error: ","Si è verificato un errore durante il salvataggio di un record, interrotto. Errore: "
"Attempt to add an invalid object","Tentativo di aggiungere un oggetto non valido"
"Attribute '%s' used in configurable products","Attributo '%s' utilizzato nei prodotti configurabili"
"Attribute Code","Codice Attributo"
"Attribute Label","Etichetta Attributo"
"Attribute Properties","Proprietà Attributo"
"Attribute object is undefined","L'oggetto dell'attributo non è definito"
"Attribute set with the ""%s"" name already exists.","L'attributo impostato con il nome ""%s"" esiste già."
"Attribute with the same code","Attributo con lo stesso codice"
"Can't create table: %s","Impossibile creare la tabella: %s"
"Catalog Input Type for Store Owner","Tipo di ingresso catalogo per il proprietario del negozio"
