"Action","Azione"
"Add New Template","Aggiungi nuovo template"
"Add to Queue","Aggiungi alla coda"
"Allow Guest Subscription","Permetti l'iscrizione agli ospiti"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Back","Indietro"
"Be the first to know about new arrivals, special offers, and insider news.","Be the first to know about new arrivals, special offers, and insider news."
"Cancel","Annulla"
"Cancelled","Cancellato"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first."
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Mittente Email conferma"
"Confirmation Email Template","Template Email conferma"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Converti in testo normale"
"Coupon Code","Codice Coupon"
"Coupon Expiration Date (Formatted)","Coupon Expiration Date (Formatted)"
"Coupon Expiration Date (Raw)","Coupon Expiration Date (Raw)"
"Coupon Rule Description","Coupon Rule Description"
"Create Newsletter Template","Crea template newsletter"
"Customer","Cliente"
"Customer Email","Email cliente"
"Customer First Name","Nome cliente"
"Customer Last Name","Cognome cliente"
"Customer Middle Name","Customer Middle Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Customer Name","Nome cliente"
"Customer Name (Object)","Customer Name (Object)"
"Customer Segments","Segmenti cliente"
"Customer Variables","Customer Variables"
"Date Added","Data Inserimento"
"Date Updated","Date Updated"
"Default Template","Template predefinito"
"Delete","Elimina"
"Delete Selected Problems","Elimina problemi selezionati"
"Delete Template","Elimina template"
"Do you really want to cancel the queue?","Vuoi davvero cancellare la coda?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Modifica Newsletter"
"Edit Newsletter Template","Modifica il template Newsletter"
"Edit Queue","Modifica la coda"
"Edit Template","Modifica Template"
"Email","Email"
"Email Automation Variables","Email Automation Variables"
"Error Code","Codice Errore"
"Error Text","Testo di errore"
"Follow this link to unsubscribe:","Follow this link to unsubscribe:"
"Guest","Ospite"
"ID","ID"
"Insert Variable...","Inserire la variabile..."
"Invalid queue selected.","Invalid queue selected."
"Invalid sender email address","Invalid sender email address"
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Message","Messaggio"
"Need to Confirm","Necessaria conferma"
"New Newsletter Template","Nuovo template newsletter"
"Newsletter","Newsletter"
"Newsletter Message Preview","Anteprima messaggio newsletter"
"Newsletter Problem Reports","Report problema newsletter"
"Newsletter Queue","Coda newsletter"
"Newsletter Styles","Stili Newsletter"
"Newsletter Subscribers","Iscritti alla newsletter"
