"3D Secure","Sicurezza 3D"
"3D Secure Card Validation","Validazione Carta 3D Secure"
"Accepted Currency","Valuta accettata"
"Allow Partial Authorization","Consenti Autorizzazione Parziale"
"amount %s","importo %s"
"API Login ID","Id Login API"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Sei sicuro di voler annullare il pagamento? Fai clic su OK per annullare il pagamento e rilasciare l'importo in attesa. Fai clic su Annulla per inserire un'altra carta di credito e continuare con il pagamento."
"authorize","autorizza"
"Authorize.net (Deprecated)","Authorize.net (Deprecato)"
"Authorize.Net Transaction ID %s","ID Transazione Authorize.Net %s"
"Authorize and Capture","Autorizza e trattieni"
"authorize and capture","autorizza e trattieni"
"Authorize Only","Autorizza solamente"
"Cancel","Annulla"
"capture","trattieni"
"Credit Card: xxxx-%s","Carta di Credito: xxxx-%s"
"Credit Card Types","Tipi di carta di credito"
"Credit Card Verification","Verifica della carta di credito"
"Debug","Debugga"
"Email Customer","Email cliente"
"Enabled","Abilitato"
"Error in payment gateway.","Errore nel gateway di pagamento."
"failed","non riuscito"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Le azioni di gateway sono bloccate perché il gateway non può completare una o più delle transazioni. Si prega di accedere al proprio account Authorize.Net per risolvere manualmente il problema(i)."
"Gateway error: %s","Errore di gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vuoto, verrà utilizzato un valore predefinito. Un URL personalizzato può essere fornito in base all'accordo con CardinalCommerce."
"Invalid amount for authorization.","totale non valido per l'autorizzazione."
"Invalid amount for capture.","Importo non valido per l'acquisizione."
"Invalid amount for partial authorization.","Importo non valido per autorizzazione parziale."
"Invalid amount for refund.","Importo non valido per il rimborso."
"Invalid split tenderId ID.","ID di split tender non valido."
"Maximum Order Total","Totale ordine massimo"
"Merchant's Email","Email del venditore"
"Minimum Order Total","Totale ordine minimo"
"New Order Status","Nuovo stato dell'ordine"
"Parent Authorize.Net transaction (ID %s) expired","Transazione genitore Authorize.Net (ID %s) scaduta"
"Payment Action","Azione di pagamento"
"Payment authorization error.","Errore Autorizzazione Pagamento"
"Payment canceling error.","Errore annullamento pagamento."
"Payment capturing error.","Errore nell'acquisizione del pagamento."
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Payment partial authorization error.","Errore di autorizzazione parziale del pagamento."
"Payment refunding error.","Errore di rimborso del pagamento."
"Payment updating error.","Errore di aggiornamento pagamento."
"Payment voiding error.","Errore nell'annullamento del pagamento."
"Processed Amount","Importo Elaborato"
"refund","rimborso"
"Remaining Balance","Saldo Residuo"
"Severe 3D Secure Card Validation","Validazione Carta di Sicurezza 3D Severa"
"Severe Validation Removes Chargeback Liability on Merchant","Grave Convalida Rimuove Responsabilità di Addebito sul Mercante"
"Shopping cart contents and/or address has been changed.","I contenuti del carrello della spesa e/o l'indirizzo sono stati modificati."
"Sort Order","Ordinamento"
"successful","con successo"
"Test Mode","Modalità test"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","L'importo sulla tua carta di credito non è sufficiente per completare l'acquisto. L'importo disponibile è stato messo in attesa. Per completare l'acquisto, fai clic su OK e specifica un numero di carta di credito aggiuntivo. Per annullare l'acquisto e rilasciare l'importo in attesa, fai clic su Annulla."
"There was an error canceling transactions. Please contact us or try again later.","Si è verificato un errore durante l'annullamento delle transazioni. Si prega di contattarci o di riprovare più tardi."
"Title","Titolo"
"Transaction Key","Chiave Transazione"
"void","nullo"
"You have reached the maximum number of credit card allowed to be used for the payment.","Hai raggiunto il numero massimo di carte di credito consentite per l'utilizzo per il pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Hai raggiunto il numero massimo di carte di credito che possono essere utilizzate per un pagamento. Le quantità disponibili su tutte le carte utilizzate erano insufficienti per completare il pagamento. Il pagamento è stato annullato e le quantità in attesa di pagamento sono state rilasciate."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","La tua carta di credito è stata rifiutata. Fai clic su OK per specificare un'altra carta di credito per completare l'acquisto. Fai clic su Annulla per rilasciare l'importo in attesa e selezionare un altro metodo di pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Il tuo ordine non è stato effettuato, poiché i contenuti del carrello della spesa e/o l'indirizzo sono stati modificati. Le somme autorizzate dal tuo pagamento precedente che erano rimaste in sospeso sono ora state rilasciate. Esegui il processo di checkout per i contenuti del tuo carrello recente."
"Your payment has been cancelled. All authorized amounts have been released.","Il tuo pagamento è stato annullato. Tutti gli importi autorizzati sono stati rilasciati."
