"%d Review(s)","Revisione(i) %d"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Aggiungi Nuova Recensione"
"Administrator","Amministratore"
"Allow Guests to Write Reviews","Consenti agli ospiti di scrivere recensioni"
"All Reviews","Tutte Le Recensioni"
"All Reviews of Customer `%s`","Tutte le recensioni del cliente `%s`"
"All Reviews of Product `%s`","Tutte le recensioni del prodotto `%s`"
"Approved","Approvato"
"Are you sure?","Sei sicuro?"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"Average Customer Rating","Valutazione Media Dei Clienti"
"Average Customer Rating:","Valutazione Media Del Cliente:"
"Back","Indietro"
"Back to My Reviews","Torna alle mie recensioni"
"Back to Product Reviews","Torna a Recensioni del prodotto"
"Be the First to Review","Sii il primo a recensire"
"Be the first to review this product","Recensisci per primo questo prodotto"
"Cancel","Annulla"
"Catalog Product Review View","Visualizzazione Recensione Prodotto Catalogo"
"Close","Chiudi"
"Created On","Creato Il"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente Il Mio Account Recensioni Prodotto"
"Customer My Account Review Details","Dettagli Di Revisione Cliente Mio Account"
"Customer Reviews","Recensioni Dei Clienti"
"Customers Reviews","Recensioni Dei Clienti"
"Delete","Elimina"
"Delete Review","Elimina Revisione"
"Detailed Rating","Valutazione Dettagliata"
"Edit Review '%s'","Modifica Revisione '%s'"
"Guest","Ospite"
"ID","ID"
"Manage Ratings","Gestisci Valutazioni"
"My Product Reviews","Le Mie Recensioni Dei Prodotti"
"My Recent Reviews","Le Mie Recensioni Recenti"
"Name","Nome"
"Name in Store","Nome nel negozio"
"New Review","Nuova Revisione"
"Nickname","Soprannome"
"Nickname can't be empty","Il Soprannome non può essere vuoto"
"Not Approved","Non Approvato"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Solo gli utenti registrati possono scrivere recensioni. Per favore, <a href=""%s"">accedi</a> o <a href=""%s"">registrati</a>"
"Pending","In Attesa"
"Pending Reviews","Recensioni In Attesa"
"Pending Reviews of Customer `%s`","Recensioni in sospeso del cliente `%s`"
"Please select a rating for each category","Seleziona una valutazione per ogni categoria"
"Posted By","Pubblicato Da"
"Price","Prezzo"
"Product","Prodotto"
"Product Name","Nome Prodotto"
"Product Rating","Valutazione Prodotto"
"Product Rating:","Valutazione Del Prodotto:"
"Product Review (submitted on %s):","Recensione del prodotto (inserita su %s):"
"Product Reviews","Recensioni Prodotto"
"Product SKU","Prodotto SKU"
"Products Reviews","Recensioni Prodotti"
"Qty","Qtà"
"Rating:","Valutazione:"
"Review","Riesame"
"Review (submitted on %s):","Revisione (inviata su %s):"
"Review can't be empty","La recensione non può essere vuota"
"Review Details","Dettagli Recensione"
"Review Form Fields Before","Controlla I Campi Del Modulo Prima"
"Reviews","Recensioni"
"Reviews and Ratings","Recensioni e valutazioni"
"Review summary can't be empty","Riepilogo recensione non può essere vuoto"
"Save Review","Salva Recensione"
"SKU","SKU"
"Status","Stato"
"Submit Review","Invia Revisione"
"Summary","Summary"
"Summary of Review","Sintesi della revisione"
"Summary Rating","Valutazione Riepilogativa"
"This product has no reviews yet","Questo prodotto non ha ancora recensioni"
"Title","Titolo"
"Type","Tipo"
"Unable to post the review.","Impossibile pubblicare la recensione."
"Update Status","Aggiorna Stato"
"View All Reviews","Visualizza Tutte Le Recensioni"
"View Details","Visualizza Dettagli"
"Visible In","Visibile In"
"Websites","Siti Web"
"Write a Review","Scrivi una recensione"
"You're reviewing:","Stai recensendo:"
"You have submitted no reviews.","Non hai inviato nessuna recensione."
"Your Rating:","Il Tuo Valuto:"
"Your Review (submitted on %s):","La tua recensione (inviata su %s):"
"Your review has been accepted for moderation.","La tua recensione è stata accettata per moderazione."
