"Add","Aggiungi"
"ALL","TUTTI"
"ANY","QUALSIASI"
"Apply","Applica"
"by","di"
"Conditions Combination","Combinazione Di Condizioni"
"contains","contiene"
"Customer Groups must be specified.","I gruppi di clienti devono essere specificati."
"does not contain","non contiene"
"End Date must be greater than Start Date.","La data di fine deve essere maggiore della data di inizio."
"equals or greater than","uguale o superiore a"
"equals or less than","è uguale o inferiore a"
"FALSE","FALSE"
"from","da"
"greater than","maggiore di"
"If %s of these conditions are %s:","Se %s di queste condizioni sono %s:"
"Invalid discount amount.","Importo sconto non valido."
"is","è"
"is not","non è"
"is not one of","non è uno di"
"is one of","è uno di"
"less than","meno di"
"Open Chooser","Apri Selettore"
"Perform following actions","Esegui le seguenti azioni"
"Please choose a condition to add...","Scegli una condizione da aggiungere..."
"Please choose an action to add...","Scegli un'azione da aggiungere..."
"Remove","Rimuovi"
"There is no information about associated entity type ""%s"".","Non ci sono informazioni sul tipo di entità associata ""%s""."
"to","a"
"TRUE","VERO"
"Websites must be specified.","I siti web devono essere specificati."
