"Action","Azione"
"Add Sitemap","Aggiungi Sitemap"
"Add Sitemap Lines","Aggiungi Linee Sitemap"
"Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404.","Aggiunge il testo completo di ogni pagina CMS attiva di questa vista negozio. Prodotti e categorie rimangono fuori: le sitemaps li indirizzano un URL alla volta. Quando è spento, /llms-full.txt risponde 404."
"AI search crawlers (blocking these removes the store from AI answers)","I crawler di ricerca AI (bloccando questi rimuove il negozio dalle risposte di AI)"
"Always","Sempre"
"Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group.","In allegato al file generato. I gruppi qui scritti mantengono le proprie regole e ricevono anche le regole di base di cui sopra. Un gruppo che porta la propria linea Content-Signal lo mantiene, e i segnali configurati sono esclusi da quel gruppo."
"Base Rules","Regole Base"
"Blocked AI Crawlers","Crawler Ai Bloccati"
"Categories Options","Opzioni Categorie"
"CMS Pages Options","Opzioni Pagine CMS"
"Content Signal: ai-input","Segnale di contenuto: ai-input"
"Content Signal: ai-train","Segnale di contenuto: ai-train"
"Content Signal: search","Segnale contenuto: ricerca"
"Content Signal: use","Segnale di contenuto: uso"
"Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries.","I segnali di contenuto indicano ciò che un crawler può fare con le pagine che legge, su una linea Content-Signal nel gruppo wildcard. Essi sono una condizione dichiarata di accesso, non un meccanismo di applicazione, e nessun cingolatore è obbligato a onorarli. Questo copre la costruzione di un indice di ricerca e restituire link e brevi estratti e non copre i sommari generati dall'AI."
"Crawlers & robots.txt","Crawlers & robots.txt"
"Custom Instructions","Istruzioni Personalizzate"
"Daily","Giornaliero"
"Do not show in sitemap","Non mostrare nella mappa del sito"
"Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below.","Ogni agente selezionato qui ottiene il proprio gruppo con Disallow: /. Bloccando una ricerca AI crawler rimuove il negozio dalle risposte AI, quindi blocca solo quello che intendi. Per bloccare un agente che questa lista non chiama, scrivi il suo gruppo nelle Istruzioni Personalizzate qui sotto."
"Edit Sitemap","Modifica Sitemap"
"Enabled","Abilitato"
"Error Email Recipient","Destinatario Email Di Errore"
"Error Email Sender","Error Email Sender"
"Error Email Template","Template Email Errore"
"Extra Content","Extra Content"
"Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers.","Fornire le pagine a un modello di AI al momento della risposta, che è come un negozio raggiunge le risposte di ricerca AI. Riservando chiede agli assistenti di lasciare il negozio fuori delle loro risposte."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Il file ""%s"" non può essere salvato. Assicurati che la directory ""%s"" sia scrivibile dal server web."
"Filename","Nome File"
"Frequency","Frequenza"
"Full: keep and reuse the content","Completo: mantenere e riutilizzare il contenuto"
"Generate","Genera"
"Generate llms-full.txt","Genera llms-full.txt"
"Generate llms.txt","Genera llms.txt"
"Generate robots.txt","Generate robots.txt"
"Generation Settings","Impostazioni Di Generazione"
"Google Sitemap","Google Sitemap"
"Hourly","Orario"
"How much of the content an AI system may keep once it has read it.","Quanto del contenuto di un sistema IA può mantenere una volta che lo ha letto."
"ID","ID"
"Immediate: answer the question, keep nothing","Immediato: rispondere alla domanda, non tenere nulla"
"Include Images","Includi Immagini"
"Last Time Generated","Ultima Ora Generata"
"Link for Google","Link per Google"
"List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting.","Elenca ogni sitemap configurata per questa vista negozio alla fine del file. llms.txt elenca le stesse sitemaps e non legge questa impostazione."
"llms.txt","llms.txt"
"llms.txt gives AI agents a markdown index of the store: name, description, CMS pages, top level categories, the search URL, and the sitemaps. llms-full.txt adds the full text of the CMS pages. No AI vendor promises to read these files today, so treat them as a low cost bet on an emerging convention, not as a traffic channel. Both files are served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers, and it links to the other store views. When store codes are in URLs, each store view also answers at its own path, for example /de/llms.txt.","llms.txt fornisce agli agenti AI un indice di markdown del negozio: nome, descrizione, pagine CMS, categorie di primo livello, l'URL di ricerca e i sitemaps. llms-full. xt aggiunge il testo completo delle pagine CMS. Nessun fornitore di AI promette di leggere questi file oggi, trattarli come una scommessa a basso costo su una convenzione emergente, non come un canale di traffico. Entrambi i file sono serviti per dominio, non per vista negozio. Quando più viste negozio condividono un dominio, la vista del negozio a cui il dominio nudo si risolve è quella a cui risponde, e si collega alle altre viste del negozio. Quando i codici negozio sono negli URL, ogni vista negozio risponde anche al proprio percorso, per esempio /de/llms.txt."
"Markdown appended verbatim to the end of llms.txt.","Markdown allegato al verbale alla fine di llms.txt."
"Maximum URLs per Sitemap File","URL massimi per file Sitemap"
"Monthly","Mensile"
"Never","Mai"
"New Sitemap","Nuova Sitemap"
"No, reserved","No, riservato"
"Not stated","Non dichiarato"
"Path","Percorso"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Si prega di creare la cartella ""%s"" specificata all'interno della directory pubblica prima di salvare la mappa del sito."
"Please define correct path","Definire il percorso corretto"
"Please enter a sitemap name with at most %s characters.","Si prega di inserire un nome mappa del sito con al massimo caratteri %s."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Assicurarsi che ""%s"" all'interno della directory pubblica sia scrivibile dal server web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usare solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) nel nome del file. Non sono ammessi spazi o altri caratteri."
"Priority","Priorità"
"Products Options","Opzioni Prodotti"
"Reference: index, excerpt and link back","Riferimento: indice, estratto e link indietro"
"Restore recommended rules","Ripristina regole raccomandate"
"robots.txt","robots.txt"
"robots.txt is served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers.","robots.txt è servito per dominio, non per vista negozio. Quando più viste del negozio condividono un dominio, la vista del negozio a cui il dominio nudo si risolve è quella a cui risponde."
"Rules only, one per line, without User-agent lines. They are written into the wildcard group and repeated inside every named group, because RFC 9309 gives a named group no access to the wildcard rules. Rules that name the admin path are dropped, so the path stays private.","Regole soltanto, una per riga, senza linee di User-agent. Essi sono scritti nel gruppo wildcard e ripetuti all'interno di ogni gruppo nominato, perché RFC 9309 non dà a un gruppo chiamato alcun accesso alle regole jolly . Le regole che chiamano il percorso admin sono cadute, quindi il percorso rimane privato."
"Show lastmod","Show lastmod"
"Shown to AI agents as the store summary. Leave empty to use the default meta description.","Mostrato agli agenti IA come riepilogo del negozio. Lasciare vuoto per usare la meta descrizione predefinita."
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genera Avvertenze"
"Split sitemap files when they exceed this number of URLs","Dividi file sitemap quando superano questo numero di URL"
"Start Time","Ora Di Inizio"
"Store Description","Descrizione Negozio"
"Store View","Vista Negozio"
"The file %s exists and is served by the web server, so these settings have no effect on it. Delete it to use the settings below.","Il file %s esiste ed è servito dal server web, quindi queste impostazioni non hanno alcun effetto su di esso. Eliminalo per usare le impostazioni qui sotto."
"The priority must be between 0 and 1.","La priorità deve essere compresa tra 0 e 1."
"The sitemap ""%s"" has been generated.","La mappa del sito ""%s"" è stata generata."
