" was not delivered nor scanned","non è stata consegnata, né acquisita"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Ordine"" consente una tariffa di gestione unica per l'intero ordine. ""Per Pacchetto"" consente una tariffa di gestione individuale per ogni pacchetto."
"1 Day Freight","Trasporto in 1 giorno"
"2 Day","2 Giorni"
"2 Day AM","2 Giorno Mattina"
"2 Day Freight","Trasporto in 2 giorni"
"2nd Day Air","secondo giorno Aerea"
"2nd Day Air AM","2° Giorno Aria AM"
"2nd Day Air AM Letter","2nd Day Air AM"
"2nd Day Air Letter","2° Giorno Aerea Lettera"
"3 Day Freight","Trasporto in 3 giorni"
"3 Day Select","Seleziona 3 giorni"
"Access ID","ID di accesso"
"Access License Number","Numero di Licenza Accesso"
"Account ID","ID Account"
"Account Number","Numero account"
"Additional Protection Configuration Value","Valore configurazione protezione addizionale"
"Additional Protection Enabled","Protezione addizionale attivata"
"Additional Protection Min Subtotal","Protezione addizionale subtotale minimo"
"Additional Protection Value","Valore protezione addizionale"
"Additional Protection Value Rounding Method","Metodo di arrotondamento del valore di protezione addizionale"
"Adult","Adulto"
"Adult Signature Required","Richiesta firma di un adulto"
"Allowed Methods","Metodi consentiti"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Consente di dividere il peso totale dell'ordine in pezzi più piccoli se supera %s %s per garantire il calcolo preciso delle spese di spedizione."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Consente di dividere il peso totale dell'ordine in pezzi più piccoli se supera i 70 kg per garantire il calcolo preciso delle spese di spedizione."
"Break bulk economy","Economia dirottamento in blocco"
"Break bulk express","Spedizione espresso in blocco"
"Business Service Center","Centro Servizi Business"
"Calculate Handling Fee","Calcola spese di gestione"
"Canada Standard","Ground Residential"
"Cannot identify measure unit for %s","Non riesco a identificare l'unità di misura per %s"
"Cannot identify weight unit for %s","Non riesco a identificare l'unità di peso per %s"
"Cannot retrieve shipping rates","Non è possibile recuperare le tariffe di spedizione"
"Centimeters","Centimetri"
"Commercial","Commerciale"
"Configuration","Configurazione"
"Container","Contenitore"
"Content Type","Tipo di Contenuto"
"Customer Packaging","Imballaggio del cliente"
"Customer Supplied Package","Pacchetto Fornito dal Cliente"
"Customer services","Servizi clienti"
"DHL","DHL"
"DHL (Deprecated)","DHL (Deprecato)"
"DHL service is not available at %s date","Il servizio DHL non è disponibile in data %s"
"Debug","Debugga"
"Default Package Height","Altezza predefinita pacco"
"Default Package Length","Lunghezza predefinita pacco"
"Default Package Width","Larghezza predefinita pacco"
"Delivered","Consegnato"
"Delivery Confirmation","Conferma della consegna"
"Depth","Profondità"
"Destination Type","Tipo di destinazione"
"Destination facility code is empty","Il codice della struttura di destinazione è vuoto"
"Development","Sviluppo"
"Direct","Diretto"
"Displayed Error Message","Messaggio di errore visualizzato"
"Divide Order Weight","Dividi il peso dell'ordine"
"Documents","Documenti"
"Domestic Shipment Days","Giorni di spedizione nazionale"
"Domestic economy select","Economia domestica seleziona"
"Domestic express","Espresso domestico"
"Drop Box","Drop box"
"Dropoff","Inoltrare"
"Easy shop","Negozio facile"
"Economy select","Seleziona economia"
"Empty response","Risposta vuota"
"Enable Negotiated Rates","Abilita tariffe convenzionate"
"Enable SSL Verification","Abilita Verifica SSL"
"Enabled for Checkout","Abilitato per il Checkout"
