"-- Please Select --","-- Seleziona --"
"Actions","Azioni"
"Add Layout Update","Aggiungi aggiornamento del Layout"
"Add New Widget Instance","Add New Widget Instance"
"All","Tutti"
"All Pages","Tutte le pagine"
"All Product Types","Tutti i tipi di prodotto"
"Anchor Categories","Categorie Ancorate"
"An error occurred during POST data validation: %s","An error occurred during POST data validation: %s"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Apply","Applica"
"Assign to Store Views","Assegna alle viste negozio"
"Big Image","Immagine grande"
"Block Reference","Block Reference"
"Categories","Categorie"
"Choose...","Scegli..."
"Close","Chiudi"
"CMS","CMS"
"Continue","Continua"
"Default Template","Template predefinito"
"Delete","Elimina"
"Design Package/Theme","Pacchetto/Tema Design"
"Error occurs during loading chooser.","Error occurs during loading chooser."
"Export to:","Esporta in:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Pagine generiche"
"Go to Next page","Go to Next page"
"Go to Previous page","Go to Previous page"
"Images","Immagini"
"Insert Widget...","Inserisci Widget..."
"items selected","items selected"
"Layout Updates","Aggiornamenti layout"
"Manage Widget Instances","Gestire le istanze Widget"
"New Instance","New Instance"
"New Widget Instance","Nuova istanza Widget"
"Next page","Pagina successiva"
"Non-Anchor Categories","Categorie non ancorate"
"Not Selected","Non selezionato"
"of %s pages","of %s pages"
"Open Chooser","Selezione aperta"
"Page","Pagina"
"per page","per pagina"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Pagina precedente"
"Products","Prodotti"
"Remove Layout Update","Rimuovere aggiornamento Layout"
"Save and Continue Edit","Salva e continua modifica"
"Select All","Seleziona tutto"
"Select Visible","Seleziona visibili"
"Settings","Impostazioni"
"Sort Order","Ordinamento"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Pagina specifica"
"Template","Template"
"The information in this tab has been changed.","Le informazioni contenute in questa scheda sono state modificate."
"The widget instance has been deleted.","L'istanza del widget è stata eliminata."
"The widget instance has been saved.","L'istanza del widget è stata salvata."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Miniatura"
"Total %d records found","Total %d records found"
"Type","Tipo"
"Unselect All","Deseleziona tutto"
"Unselect Visible","Deseleziona visibili"
"View","Mostra"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID del Widget"
"Widget Instance","Widget Instance"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widget Instance Title","Widget Instance Title"
"Widget Options","Opzioni del widget"
"Widgets","Widgets"
"Widget Type","Tipo di widget"
"Widget Type is not specified","Widget Type is not specified"
"Wrong widget instance specified.","Wrong widget instance specified."
