"%s Screenshot","Schermata %s"
"%s violation(s)","%s violazione(i)"
"Accessibility Scan","Scansione Accessibilità"
"Accessibility Scan Report","Report Di Scansione Accessibilità"
"Accessibility Violations","Violazioni All'Accessibilità"
"Advanced","Avanzate"
"Are you sure you want to delete this scan?","Sei sicuro di voler eliminare questa scansione?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core non può valutare automaticamente i controlli %s (ad esempio, il contrasto di colore sopra un'immagine). Controllarli manualmente."
"Back","Indietro"
"CLI","CLI"
"Command failed (exit code %s): %s","Comando non riuscito (codice di uscita %s): %s"
"Command timed out after %s seconds: %s","Comando scaduto dopo %s secondi: %s"
"Complete","Complete"
"Completed","Completato"
"Conformance level used when starting a scan without an explicit level.","Livello di conformità utilizzato quando si avvia una scansione senza un livello esplicito."
"Critical","Critico"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Espressione cron. Predefinita: <strong>0 3 * *</strong> (ogni giorno alle 3am)."
"Cron Schedule","Programma Cron"
"Date","Data"
"Default WCAG Level","Livello WCAG Predefinito"
"Delete","Elimina"
"Delete Scans After","Elimina Scansioni Dopo"
"Desktop","Desktop"
"Desktop Viewport","Vista Desktop"
"Enabled","Abilitato"
"Export PDF","Esporta PDF"
"Failed","Fallito"
"Fix all of the following","Correggi tutti i seguenti"
"Fix any of the following","Correggi uno dei seguenti elementi"
"General Settings","Impostazioni Generali"
"How to fix","Come risolvere"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","URL di scansione non valido ""%s"": ogni URL deve appartenere a uno degli URL di base del negozio configurato"
"Learn more","Scopri di più"
"Manual","Manuale"
"Maximum time in seconds to wait for a single page scan.","Tempo massimo in secondi per attendere la scansione di una singola pagina."
"Minor","Minore"
"Mobile","Cellulare"
"Mobile Viewport","Mobile Viewport"
"Moderate","Moderato"
"Needs Review","Richiede Revisione"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Non sono state trovate violazioni rilevabili automaticamente. I controlli automatici coprono solo una parte del WCAG, quindi è ancora consigliabile un test manuale con una tastiera e un lettore schermo."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s è installato, ma lo scanner richiede la versione %s o successiva."
"Node.js Binary Path","Percorso Binario Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js non è stato trovato (cerca ""%s""). Installa Node. s %s o più recente, o impostare il suo percorso completo in Sistema > Configurazione > Scansione Accessibilità."
"npm Binary Path","npm percorso binario"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm non è stato trovato (cerca ""%s""). Installarlo insieme al Node. s, o impostare il suo percorso completo in Sistema > Configurazione > Scansione Accessibilità."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Un URL per riga. Ogni URL deve appartenere a uno degli URL di base del negozio configurato."
"Page Title","Titolo Della Pagina"
"Path to the node executable. Default: node","Percorso dell' eseguibile del nodo. Predefinito: nodo"
"Path to the npm executable. Default: npm","Percorso dell' eseguibile npm. Predefinito: npm"
"Pending","In Attesa"
"Periodically scan the URLs below via cron, using the default WCAG level.","Scansiona periodicamente gli URL sottostanti tramite cron, utilizzando il livello WCAG predefinito."
"Please provide a valid URL to scan","Fornisci un URL valido da scansionare"
"Run a New Scan","Esegui una nuova scansione"
"Running","Esecuzione"
"Scan #%s","Scansiona #%s"
"Scan failed","Scansione fallita"
"Scan failed: %s","Scansione non riuscita: %s"
"Scan History","Scansione Cronologia"
"Scan ID","Scansiona ID"
"Scanning... this can take a couple of minutes.","Scansione... questo può richiedere un paio di minuti."
"Scan not found","Impossibile trovare"
"Scan Results","Risultati Scansione"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scansioni più vecchie di questo molti giorni vengono eliminati automaticamente. 0 mantiene tutto."
"Scan Timeout","Scansione Timeout"
"Scheduled","Pianificato"
"Scheduled Scans","Scansione Pianificata"
"Selector","Selettore"
"Serious","Seria"
"Show on desktop screenshot","Mostra sullo schermo del desktop"
"Show on mobile screenshot","Mostra sullo screenshot mobile"
