"-- All Categories --","-- Tutte Le Categorie --"
"-- Top Level --","-- Livello Superiore --"
"-- Use System Default --","-- Usa Il Sistema Predefinito --"
"86400 by default, if not set. Saving a post refreshes it.","86400 per impostazione predefinita, se non impostato. Salvare un post lo aggiorna."
"A category with URL key ""%s"" already exists under the same parent.","Una categoria con chiave URL ""%s"" esiste già sotto lo stesso genitore."
"Add Category","Aggiungi Categoria"
"Add Post","Aggiungi Post"
"Blog","Blog"
"Blog Categories","Categorie Blog"
"Blog Category","Categoria Blog"
"Blog Post","Post Del Blog"
"Blog Post API","Blog Post API"
"Blog Posts","Post Del Blog"
"Blog Posts Grid Template","Template Griglia Post Blog"
"Blog Recent Posts","Blog Post Recenti"
"Cache Lifetime (Seconds)","Durata Cache (Secondi)"
"Categories","Categorie"
"Category","Categoria"
"Category Information","Informazioni Categoria"
"Category Posts","Post Categoria"
"Category URL Prefix","Prefisso Url Categoria"
"Category was successfully deleted","Categoria eliminata con successo"
"Category was successfully saved","Categoria salvata con successo"
"Create blog post","Crea post sul blog"
"Create new post","Crea nuovo post"
"Delete Category","Elimina Categoria"
"Delete Post","Elimina Post"
"Delete post","Elimina post"
"Edit Category","Modifica Categoria"
"Edit Category '%s'","Modifica Categoria '%s'"
"Edit Post","Modifica Post"
"Edit Post '%s'","Modifica Post '%s'"
"Enable Blog Search in Autosuggest","Abilita ricerca Blog in Autosuggest"
"Enable Categories","Abilita Categorie"
"General","Generale"
"General Information","Informazioni Generali"
"Get post info","Ottieni informazioni post"
"Get post list","Ottieni la lista dei post"
"Include Images","Includi Immagini"
"Level","Livello"
"Maximum Blog Posts in Autosuggest","Massimo post del blog in Autosuggest"
"Meta Information","Meta Informazioni"
"Meta Title","Meta Titolo"
"New Category","Nuova Categoria"
"New Post","Nuovo Post"
"Number of Posts to Display","Numero di post da visualizzare"
"Parent Category","Categoria Genitore"
"Please select category(s)","Seleziona categoria(e)"
"Please select post(s)","Seleziona i post"
"Position","Posizione"
"Post Categories","Categorie Post"
"Post Content","Contenuto Post"
"Post Information","Informazioni Post"
"Posts","Post"
"Posts in this category and its subcategories. Leave empty for all posts.","Post in questa categoria e nelle sue sottocategorie. Lasciare vuoto per tutti i post."
"Posts per Page","Post per pagina"
"Post was successfully deleted","Il messaggio è stato eliminato correttamente"
"Post was successfully saved","Post salvato con successo"
"Publishing Date","Data Di Pubblicazione"
"Remove blog post","Rimuovi post sul blog"
"Retrieve blog post info","Recupera informazioni post sul blog"
"Retrieve blog posts","Recupera post del blog"
"Save Category","Salva Categoria"
"Save Post","Salva Post"
"Show in Navigation","Mostra nella navigazione"
"Shown above the posts. Leave empty for no title.","Mostrato sopra i post. Lasciare vuoto per nessun titolo."
"Template","Modello"
"The latest published blog posts, optionally from one category","Gli ultimi post del blog pubblicati, opzionalmente da una categoria"
"There are no blog posts in this category.","Non ci sono post in questa categoria."
"There are no blog posts to display.","Non ci sono post da visualizzare."
"This category no longer exists.","Questa categoria non esiste più."
"This post no longer exists.","Questo post non esiste più."
"Title","Titolo"
"Total of %d category(s) were deleted","Totale delle categorie %d sono state eliminate"
"Total of %d post(s) were deleted","Totale dei post di %d sono stati eliminati"
"Update blog post","Aggiorna post del blog"
"Update post","Aggiorna post"
"URL Prefix","Prefisso URL"
