"%s message(s) discarded.","%s messaggio(i) scartato."
"%s message(s) re-queued.","%s messaggio(i) riaccodato."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","I messaggi %s sono stati saltati: solo messaggi bloccati o falliti senza una copia più recente della loro chiave dedupe possono essere recuperati."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","I messaggi della coda %s sono stati rivendicati da un worker che non è mai finito. Non sono ri-accodati automaticamente: <a href=""%s"">riprovare o scartarli</a>."
"0 keeps failed messages forever.","0 mantiene i messaggi falliti per sempre."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 rimuove immediatamente i messaggi al successo; un valore positivo li mantiene visibili nella griglia per molti giorni."
"Action","Azione"
"Available","Disponibile"
"Available (UTC)","Disponibile (UTC)"
"Back","Indietro"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Elaborazione messaggi in background. Maho cron mantiene uno staccato ""queue:work"" lavoratore in esecuzione per piscina: un residente ""veloce"" lavoratore così brevi lavori mai in coda dietro quelli lunghi, più un ""lento"" catch-all iniziato solo mentre ha funzionato. Entrambe vengono rimosse entro un minuto se muoiono. I pool sono dichiarati in config.xml sotto global/queue/pools."
"Body (serialized)","Corpo (serializzato)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Completato"
"Discard","Scarta"
"Discard Messages","Scarta Messaggi"
"Each retry waits this many times longer than the previous one.","Ogni riprova aspetta questo molte volte più lungo di quello precedente."
"Error","Errore"
"Failed","Fallito"
"Failed messages are retried this many times with exponential backoff, then marked failed.","I messaggi falliti vengono riprovati molte volte con backoff esponenziale, quindi contrassegnati non riusciti."
"ID","ID"
"Initial Retry Delay (seconds)","Ritardo Iniziale Riprova (secondi)"
"Keep Completed Messages (days)","Mantieni I Messaggi Completati (Giorni)"
"Keep Failed Messages (days)","Mantenere Messaggi Non Riusciti (Giorni)"
"Max Retries","Riprova Massima"
"Max Retry Delay (seconds)","Ritardo Massimo Riprova (secondi)"
"Message","Messaggio"
"Message #%s","Messaggio #%s"
"Message Class","Message Class"
"Message Details","Dettagli Messaggio"
"Message discarded.","Messaggio scartato."
"Message not found.","Messaggio non trovato."
"Message Queue","Coda Dei Messaggi"
"Message re-queued.","Messaggio riaccodato"
"Pending","In Attesa"
"Permanently delete the selected messages?","Eliminare definitivamente i messaggi selezionati?"
"Permanently delete this message?","Eliminare definitivamente questo messaggio?"
"Processed (UTC)","Processato (UTC)"
"Processing","Elaborazione"
"Queue","Coda"
"Queued","Accodato"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Riaccodare i messaggi selezionati?"
"Re-queue this message?","Riaccoda questo messaggio?"
"Retries","Riprova"
"Retry","Riprova"
"Retry Delay Multiplier","Moltiplicatore Ritardo"
"Retry Messages","Riprova I Messaggi"
"Status","Stato"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Il messaggio non è stato recuperato: possono essere recuperati solo messaggi non riusciti o bloccati senza una copia più recente della loro chiave dedupe."
"Upper bound for the backoff. 0 means no bound.","Alto limite per il backoff. 0 significa nessun vincolo."
"View","Visualizza"
"View Messages","Visualizza Messaggi"
