"%s role is a special one and can't be changed.","%s role is a special one and can't be changed."
"%s role is a special one and can't be deleted.","%s role is a special one and can't be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","ACL Attributes Information"
"Add","Toevoegen"
"Add Admin Role","Add Admin Role"
"Add New Role","Nieuwe rol toevoegen"
"Address Type","Adrestype"
"Admin","Beheerder"
"Allow","Toestaan"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","Toegewezen"
"Associate to Website","Associate to Website"
"Attribute Rules Information","Attribute Rules Information"
"Attributes","Attributen"
"Attribute Set","Attributenset"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld"
"Back","Terug"
"Backorders","Nabestellingen"
"Base Currency","Basis-valuta"
"Base Customer Balance","Base Customer Balance"
"Base Discount","Base Discount"
"Base Discount Amount","Base Discount Amount"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Item Subtotal Including Tax"
"Base Original Price","Base Original Price"
"Base Price","Base Price"
"Base Price Including Tax","Base Price Including Tax"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Discount"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Including Tax"
"Base Tax Amount","Base Tax Amount"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total Refunded"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Qty"
"Catalog","Catalogus"
"CatalogInventory","CatalogInventory"
"Catalog Product","Catalog Product"
"Category ID","Categorie ID"
"City","Plaatsnaam"
"Company","Bedrijf"
"Country","Land"
"Coupon Code","Tegoedbon code"
"Create","Creëren"
"Created From","Created From"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Customer","Klant"
"Customer Address","Klantadres"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Voornaam klant"
"Customer ID","Klant ID"
"Customer Last Name","Achternaam klant"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Verwijderen"
"Deny","Weigeren"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Korting"
"Discount Amount","Korting"
"Discount Description","Discount Description"
"Edit","Bewerken"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
"Edit attribute rules for %s Role","Edit attribute rules for %s Role"
"Edit Role","Wijzig rol"
"Email","E-mail"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Exclude","Sluit uit"
"File Content","File Content"
"File MIME Type","File MIME Type"
"File Name","Bestandsnaam"
"Final Price Without Tax","Final Price Without Tax"
"Final Price With Tax","Final Price With Tax"
"First Name","Voornaam"
"Gift Message","Cadeau-bericht"
"Grand Total","Eindtotaal"
"Grand Total to Be Charged","Eindtotaal dat in rekening wordt gebracht"
"Group","Groep"
"Guest","Bezoeker"
"Has Custom Options","Has Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Invoiced Qty"
"Is Confirmed","Is Confirmed"
"Is Default Billing Address","Is Default Billing Address"
"Is Default Shipping Address","Is Default Shipping Address"
"Item ID","Item ID"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal Including Tax"
"Label","label"
"Last Logged In","Last Logged In"
"Last Name","Achternaam"
"Low Stock Date","Low Stock Date"
"Manage Stock","Voorraad beheren"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"New Role","Nieuwe rol"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"OAuth","OAuth"
"Order","Bestelling"
"Order Addresses","Order Addresses"
"Order Comments","Bestellingsnotities"
"Order Currency","Order Currency"
"Order Date","Besteldatum"
"Ordered Qty","Ordered Qty"
"Order ID","Bestelling ID"
"Order ID (internal)","Order ID (internal)"
"Order Item ID","Order Item ID"
"Order Items","Order Items"
"Orders","Bestellingen"
"Order Status","Bestelling Status"
"Original Price","Oorspronkelijke prijs"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","Betaalmethode"
"Phone Number","Telefoonnummer"
"Placed from IP","Verstuurd vanaf IP"
"Please enter a valid number in ""max_sale_qty"" field","Please enter a valid number in ""max_sale_qty"" field"
"Please enter a valid number in ""min_qty"" field","Please enter a valid number in ""min_qty"" field"
"Please enter a valid number in ""min_sale_qty"" field","Please enter a valid number in ""min_sale_qty"" field"
