"%1$s incl tax.","%1$s incl BTW."
"* Required Fields","* Verplichte velden"
"-- Select --","-- Selecteer --"
"Add New Option","Nieuwe optie toevoegen"
"Add Selection","Selectie toevoegen"
"and","en"
"Bundle Items","Bundel artikelen"
"Bundle Product","Bundel product"
"Buy %1$s","Koop %1$s"
"Buy %1$s for","Koop %1$s voor"
"Buy %1$s for %2$s","Koop %1$s voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Koop %1$s voor %2$s elk"
"Buy %1$s with %2$s discount each","Koop %1$s met %2$s korting per"
"Catalog Product View (Bundle)","Catalogus Producten Overzicht (Bundel)"
"Checkbox","Selectievakje"
"Choose a selection...","Kies een selectie..."
"Click for price","Klik voor prijs"
"Close","Afsluiten"
"Default","Standaard"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Drop-down"
"Dynamic","Dynamisch"
"each","elke"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Fixed","Opgelost"
"From","van"
"From:","Van:"
"Gift Message","Cadeau bericht"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Input Type","Input Type"
"Is Required","Is verplicht"
"Message:","Bericht:"
"Multiple Select","Meervoudige selectie"
"N/A","N/B"
"None","geen"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"Percent","Percentage"
"Percent Discount","Percentage korting"
"Please enter a number greater 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter search conditions to view products.","Voer zoekcriteria in om producten te bekijken."
"Please select options for product.","Selecteer opties voor het product"
"Please Select Products to Add","Selecteer producten om toe te voegen a.u.b."
"Please specify product option(s).","Geef productoptie(s) op."
"Position","Positie"
"Price as configured","Prijs zoals geconfigureerd"
"Price Range","Prijs bereik"
"Price Type","Prijs Type"
"Qty:","Aantal:"
"Radio Buttons","Radio knoppen"
"Required options are not selected.","Vereiste opties zijn niet geselecteerd."
"save","opslaan"
"Selected required options are not available.","De geselecteerde opties zijn niet beschikbaar."
"Separately","Gescheiden"
"Ship Bundle Items","Bundelartikelen verzenden"
"Shipment","Verzending"
"SKU","Artikelnummer"
"Store View Title","Winkelaanzicht titel"
"There is no defined renderer for ""%s"" option type.","Er is geen weergave gedefinieerd voor ""%s"" optietype."
"This product is also part of bundle(s)","Dit product is ook onderdeel van bundel(s)"
"To","tot"
"To:","Naar:"
"Together","Samen"
"Total incl. Tax: %1$s","Totaal incl. BTW: %1$s"
"Use Default Value","Standaardwaarde gebruiken"
"User Defined Qty","Gebruikersgedefinieerd aantal"
