"* Required Fields","* Verplichte velden"
"Auto Reply","Automatisch antwoorden"
"Comment","Opmerking"
"Contact Form","Contact formulier"
"Contact Form Auto Reply","Automatisch contact formulier beantwoorden"
"Contact Information","Contact informatie"
"Contacts","Contactpersonen"
"Contact Us","Contacteer ons"
"Contact Us Form","Contact met ons formulier"
"Email","E-mailadres"
"Email Options","E-mail opties"
"Email Sender","Afzender e-mail"
"Email Template","E-mail sjabloon"
"Enable Auto Reply","Automatisch antwoord inschakelen"
"Enable Contact Us","Schakel contact in"
"Invalid Form Key. Please submit your request again.","Ongeldige formuliersleutel. Gelieve uw verzoek opnieuw in te dienen."
"Name","naam"
"Send Emails To","Verstuur e-mails aan"
"Submit","Bevestigen"
"Telephone","Telefoon"
"Unable to submit your request. Please try again later","Kan uw verzoek niet indienen. Probeer het later opnieuw"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Je vraag is ingediend en er zal zo snel mogelijk op worden gereageerd. Bedankt voor het contacteren."
