"%s Index process is working now. Please try run this process later.","%s Index-proces is nu werkzaam. Probeer dit proces later uit te voeren."
"%s index was rebuilt.","%s-index is herbouwd."
"'%s' Index Process Information","'%s' Index-procesinformatie"
"Action","Actie"
"Cannot initialize the indexer process.","Kan het indexerproces niet initialiseren."
"Change Index Mode","Wijzig Indexmodus"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klik hier om naar <a href=""%s"">Cachebeheer</a> te gaan en cache-typen te vernieuwen."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klik hier om naar <a href=""%s"">Indexbeheer</a> te gaan en vereiste indexes opnieuw op te bouwen."
"Delete","Verwijderen"
"Description","Omschrijving"
"Disable","Deactiveer"
"Enable","Activeer"
"General","Algemeen"
"Index","Index"
"Index Description","Index Beschrijving"
"Index Management","Indexbeheer"
"Index Mode","Indexmodus"
"Index Name","Naam Index"
"Index mode","Indexmodus"
"Indexer code is not defined.","Indexercode is niet gedefinieerd."
"Indexer model is not defined.","Indexmodel is niet gedefinieerd."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer-model moet Maho_Index_Model_Indexer_Abstract uitbreiden."
"Manual Update","Handmatige update"
"Mode","Type"
"Never","Nooit"
"No","Nee"
"One or more of the Indexes are not up to date:","Een of meer van de Indexen zijn niet up to date:"
"Please select Index(es)","Selecteer Index(en)"
"Please select Indexes","Selecteer Indexen"
"Process Information","Verwerk Informatie"
"Processing","Bezig met verwerken"
"Ready","Gereed"
"Refresh","Vernieuwen"
"Reindex Data","Herindexeer Gegevens"
"Reindex Required","Herindexeren noodzakelijk"
"Revoke","Intrekken"
"Status","status"
"System","Systeem"
"The index has been saved.","De index is opgeslagen."
"There was a problem with reindexing process.","Er was een probleem met het herberekenningsproces."
"There was a problem with saving process.","Er was een probleem met het opslaanproces."
"Total of %d index(es) have changed index mode.","Totaal van %d index(en) hebben de indexmodus gewijzigd."
"Total of %d index(es) have reindexed data.","Totaal van %d index(en) hebben herdexeerd gegevens."
"Update Required","Bijwerken Vereist"
"Update on Save","Indexeren bij opslaan"
"Updated At","Bijgewerkt op"
"Yes","Ja"
