"%s-%s of %s","%s-%s van %s"
"%s - Go to Home Page","%s - Ga naar de startpagina"
"%s Item(s)","%s artikel(en)"
"-- Please Select --","-- Selecteer --"
"-- Use Default --","-- Standaard gebruiken --"
"1 column","1 kolom"
"2 columns with left bar","2 kolommen met linker balk"
"2 columns with right bar","2 kolommen met rechter balk"
"3 columns","3 kolommen"
"Account","Rekening"
"All Empty Layout Pages","Alle pagina's met een lege lay-out"
"All Minimal Layout Pages","Alle minimale lay-out pagina's"
"All One-Column Layout Pages","Alle lay-out pagina's"
"Allow","Toestaan"
"All Pages","Alle pagina's"
"All Pages (Print Version)","Alle pagina's (Print versie)"
"All Rights Reserved.","Alle rechten voorbehouden."
"All Three-Column Layout Pages","Alle drie-kolommen lay-out pagina's"
"All Two-Column Layout Pages (Left Column)","Alle lay-out van twee kolommen (Linker kolom)"
"All Two-Column Layout Pages (Right Column)","Alle lay-out van twee kolommen (rechterkolom)"
"Breadcrumbs","Broodkruimels"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">hier</a> als er niets gebeurd is"
"Close","Afsluiten"
"Close Window","Sluit venster"
"CMS Block","CMS Blok"
"Custom Text","Aangepaste tekst"
"Default Description","Standaard beschrijving"
"Demo Store Notice CMS Block","CMS-blok van Demo Store"
"Demo Store Notice Text","Kennisgeving demo-winkel"
"Deprecated: Use SVG or srcset","Afgekeurd: Gebruik SVG of srcset"
"Disabled","Uitgeschakeld"
"Empty","Leeg"
"Interface Language","Interface taal"
"Leave empty to use the default text.","Laat leeg om de standaardtekst te gebruiken."
"Left Column","Linker kolom"
"Left Column First (shows above main column on smaller screens)","Linker kolom eerst (toont boven hoofdkolom op kleinere schermen)"
"Logo Height (in px)","Logo hoogte (in px)"
"Logo Width (in px)","Logo breedte (in px)"
"Main Content Area","Belangrijkste inhoudsgebied"
"Main Navigation","Hoofd navigatie"
"Menu","Menu"
"Minimal","Minimaal"
"Navigation Bar","Navigatie balk"
"Next","Volgende"
"Page:","Pagina:"
"Page Bottom","Pagina onderaan"
"Page Footer","Pagina voettekst"
"Page Header","Pagina koptekst"
"Page Top","Bovenkant pagina"
"per page","per pagina"
"Previous","named@@0"
"Primary sidebar","Primaire zijbalk"
"Redirecting...","Doorsturen..."
"Results per page","Resultaten per pagina"
"Right Column","Rechter kolom"
"Right sidebar","Sidebar rechts"
"Search","Zoeken"
"Secondary sidebar","Secundaire zijbalk"
"Select Store","Selecteer winkel"
"Select Store:","Selecteer winkel"
"Show","Weergeven"
"Skip to main content","Ga naar de hoofdinhoud"
"Store Notice","Kennisgeving opslaan"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demo winkel. Geen enkele bestelling die via deze winkel wordt geplaatst zal worden uitgevoerd of uitgevoerd."
"View All","Alles Bekijken"
"Welcome!","Welkom!"
"Welcome, %s!","Welkom, %s!"
"Your Language","Uw taal"
"Your Language:","Uw taal:"
