" was not delivered nor scanned"," werd niet bezorgd noch gescand"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Bestelling"" staat een enkele verwerkingskosten voor de hele bestelling toe. ""Per Pakket"" staat individuele verwerkingskosten voor elk pakket toe."
"1 Day Freight","24 uurs zending"
"2 Day","2 Dagen"
"2 Day AM","2 Dag AM"
"2 Day Freight","48 uurs zending"
"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"2nd Day Air AM Letter","48 uurs zending (briefpost)"
"2nd Day Air Letter","48 uurs zending (briefpost)"
"3 Day Freight","72 uur (vracht)"
"3 Day Select","72 uur (select)"
"Access ID","Toegangs-ID"
"Access License Number","Toegangs licentie nummer"
"Account ID","Klant-ID"
"Account Number","Account-nummer"
"Additional Protection Configuration Value","Extra Bescherming Configuratie Waarde"
"Additional Protection Enabled","Extra Bescherming Ingeschakeld"
"Additional Protection Min Subtotal","Extra Bescherming Minus Subtotaal"
"Additional Protection Value","Extra Bescherming Waarde"
"Additional Protection Value Rounding Method","Extra Bescherming Waarde Afrondingsmethode"
"Adult","Volwassenen"
"Adult Signature Required","Handtekening volwassene verplicht"
"Allowed Methods","Toegestane methodes"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Staat toe om het totale bestelgewicht in kleinere stukken te breken als het %s %s overschrijdt om een nauwkeurige berekening van verzendkosten te garanderen."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Staat toe om het totale bestelgewicht in kleinere stukken te breken als het 70 kg overschrijdt om een nauwkeurige berekening van verzendkosten te garanderen."
"Break bulk economy","Bulkverbruikseconomie"
"Break bulk express","Breken bulk express"
"Business Service Center","Bedrijfs Service Centrum"
"Calculate Handling Fee","Verzendkosten berekenen"
"Canada Standard","Canada Standaard"
"Cannot identify measure unit for %s","Kan geen eenheid van meetwaarde identificeren voor %s"
"Cannot identify weight unit for %s","Kan geen gewichtseenheid identificeren voor %s"
"Cannot retrieve shipping rates","Kan de verzendkosten niet ophalen"
"Centimeters","Centimeter"
"Commercial","Commercieel"
"Configuration","Configuratie"
"Container","Container"
"Content Type","Inhoudstype"
"Customer Packaging","Verpakking klant"
"Customer Supplied Package","Klantverstrekte Pakket"
"Customer services","Klantenservice"
"DHL","DHL"
"DHL (Deprecated)","DHL (Verouderd)"
"DHL service is not available at %s date","DHL service is niet beschikbaar op %s datum"
"Debug","Fouten opsporen"
"Default Package Height","Standaard hoogte pakketten"
"Default Package Length","Standaard lengte pakketten"
"Default Package Width","Standaard breedte pakketten"
"Delivered","Afgeleverd"
"Delivery Confirmation","Verzendbevestiging"
"Depth","Diepte"
"Destination Type","Type Bestemming"
"Destination facility code is empty","Bestemmingsfaciliteitscode is leeg"
"Development","Ontwikkeling"
"Direct","Direct"
"Displayed Error Message","Weergegeven foutmelding"
"Divide Order Weight","Verdeel Bestelling Gewicht"
"Documents","Documenten"
"Domestic Shipment Days","Binnenlandse verzenddagen"
"Domestic economy select","Nationaal economie selecteer"
"Domestic express","Binnenlandse expres"
"Drop Box","Drop box"
"Dropoff","Dropshipment"
"Easy shop","Eenvoudige winkel"
"Economy select","Economie selecteren"
"Empty response","Leeg antwoord"
