"Access denied.","Odmowa dostępu."
"Api Key confirmation must be same as Api Key.","Potwierdzenie klucza Api musi być takie samo jak klucz Api."
"Api Key must be at least of %d characters.","Klucz Api musi mieć co najmniej %d znaków."
"Api Key must include both numeric and alphabetic characters.","Klucz Api musi zawierać zarówno znaki liczbowe, jak i alfabetyczne."
"A user with the same user name or email already exists.","Użytkownik o tej samej nazwie użytkownika lub adresie e-mail już istnieje."
"Can not find webservice adapter.","Nie można znaleźć adaptera usługi sieciowej."
"Client Session Timeout (sec.)","Limit czasu sesji klienta (sek.)"
"Default Response Charset","Domyślny zestaw znaków odpowiedzi"
"Email","E-mail"
"Enable WSDL Cache","Włącz pamięć podręczną WSDL"
"First Name is required field.","Imię to pole wymagane."
"General Settings","Ustawienia ogólne"
"Invalid webservice adapter specified.","Określono nieprawidłowy adapter usługi sieciowej."
"Invalid webservice handler specified.","Określono nieprawidłowy program obsługi usługi sieciowej."
"Last Name is required field.","Nazwisko jest wymagane."
"Maho Core API","API rdzenia Maho"
"Please enter a valid email.","Wprowadź poprawny adres e-mail."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Role"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Użytkownicy"
"Unable to login.","Nie można się zalogować."
"User Name","Nazwa użytkownika"
"User Name is required field.","Nazwa użytkownika jest polem wymaganym."
"Web Services","Usługi sieciowe"
"WS-I Compliance","Zgodność WS-I"
"Your account has been deactivated.","Twoje konto zostało dezaktywowane."
