"%s role is a special one and can't be changed.","Rola %s jest specjalna i nie może zostać zmieniona."
"%s role is a special one and can't be deleted.","Rola %s jest specjalna i nie może zostać usunięta."
"%s role is protected.","Rola %s jest chroniona."
"ACL Attribute Rules","Reguły atrybutów ACL"
"ACL Attributes Information","Informacje Atrybutów ACL"
"Add","Dodaj"
"Add Admin Role","Dodaj rolę administratora"
"Add New Role","Dodaj nową rolę"
"Address Type","Typ adresu"
"Admin","Administrator"
"Allow","Zezwól"
"An error occurred while deleting the role.","Wystąpił błąd podczas usuwania roli."
"An error occurred while saving attribute rules.","Wystąpił błąd podczas zapisywania reguł atrybutu."
"An error occurred while saving role.","Wystąpił błąd podczas zapisywania roli."
"Api Rules Information","Informacje o regułach Api"
"Assigned","Przypisane"
"Associate to Website","Powiąż ze stroną internetową"
"Attribute Rules Information","Informacje o regułach atrybutów"
"Attributes","Atrybut"
"Attribute Set","Zestaw cech"
"Automatically Return Credit Memo Item to Stock","Automatycznie zwracaj element faktury korygującej do zapasów"
"Back","Powrót"
"Backorders","Zaległe zamówienia"
"Base Currency","Waluta bazowa"
"Base Customer Balance","Bazowy bilans klienta"
"Base Discount","Bazowa zniżka"
"Base Discount Amount","Kwota rabatu podstawowego"
"Base Item Subtotal","Suma częściowa produktu podstawowego"
"Base Item Subtotal Including Tax","Suma częściowa produktu bazowego z podatkiem"
"Base Original Price","Oryginalna cena bazowa"
"Base Price","Cena bazowa"
"Base Price Including Tax","Cena bazowa z podatkiem"
"Base Shipping","Bazowa dostawa"
"Base Shipping Discount","Bazowy Rabat Dostawy"
"Base Shipping Tax","Podstawowy podatek od dostawy"
"Base Subtotal","Podstawowa suma częściowa"
"Base Subtotal Including Tax","Bazowa suma częściowa z podatkiem"
"Base Tax Amount","Podstawowa kwota podatku"
"Base Total Due","Bazowa kwota do zapłaty"
"Base Total Paid","Bazowa kwota zapłacona"
"Base Total Refunded","Bazowa kwota zwrócona"
"Buy Now URL","Kup teraz adres URL"
"Can Be Divided into Multiple Boxes for Shipping","Można podzielić na wiele skrzyń do wysyłki"
"Canceled Qty","Ilość anulowana"
"Catalog","Katalog"
"CatalogInventory","Ekwipunek katalogu"
"Catalog Product","Produkt Katalogu"
"Category ID","ID kategorii"
"City","Miasto"
"Company","W związku z tym Komisja odrzuciła ten argument."
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Coupon Code","Kod kuponu"
"Create","Utwórz"
"Created From","Utworzono z"
"Create Permanent Redirect for old URL","Utwórz stałe przekierowanie dla starego adresu URL"
"Customer","Klient"
"Customer Address","Adres klienta"
"Customer Address ID","Identyfikator adresu klienta"
"Customer Balance","Saldo klienta"
"Customer First Name","Imię klienta"
"Customer ID","ID klienta"
"Customer Last Name","Nazwisko klienta"
"Customer Middle Name","Drugie imię klienta"
"Customer Prefix","Prefiks klienta"
"Customer Suffix","Sufiks klienta"
"Default Image","Domyślny obraz"
"Delete","Usuń"
"Deny","Odmowa"
"Disable automatic group change based on VAT ID","Wyłącz automatyczną zmianę grupy w oparciu o VAT ID"
"Discount","Rabat"
"Discount Amount","Kwota rabatu"
"Discount Description","Opis rabatu"
"Edit","Edytuj"
"Edit %s ACL attribute rules","Edytuj reguły atrybutów %s ACL"
"Edit attribute rules for %s Role","Edytuj reguły atrybutu dla roli %s"
"Edit Role","Edytuj rolę"
"Email","E-mail"
"Enable Qty Increments","Włącz przyrost ilości"
"Exclude","Wyklucz"
"File Content","Zawartość pliku"
"File MIME Type","Typ MIME pliku"
"File Name","Nazwa pliku"
"Final Price Without Tax","Cena końcowa bez podatku"
"Final Price With Tax","Cena końcowa z podatkiem"
"First Name","Imię"
"Gift Message","Wiadomość prezentowa"
"Grand Total","Łącznie"
"Grand Total to Be Charged","Suma całkowita do naładowania"
"Group","Grupa"
"Guest","Gość"
