"%s was added to your shopping cart.","%s został dodany do koszyka."
"%s was updated in your shopping cart.","%s został zaktualizowany w Twoim koszyku."
"(Excl. Tax)","(bez podatku)"
"(Incl. Tax)","(z podatkiem)"
"* Required Fields","* Pola wymagane"
"Add coupon code for shopping cart","Dodaj kod kuponu dla koszyka"
"Add gift messages to shopping cart","Dodaj wiadomości podarunkowe do koszyka"
"Additional Product Info","Dodatkowe informacje o produkcie"
"Add New Address","Dodaj nowy adres"
"Add New Condition","Dodaj nowy warunek"
"Add product(s) to shopping cart","Dodaj produkt(y) do koszyka"
"Add product to shopping cart","Dodaj produkt do koszyka"
"Address","Adres"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"After Adding a Product Redirect to Shopping Cart","Po dodaniu produktu przekierowanie do koszyka"
"Allow Guest Checkout","Zezwalaj na zamówienie gościa"
"An error occurred. Please try again.","Wystąpił błąd. Spróbuj ponownie."
"An error occurred in the process of payment","Wystąpił błąd w procesie płatności"
"An error occurred while deleting this condition.","Wystąpił błąd podczas usuwania tego warunku."
"An error occurred while placing your order. Please try again.","Wystąpił błąd podczas składania zamówienia. Spróbuj ponownie."
"An error occurred while saving this condition.","Wystąpił błąd podczas zapisywania tego warunku."
"Apply","Zastosuj"
"Applying...","Używanie..."
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten element z koszyka?"
"Back","Powrót"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje o rozliczeniach"
"Cancel","Anuluj"
"Cannot add item to the shopping cart.","Nie można dodać produktu do koszyka."
"Cannot add the item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot add the item to shopping cart.","Nie można dodać produktu do koszyka."
"Cannot configure product.","Nie można skonfigurować produktu."
"Cannot process the item.","Nie można przetworzyć przedmiotu."
"Can not remove the item.","Nie można usunąć elementu."
"Cannot remove the item.","Nie można usunąć elementu."
"Can not save item.","Nie można zapisać elementu."
"Cannot update shopping cart.","Nie można zaktualizować koszyka."
"Cannot update the item.","Nie można zaktualizować elementu."
"Card Verification Number Visual Reference","Wizualny numer weryfikacyjny karty"
"Cart","Koszyk"
"Cart Item Counter","Licznik produktów w koszyku"
"Cart Product API","API produktu w koszyku"
"Cart Subtotal:","Suma częściowa koszyka:"
"Change","Zmiana"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkbox Text","Tekst pola wyboru"
"Checkout","Zamówienie"
"Checkout Conditions","Warunki zamówienia"
"Checkout Forms Extra","Dodatkowe formularze zamówienia"
"Checkout Options","Opcje zamówienia"
"Checkout Progress Wrapper","Wrapper postępu zamówienia"
"Checkout Terms and Conditions","Regulamin zamówienia"
"City","Miasto"
"Clear Shopping Cart","Wyczyść koszyk"
"Click <a href=""%s"">here</a> to continue shopping.","Kliknij <a href=""%s"">tutaj</a> , aby kontynuować zakupy."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Zamknij"
"Company","W związku z tym Komisja odrzuciła ten argument."
"Condition Name","Nazwa warunku"
"Configurable Product Image","Konfigurowalny obraz produktu"
"Configure Cart Item","Skonfiguruj element koszyka"
"Confirm Password","Potwierdź hasło"
"Content","Zawartość"
"Content Height","Wysokość zawartości"
"Content Height (css)","Wysokość zawartości (css)"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Controls how the item count is calculated in the cart icon badge.","Kontroluje sposób obliczania liczby produktów w odznakach koszyka."
"Count Method","Metoda liczenia"
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Coupon:","Kupon:"
"Coupon code ""%s"" was applied.","Zastosowano kod kuponu ""%s."
"Coupon code was removed.","Kod kuponu został usunięty."
"Create an order from shopping cart","Utwórz zamówienie z koszyka"
"Create shopping cart","Utwórz koszyk"
"Customer's information","Informacje o kliencie"
"Customer Address is not valid.","Adres klienta jest nieprawidłowy."
"Customer Information","Informacje o kliencie"
"Delete Condition","Usuń warunek"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Discount code or gift card","Kod rabatowy lub karta podarunkowa"
"Discounts","Rabaty"
"Display number of items in wishlist","Wyświetlaj liczbę produktów na liście życzeń"
"Displays all checkout steps on a single page in a 2-column layout","Wyświetla wszystkie kroki zamówienia na jednej stronie w układzie dwukolumnowym"
"Edit","Edytuj"
"Edit Address","Edytuj adres"
"Edit Condition","Edytuj warunek"
"Edit item parameters","Edytuj parametry produktu"
"Edit Terms and Conditions","Edytuj regulamin"
"Email Address","Adres e-mail"
"Empty Shopping Cart Content Before","Opróżnij zawartość koszyka przed"
"Enabled","Włączone"
"Enable One-Step Checkout","Włącz składanie zamówienia jednoetapowego"
"Enable Onepage Checkout","Włącz zamówienia na jednej stronie"
"Enable Terms and Conditions","Włącz Regulamin"
"Enter discount code","Wprowadź kod rabatowy"
"Enter promo code","Wprowadź kod promocyjny"
"Estimate","Szacunkowy"
"Estimate Shipping and Tax","Oszacuj wysyłkę i podatek"
"Excl. Tax","Bez podatku"
"Failed to save billing address. Please try again.","Nie udało się zapisać adresu rozliczeniowego. Spróbuj ponownie."
"Fax","Faks"
"Forgot your password?","Zapomniałeś hasła?"
"Get list of available payment methods","Pobierz listę dostępnych metod płatności"
"Get list of available shipping methods","Pobierz listę dostępnych metod wysyłki"
"Get list of products in shopping cart","Pobierz listę produktów w koszyku"
"Get terms and conditions","Uzyskaj warunki"
"Get total prices for shopping cart","Uzyskaj całkowitą cenę za koszyk"
"Gift card ""%s"" was removed.","Karta podarunkowa ""%s"" została usunięta."
"Gift Card:","Karta podarunkowa:"
"Gift Message","Wiadomość prezentowa"
"Grouped Product Image","Zgrupowany obraz produktu"
"Have an account?","Masz konto?"
"HTML","HTML"
"ID","ID"
"If customer accounts are disabled in the frontend, guest checkout must remain enabled.","Jeśli konta klientów są wyłączone w front-endzie, zamówienie gości musi pozostać włączone."
"Incl. Tax","Z podatkiem"
"Invalid data.","Nieprawidłowe dane."
"Invalid form key. Please refresh the page.","Nieprawidłowy klucz formularza. Odśwież stronę."
"Invalid method: %s","Nieprawidłowa metoda: %s"
"Invalid shipping method.","Nieprawidłowa metoda dostawy."
"Items","Przedmioty"
"Items After","Przedmioty po"
"Items Before","Przedmioty przed"
"Item was removed successfully.","Element został pomyślnie usunięty."
"Item was updated successfully.","Element został pomyślnie zaktualizowany."
"Load customer quote error","Błąd wczytywania oferty klienta"
"Loading next step...","Wczytywanie następnego kroku..."
"Login","Logowanie"
"Manage Terms and Conditions","Zarządzaj Warunkami"
"Mini-cart promotion block","Blok promocji mini-koszyka"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Przenieś"
"Move to Wishlist","Przenieś do schowka"
"Move to wishlist","Przenieś do listy życzeń"
"New Address","Nowy adres"
"New Condition","Nowy warunek"
"New Terms and Conditions","Nowe warunki"
"No Payment Methods","Brak metod płatności"
"ok","Ok"
"One item of products do not have identifier or sku","Jeden element produktu nie posiada identyfikatora ani sku"
"One item of products is not belong any of quote item","Jeden element produktu nie należy do żadnego elementu oferty"
"One Page Checkout","Zamówienie na jednej stronie"
"One Page Checkout Failure","Błąd zamówienia na jednej stronie"
"One Page Checkout Overview","Przegląd zamówienia na jednej stronie"
"One Page Checkout Success","Pomyślnie dokonano zamówienia na jednej stronie"
"One Step Checkout","Jeden krok zamówienia"
"or","lub"
"Order #","Zamówienie nr"
"Order Review","Sprawdzenie zamówienia"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","OGÓŁEM ZOSTAŁE WYŚWIADCZENIE ZANIM PRZEKAZYWANIE ORDER"
"Password","Hasło"
"Payment Failed Email Reciever","Odbiorca wiadomości e-mail o nieudanej płatności"
"Payment Failed Emails","E-maile o nieudanej płatności"
"Payment Failed Email Sender","Nadawca wiadomości e-mail o nieudanej płatności"
"Payment Failed Template","Szablon płatności nie powiódł się"
"Payment Information","Informacje o płatności"
"Payment Method","Metoda płatności"
"Payment method information","Informacje o metodzie płatności"
"Payment Methods After Checkout Button","Metody płatności po Przycisk Zamówienia"
"Payment Methods Before Checkout Button","Metody płatności przed przyciskiem zamówienia"
"Payment methods in shopping cart","Metody płatności w koszyku"
"Payment profile # %s: ""%s"".","Profil płatności # %s: ""%s""."
"Place Order","Złóż zamówienie"
"Please agree to all the terms and conditions before placing the order.","Zaakceptuj wszystkie warunki przed złożeniem zamówienia."
"Please choose to register or to checkout as a guest","Wybierz aby zarejestrować się lub zamówić jako gość"
"Please enter a promo code.","Wprowadź kod promocyjny."
"Please select a payment method.","Proszę wybrać metodę płatności."
"Please select a shipping method.","Proszę wybrać metodę dostawy."
"Please select region, state or province","Proszę wybrać region, województwo"
"Please select shipping and payment methods before placing your order.","Proszę wybrać metody wysyłki i płatności przed złożeniem zamówienia."
"Please specify payment method.","Proszę określić metodę płatności."
"Please specify shipping method.","Proszę określić metodę dostawy."
"Price","Cena"
"Proceed to Checkout","Przejdź do zamówienia"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product not found.","Nie znaleziono produktu."
"Products","Produkty"
"Promo code ""%s"" is not valid.","Kod promocyjny ""%s"" jest nieprawidłowy."
"Qty","Ilość"
"Qty:","Ilość:"
"Quantity","Ilość"
"Quantity was recalculated from %d to %d","Ilość została przeliczona od %d do %d"
"Quote item does not exist.","Element oferty nie istnieje."
"Quote item is not found.","Element oferty nie został znaleziony."
"Quote Lifetime (days)","Okres ważności oferty (dni)"
"Register","Rejestracja"
"Remove","Usuń"
"Remove coupon code from shopping cart","Usuń kod kuponu z koszyka"
"Remove Item","Usuń element"
"Remove product(s) from shopping cart","Usuń produkt(y) z koszyka"
"Remove product from shopping cart","Usuń produkt z koszyka"
"Remove This Item","Usuń ten element"
"Retrieve information about shopping cart","Pobierz informacje o koszyku"
"Sales","Sprzedaż"
"Save Condition","Zapisz warunek"
"Save in address book","Zapisz w książce adresowej"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select a billing address from your address book or enter a new address.","Wybierz adres rozliczeniowy z książki adresowej lub wprowadź nowy adres."
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wprowadź nowy adres."
"Send Payment Failed Email Copy Method","Wyślij kopię e-maila z nieudaną płatnością"
"Send Payment Failed Email Copy To","Wyślij kopię e-maila o nieudanej płatności do"
"Separate by "","".","Oddziel przez "",""."
"Set customer's addresses in shopping cart","Ustaw adresy klienta w koszyku"
"Set customer for shopping cart","Ustaw klienta dla koszyka"
"Set payment method","Ustaw metodę płatności"
"Set shipping method","Ustaw metodę wysyłki"
"Shipping Address","Adres dostawy"
"Shipping Information","Informacje o wysyłce"
"Shipping information","Informacje o wysyłce"
"Shipping Method","Metoda wysyłki"
"Shipping method has not been selected yet","Metoda wysyłki nie została jeszcze wybrana"
"Shipping Methods","Metody wysyłki"
"Shipping methods in shopping cart","Metody wysyłki w koszyku"
"Ship to different address","Dostawa na inny adres"
"Ship to this address","Dostawa na ten adres"
"Shopping Cart","Koszyk"
"Shopping cart ability to set coupon code","Możliwość ustawiania kuponu w koszyku"
"Shopping Cart is Empty","Koszyk jest pusty"
"Shopping cart items","Produkty w koszyku"
"Shopping Cart Items After","Produkty w koszyku po"
"Shopping Cart Items Before","Produkty w koszyku przed"
"Shopping Cart Sidebar Extra Actions","Dodatkowe akcje paska bocznego koszyka"
"Show Content as","Pokaż zawartość jako"
"Shows only logo header during checkout, removes navigation and footer for a distraction-free experience","Pokazuje tylko nagłówek logo podczas zamówienia, usuwa nawigację i stopkę dla bezrozproszenia"
"SKU","SKU"
"Some of the requested products are not available in the desired quantity.","Niektóre z żądanych produktów nie są dostępne w żądanej ilości."
"Some of the requested products are unavailable.","Niektóre z żądanych produktów są niedostępne."
"Some products quantities were recalculated because of quantity increment mismatch","Niektóre ilości produktów zostały przeliczone ze względu na niezgodność przyrostu ilości"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Przepraszamy, zamówienie gościa nie jest włączone. Spróbuj ponownie lub skontaktuj się z właścicielem sklepu."
"Sorry, no quotes are available for this order at this time.","Przepraszamy, żadne oferty nie są dostępne dla tego zamówienia w tym momencie."
"State/Province","Województwo"
"Status","Status"
"Store View","Widok sklepu"
"Street Address","Ulica"
"Street Address %s","Ulica Adres %s"
"Submitting order information...","Przesyłanie informacji o zamówieniu..."
"Subtotal","Suma częściowa"
"Subtotal must exceed minimum order amount","Suma częściowa musi przekraczać minimalną kwotę zamówienia"
"Summary","Summary"
"Telephone","Telefon"
"Terms and Conditions","Regulamin"
"Terms and Conditions Information","Informacje o Warunkach"
"Text","Tekst"
"Thank you for your purchase!","Dziękujemy za zakup!"
"The condition has been deleted","Warunek został usunięty"
"The condition has been saved.","Warunek został zapisany."
"The onepage checkout is disabled.","Zamówienie na jednej stronie jest wyłączone."
"The product could not be found.","Nie można odnaleźć produktu."
"The product does not exist.","Produkt nie istnieje."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Klient jest już zarejestrowany za pomocą tego adresu e-mail. Zaloguj się za pomocą tego adresu e-mail lub wprowadź inny adres e-mail, aby zarejestrować swoje konto."
"There was an error processing your order. Please contact us or try again later.","Wystąpił błąd podczas przetwarzania zamówienia. Skontaktuj się z nami lub spróbuj ponownie później."
"This condition no longer exists.","Ten warunek już nie istnieje."
"Total","Łącznie"
"Total quantity (2 shirts + 3 pants = 5)","Całkowita ilość (2 koszulki + 3 spodnie = 5)"
"Unable to remove promo code.","Nie można usunąć kodu promocyjnego."
"Unable to set Payment Method.","Nie można ustawić metody płatności."
"Unique products (2 different products = 2)","Unikalne produkty (2 różne produkty = 2)"
"Unit Price","Cena jednostkowa"
"Update","Aktualizuj"
"Update Cart","Aktualizuj koszyk"
"Update product(s) quantities in shopping cart","Aktualizuj ilości produktów w koszyku"
"Update product quantities in shopping cart","Aktualizuj ilości produktów w koszyku"
"Update Shopping Cart","Aktualizuj koszyk"
"Update Total","Aktualizuj sumę"
"Use Billing Address","Użyj adresu rozliczeniowego"
"Use Minimal Checkout Layout","Użyj układu minimalnego zamówienia"
"VAT Number","Numer VAT"
"View Shopping Cart","Zobacz koszyk"
"Waiting for address...","Oczekiwanie na adres..."
"Waiting for shipping method...","Oczekiwanie na metodę wysyłki..."
"What's this?","Co to jest?"
"You have no items in your shopping cart.","Nie masz produktów w koszyku."
"You may be interested in the following items","Możesz być zainteresowany następującymi przedmiotami"
"Your billing agreement # is: %s.","Numer Twojej umowy rozliczeniowej: %s."
"Your Checkout Progress","Postęp realizacji zamówienia"
"Your order # is: %s.","Numer Twojego zamówienia to: %s."
"Your order cannot be completed at this time as there are no payment methods available for it.","Twoje zamówienie nie może zostać zrealizowane w tej chwili, ponieważ nie ma dostępnych metod płatności."
"Your order cannot be completed at this time as there are no shipping methods available for it. Please make necessary changes in your shipping address.","Twoje zamówienie nie może zostać zrealizowane w tej chwili, ponieważ nie ma dostępnych metod wysyłki. Proszę wprowadzić niezbędne zmiany w adresie wysyłki."
"Your order has been received.","Twoje zamówienie zostało odebrane."
"Your recurring payment profiles:","Twoje cykliczne profile płatności:"
"Your shopping cart is empty.","Twój koszyk jest pusty."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz e-mail z potwierdzeniem zamówienia ze szczegółami zamówienia i linkiem do śledzenia jego postępów."
"Zip","ZIP"
"Zip/Postal Code","Kod pocztowy"
