"A block identifier with the same properties already exists in the selected store.","Identyfikator bloku o tych samych właściwościach już istnieje w wybranym sklepie."
"Action","Akcja"
"Add New Block","Dodaj nowy blok"
"Add New Page","Dodaj nową stronę"
"A directory with the same name already exists. Please try another folder name.","Katalog o tej samej nazwie już istnieje. Spróbuj użyć innej nazwy folderu."
"All Countries","Wszystkie kraje"
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"An error occurred while saving the page.","Wystąpił błąd podczas zapisywania strony."
"A page URL key for specified store already exists.","Klucz URL strony dla określonego sklepu już istnieje."
"Are you sure you want to delete current folder?","Czy na pewno chcesz usunąć bieżący folder?"
"Are you sure you want to delete the selected file?","Czy na pewno chcesz usunąć wybrany plik?"
"Block","Blok"
"Block Content","Zablokuj zawartość"
"Block Information","Informacje o bloku"
"Block Title","Tytuł bloku"
"Cannot create new directory.","Nie można utworzyć nowego katalogu."
"Cannot delete directory %s.","Nie można usunąć katalogu %s."
"Cannot delete page, it is used in ""%s"".","Nie można usunąć strony, jest ona używana w ""%s""."
"Cannot delete root directory %s.","Nie można usunąć katalogu głównego %s."
"Cannot disable page, it is used in configuration ""%s"".","Nie można wyłączyć strony, jest ona używana w konfiguracji ""%s""."
"Cannot upload file.","Nie można przesłać pliku."
"CMS","CMS"
"CMS Content Wrapper","Wrapper zawartości CMS"
"CMS Home Page","Strona główna CMS"
"CMS No-Route Page","Strona CMS Nie-Trasy"
"CMS No Route Page","Strona CMS bez trasy"
"CMS Page","Strona CMS"
"CMS Page Link","Link do strony CMS"
"CMS Page Link Block Template","Szablon bloku linków stron CMS"
"CMS Page Link Inline Template","Szablon linku strony CMS"
"CMS Pages (All)","Strony CMS (wszystkie)"
"CMS Static Block","Blok statyczny CMS"
"CMS Static Block Default Template","Domyślny szablon bloku statycznego CMS"
"Collapse All","Zwiń wszystko"
"Content","Zawartość"
"Content Heading","Nagłówek treści"
"Content Management","Zarządzanie treścią"
"Contents of a Static Block","Zawartość bloku statycznego"
"Could not reach the HTML validator service.","Nie można uzyskać dostępu do usługi weryfikatora HTML."
"Create Folder...","Utwórz folder..."
"Custom Design","Własny wygląd"
"Custom Design From","Niestandardowy projekt od"
"Custom Design To","Własny projekt"
"Customer Tax Class Information","Informacje o klasie podatkowej klienta"
"Custom Layout","Niestandardowy układ"
