"* Required Fields","* Pola wymagane"
"0 disables the limit.","0 wyłącza limit."
"<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","<strong style=""color:red"">Ostrzeżenie!</strong> Włączenie tej funkcji może spowodować wysyłanie niechcianych wiadomości do osób, których adresy e-mail są wykorzystywane niezgodnie z przeznaczeniem. Upewnij się, że przed włączeniem wprowadzono środki bezpieczeństwa (np. CAPTCHA, HoneySpam)."
"Abuse Protection","Ochrona przed nadużyciami"
"Adds a hidden field that bots fill in, zero dependency, works everywhere.","Dodaje ukryte pole, które boty wypełniają, zero zależności, działa wszędzie."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Dodaje niewidzialne pole pułapki. Wysyłane zgłoszenia, które je wypełniają, są cicho upuszczane jako ruch bota."
"Allow headless frontends to submit contact forms via the API.","Zezwalaj frontendom bez nagłówka na przesyłanie formularzy kontaktowych za pośrednictwem interfejsu API."
"API Submissions","Zgłoszenia API"
"Auto-Reply Emails per Recipient per Hour","Automatyczna odpowiedź e-mail na odbiorcę na godzinę"
"Auto Reply","Automatyczna odpowiedź"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Ogranicza, ile wiadomości e-mail z automatyczną odpowiedzią może odbierać jeden adres na godzinę. Powiadomienie sprzedawcy jest nadal wysyłane. Pokonuje bombardowanie poczty elektronicznej osób trzecich. 0 wyłącza limit."
"Comment","Komentarz"
"Contact Form","Formularz kontaktowy"
"Contact form (web + API)","Formularz kontaktowy (Web + API)"
"Contact Form Auto Reply","Automatyczna odpowiedź formularza kontaktowego"
"Contact Information","Informacje kontaktowe"
"Contacts","Kontakty"
"Contact Us","Skontaktuj się z nami"
"Contact Us Form","Formularz kontaktowy"
"Email","E-mail"
"Email Options","Opcje e-mail"
"Email Sender","Nadawca wiadomości e-mail"
"Email Template","Szablon e-mail"
"Enable Auto Reply","Włącz automatyczną odpowiedź"
"Enable Contact API","Włącz API Kontaktu"
"Enable Contact Us","Włącz kontakt z nami"
"Enable Honeypot Field","Włącz pole Honeypot"
"Honeypot Field","Pole Honeypot"
"Invalid Form Key. Please submit your request again.","Nieprawidłowy klucz formularza. Proszę ponownie przesłać żądanie."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Niewidzialne miary tła (miodu, limity szybkości), które przerzucają spam i bombardowanie poczty elektronicznej bez utrudnień dla rzeczywistych klientów. Nie ustawiaj limitów tak niskich, że legalni odwiedzający są zablokowani."
"Name","Nazwisko"
"Per email address. Default 3 per hour. 0 to disable.","Na adres e-mail. Domyślnie 3 na godzinę. 0, aby wyłączyć."
"Send Emails To","Wyślij wiadomości e-mail do"
"Settings for contact-form submissions made via the REST/GraphQL API (used by headless storefronts).","Ustawienia przesyłania formularza kontaktowego za pośrednictwem interfejsu API REST/GraphQL (używane przez fronty sklepowe bez nagłówków)."
"Submissions per IP per Hour","Zgłoszenia na IP na godzinę"
"Submit","Prześlij"
"Telephone","Telefon"
"Too many requests. Please wait a moment and try again.","Zbyt wiele żądań. Proszę poczekać chwilę i spróbować ponownie."
"Unable to submit your request. Please try again later","Nie można przesłać żądania. Spróbuj ponownie później"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Twoje zapytanie zostało przesłane i zostanie udzielone na nie jak najszybciej. Dziękujemy za skontaktowanie się z nami."
