"(Optional. Leave blank for no prefix)","(opcjonalnie, pozostaw puste jeśli nie chcesz używać prefiksu)"
"About, contact & more","About, contact & more"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Dodatkowa ścieżka dodana do twojego bazowego URL, prowadząca do Panelu administracyjnego (np. admin, serwis, magazyn itp.)."
"Adds states and provinces to address forms","Adds states and provinces to address forms"
"Admin","Admin"
"Admin Path","Ścieżka administracyjna"
"Base URL","Bazowy URL"
"Cache","Cache"
"Categories","Categories"
"Clothing, accessories & more","Clothing, accessories & more"
"CMS Pages","CMS Pages"
"Complete","Complete"
"Configuration","Konfiguracja"
"Confirm Password","Potwierdź hasło"
"Continue","Kontynuuj"
"Copying media files...","Copying media files..."
"Create Admin Account","Utwórz konto administratora"
"Creating Your Admin Account","Creating Your Admin Account"
"Database","Baza danych"
"Database Connection","Połączenie z bazą"
"Database connection error.","Błąd połączenia z bazą danych."
"Database File Path","Database File Path"
"Database host","Host bazy danych"
"Database Name","Nazwa bazy"
"Database Name cannot be empty.","Nazwa bazy danych nie może być pusta."
"Database server does not support the InnoDB storage engine.","Serwer bazy danych nie obsługuje silnika przechowywania InnoDB."
"Database Type","Typ bazy danych"
"Database user name","Użytkownik bazy danych"
"Database user password","Hasło do bazy danych"
"Default Currency","Domyślna waluta"
"Download","Pobierz"
"Downloading sample data...","Downloading sample data..."
"Email","E-mail"
"Email Address","Adres e-mail"
"Enable Charts","Włącz wykresy"
"Ensure the URL ends with a trailing slash (/). For example: %s","Ensure the URL ends with a trailing slash (/). For example: %s"
"Extract","Extract"
"Extracting files...","Extracting files..."
"Failed to copy media files: %s","Failed to copy media files: %s"
"Failed to download sample data from %s","Failed to download sample data from %s"
"Failed to extract sample data: %s","Failed to extract sample data: %s"
"Failed to save sample data to temporary file","Failed to save sample data to temporary file"
"Failed to start installation. Please try again.","Failed to start installation. Please try again."
"File System","System plików"
"First Name","Imię"
"Flushing caches...","Flushing caches..."
"Get ready to experience Open-Source eCommerce Evolved.","Przygotuj się na poznanie ewolucji w open-sourcowych rozwiązaniach eHandlu."
"Go to Backend","Przejdź do panelu administracyjnego"
"Go to Frontend","Przejdź do sklepu"
"Host","Host"
"I agree to the above terms and conditions.","I'm ready to translate. Please provide the content to be translated to ""pl_PL""."
"Importing configuration...","Importing configuration..."
"Importing database...","Importing database..."
"Importing database... (%s/%s)","Importing database... (%s/%s)"
"Import regions/states for %s","Import regions/states for %s"
"Install %s language pack","Install %s language pack"
"Installation Failed","Installation Failed"
"Installation failed","Installation failed"
