"
                                                        <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                    ","                                                         <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Dlaczego reklamować finansowanie?</a><br/>
                                            <strong>Daj swoim sprzedażom przyspieszenie, reklamując finansowanie.</strong><br/>PayPal pomaga przekształcić przeglądających w kupujących dzięki finansowaniu
                                            z Paypal Credit&#174;. Twoi klienci mają więcej czasu na płatność, a ty otrzymujesz płatność z góry – bez dodatkowych kosztów dla ciebie.
                                            Użyj bezpłatnych banerów reklamowych PayPal, które pozwalają reklamować finansowanie Paypal Credit&#174; jako opcję płatności, gdy klienci dokonują płatności za pomocą PayPal.
                                            Program reklamowy PayPal wykazał, że generuje dodatkowe zakupy, a także zwiększa średnią wielkość zakupów konsumentów o 15%
                                            lub więcej. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zobacz szczegóły</a>.                                                     "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Dlaczego reklamować finansowanie?</a><br/>
                                                    <strong>Daj swoim sprzedażom przyspieszenie, reklamując finansowanie.</strong><br/>PayPal pomaga przekształcić przeglądających w kupujących dzięki finansowaniu
                                                    z Paypal Credit&#174;. Twoi klienci mają więcej czasu na płatność, a ty otrzymujesz płatność z góry – bez dodatkowych kosztów dla ciebie.
                                                    Użyj bezpłatnych banerów reklamowych PayPal, które pozwalają reklamować finansowanie Paypal Credit&#174; jako opcję płatności, gdy klienci dokonują zakupu za pomocą PayPal.
                                                    Program reklamowy PayPal wykazano, że generuje dodatkowe zakupy, a także zwiększa średnią wielkość zakupów konsumentów o 15%
                                                    lub więcej. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zobacz szczegóły</a>.                                                 "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Dlaczego reklamować finansowanie?</a><br/>
                                            <strong>Daj swoim sprzedażom przyspieszenie, reklamując finansowanie.</strong><br/>PayPal pomaga przekształcić przeglądających w kupujących dzięki finansowaniu
                                            z Paypal Credit&#174;. Twoi klienci mają więcej czasu na płatność, a ty otrzymujesz płatność z góry – bez dodatkowych kosztów dla ciebie.
                                            Użyj bezpłatnych banerów reklamowych PayPal, które pozwalają reklamować finansowanie Paypal Credit&#174; jako opcję płatności, gdy klienci dokonują płatności za pomocą PayPal.
                                            Program reklamowy PayPal wykazuje, że generuje dodatkowe zakupy, a także zwiększa średnią wielkość zakupów konsumentów o 15%
                                            lub więcej. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zobacz szczegóły</a>.                                                 "
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","                                             <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Dlaczego reklamować finansowanie?</a><br/>
                                            <strong>Zwiększ swoje sprzedaże, reklamując finansowanie.</strong><br/>PayPal pomaga przekształcić przeglądających w kupujących dzięki finansowaniu
                                            z Paypal Credit&#174;. Twoi klienci mają więcej czasu na płatność, a ty otrzymujesz płatność z góry – bez dodatkowych kosztów dla ciebie.
                                            Użyj bezpłatnych banerów reklamowych PayPal, które pozwalają reklamować finansowanie Paypal Credit&#174; jako opcję płatności, gdy klienci dokonują płatności za pomocą PayPal.
                                            Program reklamowy PayPal wykazuje, że generuje dodatkowe zakupy, a także zwiększa średnią wielkość zakupów konsumentów o 15%
                                            lub więcej. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Zobacz szczegóły</a>.                                         "
"-OR-","-LUB-"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"2-pixel perimeter around the header space.","2-pikselowa odległość naokoło przestrzeni nagłówka."
