"Alert Email Sender","Nadawca powiadomień"
"Alert subscription has been saved.","Alarm subskrypcji został zapisany."
"Allow Alert When Product Comes Back in Stock","Zezwalaj na powiadomienie, gdy produkt wróci do stanu magazynowego"
"Allow Alert When Product Price Changes","Zezwalaj na alerty po zmianie ceny produktu"
"Click here not to receive alerts for this product","Kliknij tutaj, aby nie otrzymywać powiadomień o tym produkcie"
"Error Email Recipient","Błąd adresu e-mail odbiorcy"
"Error Email Sender","Error Email Sender"
"Error Email Template","Błąd szablonu wiadomości e-mail"
"Frequency","Częstotliwość"
"Not enough parameters.","Za mało parametrów."
"Price:","Cena"
"Price Alert Email Template","Szablon powiadomienia cenowego"
"Product Alerts","Ostrzeżenia o produkcie"
"Product alerts Cron error","Alarmy o produkcie błąd Cron"
"Product Alerts Run Settings","Ustawienia powiadomień o produktach"
"Product price alert","Alarm cenowy produktu"
"Product stock alert","Ostrzeżenie o stanie zapasów produktu"
"Regular Price:","Cena standardowa:"
"Sign up for price alert","Zarejestruj się w celu powiadomienia cenowego"
"Sign up to get notified when this product is back in stock","Zarejestruj się, aby otrzymywać powiadomienia, gdy ten produkt jest ponownie dostępny"
"Special price:","Cena specjalna:"
"Start Time","Czas rozpoczęcia"
"Stock Alert Email Template","Szablon powiadomienia o magazynie"
"The alert subscription has been deleted.","Subskrypcja alertu została usunięta."
"The alert subscription has been saved.","Subskrypcja alertu została zapisana."
"The product is not found.","Produkt nie został znaleziony."
"The product was not found.","Produkt nie został znaleziony."
"Unable to update the alert subscription.","Nie można zaktualizować subskrypcji alertu."
"Unsubscribe from all price alerts","Wypisz się ze wszystkich alertów cenowych"
"Unsubscribe from all stock alerts","Wypisz się ze wszystkich alertów magazynowych"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie powiadomień, gdy następujące produkty są ponownie w magazynie:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie powiadomień, gdy ceny następujących produktów ulegną zmianie:"
"You will no longer receive price alerts for this product.","Nie będziesz już otrzymywać powiadomień cenowych za ten produkt."
"You will no longer receive stock alerts.","Nie będziesz już otrzymywać powiadomień o zapasach."
"You will no longer receive stock alerts for this product.","Nie będziesz już otrzymywać powiadomień o zapasach dla tego produktu."
