"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"-- Please Select --","-- Prosimy wybrać --"
"1 Day Freight","Fracht 1-dniowy"
"2 Day","Dzień"
"2 Day AM","2 Dzień AM"
"2 Day Freight","Fracht 2-dniowy"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","List lotniczy 2. dnia"
"3 Day Freight","3-dniowy fracht"
"3 Day Select","3 Day Select"
"Access ID","Identyfikator dostępu"
"Account ID","Identyfikator konta klienta"
"Account Number","Numer konta"
"Account Number","Numer konta"
"Adult","Osoba pełnoletnia"
"Adult Signature Required","Wymagany podpis osoby pełnoletniej"
"Allowed Methods","Dozwolone metody"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"API Environment","API Environment"
"Authentication error","Authentication error"
"Break bulk economy","Złamać ekonomię masową"
"Break bulk express","Break bulk express"
"Business Service Center","Centrum usług biznesowych"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Canada Standard","Kanada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Centimeters","Centymetry"
"Client ID","Client ID"
"Client ID (Consumer Key)","Client ID (Consumer Key)"
"Client Secret","Client Secret"
"Client Secret (Consumer Secret)","Client Secret (Consumer Secret)"
"cm","cm"
"Commercial","Komercyjna"
"Configuration","Konfiguracja"
"Container","Pojemnik"
"Content Type","Typ zawartości"
"CRID (Customer Registration ID)","CRID (Customer Registration ID)"
"Customer Packaging","Opakowanie klienta"
"Customer services","Obsługa klienta"
"Customer Supplied Package","Opakowanie dostaczone przez klienta"
"Debug","Tryb debug"
"Delivery Confirmation","Potwierdzenie distarczenia"
"Depth","Głębokość"
"Destination Type","Typ destynacjiTRANSLATE_THIS"
"Development","Dewelopment"
"DHL","DHL"
"DHL service is not available at %s date","Usługa DHL jest niedostepna dnia %s"
"Direct","Bezpośrednio"
"Displayed Error Message","Wyświetlony błąd"
"Divide Order Weight","Podziel wagę zamówienia"
"Documents","Dokumenty"
"Domestic economy select","Wybór ekonomicznej krajowej"
"Domestic express","Krajowy ekspress"
"Drop Box","Skrzynka pocztowa"
"Dropoff","Dostawa"
"Easy shop","Łatwy zakup"
"Economy select","Wybór ekonomiczny"
"Empty response","Pusta odpowiedź"
"Enabled for Checkout","Włączone"
"Enable Negotiated Rates","Włącz negocjowalne stawki"
"Enables/Disables SSL verification of Maho server by UPS.","Enables/Disables SSL verification of Maho server by UPS."
"Enable SSL Verification","Enable SSL Verification"
"Enable to receive discounted commercial rates instead of retail counter pricing. Recommended for online label printing.","Enable to receive discounted commercial rates instead of retail counter pricing. Recommended for online label printing."
"EPS (Enterprise Payment System)","EPS (Enterprise Payment System)"
"Error #%s : %s","Error #%s : %s"
"Error reading response from UPS","Error reading response from UPS"
"Europack","Europack"
"Europe First Priority","Europa Pierwszy priorytet"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express 9:00","Ekspres 9:00"
"Express 10:30","Ekspres 10:30"
"Express 12:00","Ekspres 12:00"
"Express easy","Łatwy ekspres"
"Express envelope","Ekspresowa koperta"
"Express Saver","Express Saver"
"Express worldwide","Ekspres międzynarodowy"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","Skrzynka FedEx"
"FedEx Envelope","Koperta FedEx"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"Field ""%s"" has wrong value.","Field ""%s"" has wrong value."
"First-Class Mail International Large Envelope","Duża koperta First-Class Mail International"
"First-Class Mail International Letter","List międzynarodowy pierwszej klasy"
"First-Class Mail International Postcard","Pocztówka międzynarodowa pierwszej klasy"
"First-Class Mail Large Envelope","Duża koperta poczty pierwszej klasy"
"First-Class Mail Large Postcards","Duże pocztówki pierwszej klasy"
"First-Class Mail Letter","List pierwszej klasy"
"First-Class Mail Metered Letter","First-Class Mail Metered Letter"
"First-Class Mail Postcards","First-Class Mail Large PostcardsFirst-Class Mail Postcards"
"First-Class Mail Stamped Letter","First-Class Mail Stamped Letter"
"First-Class Package International Service","Usługa międzynarodowej paczki pierwszej klasy"
"First-Class Package Service Hold For Pickup","Usługa wstrzymania paczki pierwszej klasy do odbioru"
"First Overnight","Pierwszy nocleg"
"Flat","Płaski"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Koperta - płaska stawka"
"Free Method","Darmowa metoda"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Freight","Dostawa"
"Freight worldwide","Dostawa międzynarodowa"
"Gateway REST URL","Gateway REST URL"
"Gateway URL","Adres URL bramki"
"Gift","Prezent"
"Girth","Obwód"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Gwarantowany dokument Global Express"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Prostokątny"
"Globalmail business","Działalność Globalmail"
"Ground","Naziemny"
"Ground Commercial","Naziemny komercyjny"
"Ground Residential","Naziemny do miejsca zamieszkania"
"Handling Applied","Wliczono koszty manipulacyjne"
"Handling Fee","Opłata manipulacyjna"
"Height","Wysokość"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Dostawa do domu"
"Hub ID","Hub ID"
"inch","Cal"
"Inches","Cale"
"Indirect","Niebezpośrednia"
"International Economy","Ekonomiczna międzynarodowa"
"International First","International First"
"International Ground","Ziemia międzynarodowa"
"International Priority","Priorytet międzynarodowy"
"Intl Economy Freight","Fracht międzynarodowy ekonomiczny"
"Intl Priority Freight","Fracht międzynarodowy priorytetowy"
"Jetline","Jetline"
"Jumbo box","Pudełko Jumbo"
"Key","Klucz"
"Kilograms","Kilogramy"
"Large","Duży"
"Large Express Box","Duże pudełko ekspresowe"
"Length","Długość"
"Letter","List"
"Library Mail Parcel","Library Mail Parcel"
"Live","Produkcja"
"Machinable","Automatyczne pakowanie"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksymalna waga paczki (prosimy skonsultować z kurierem maksymalną dopuszczalną wagę paczki)"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Ekspres medyczny"
"Medium Express Box","Średnie pudełko ekspresowe"
"Merchandise","Dobra handlowe"
"Meter Number","Numer metryczny"
"Method toOptionArray not found in source model.","Method toOptionArray not found in source model."
"MID (Mailer ID)","MID (Mailer ID)"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimalna waga paczki (prosimy skonsultować z kurierem maksymalną dopuszczalną wagę paczki)"
"Mode","Tryb"
"National Freight","Fracht krajowy"
"Next Day Air","Lot następnego dnia"
"Next Day Air Early AM","Lot następnego dnia we wczesnych godzinach porannych"
"Next Day Air Early AM Letter","List lotniczy następnego dnia we wczesnych godzinach porannych"
