"All Websites","Wszystkie strony"
"Apply Discounts To FPT","Zastosuj zniżki do FPT"
"Display Prices In Emails","Wyświetl ceny w wiadomościach e-mail"
"Display Prices In Product Lists","Wyświetl ceny na listach produktów"
"Display Prices In Sales Modules","Wyświetl ceny w modułach sprzedaży"
"Display Prices On Product View Page","Wyświetl ceny na stronie widoku produktu"
"Enable FPT","Włącz FPT"
"Excluding FPT","Z wyłączeniem FPT"
"Excluding FPT, FPT description, final price","Z wyłączeniem FPT, opis FPT, cena ostateczna"
"Fixed Product Tax","Stały podatek od produktu"
"Fixed Product Taxes","Stałe Podatki Produktu"
"FPT Tax Configuration","Konfiguracja podatku FPT"
"Include FPT In Subtotal","Dołącz FPT w sumie"
"Including FPT and FPT description","Łącznie z opisem FPT i FPT"
"Including FPT and FPT description [incl. FPT VAT]","W tym FPT i opis FPT [włącznie z FPT VAT]"
"Including FPT only","W tym tylko FPT"
"Loaded and Displayed with Tax","Załadowany i wyświetlany z podatkiem"
"Not Taxed","Nie opodatkowano"
"Taxed","Podatek"
"Total","Łącznie"
"Total Incl. Tax","Suma z podatkiem"
"Total incl. tax","Razem z podatkiem"
