"Action","Akcja"
"Active","Aktywne"
"Add New Rule","Dodaj nową regułę"
"Apply rule to source products matching the following conditions (leave blank for all products)","Zastosuj regułę do produktów źródłowych spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Are you sure?","Jesteś pewien?"
"Catalog","Katalog"
"Change status","Zmień status"
"Conditions","Warunki"
"Conditions Combination","Kombinacja warunków"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Wyrażenie crona do przetwarzania reguł. Domyślnie: <strong>0 3 * * *</strong> (codziennie o 3am)."
"Cron Schedule","Harmonogram crona"
"Cross-sell Products","Produkty sprzedaży krzyżowej"
"Delete","Usuń"
"Delete Rule","Usuń regułę"
"Description","Opis"
"Disabled","Wyłączone"
"does not match source","nie pasuje do źródła"
"Edit","Edytuj"
"Edit Rule '%s'","Edytuj regułę '%s'"
"Enabled","Włączone"
"From Date","Od daty"
"How rule-generated links combine with existing product links.<br/><strong>Replace</strong>: delete existing links, then insert rule results (default).<br/><strong>Merge</strong>: keep existing links and append rule results, with no duplicates.","Jak linki generowane przez reguły łączą się z istniejącymi linkami produktowymi.<br/><strong>Zamień</strong>: usuń istniejące linki, a następnie wstaw wyniki reguły (domyślnie).<br/><strong>Scal</strong>: zachowaj istniejące linki i dołącz wyniki reguły, bez duplikatów."
"ID","ID"
"Inactive","Nieaktywny"
"Link to target products matching the following conditions (leave blank for all products)","Link do produktów docelowych spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Link Type","Link Type"
"Lower number = higher priority","Niższa liczba = wyższy priorytet"
"matches source","pasuje do źródła"
"Maximum Links","Maksymalna liczba linków"
"Maximum number of linked products per source product (leave empty for unlimited)","Maksymalna liczba powiązanych produktów na produkt źródłowy (pozostaw puste dla nieograniczonych)"
"Merge (keep existing links, append rule results)","Połącz (zachowaj istniejące linki, dołącz wyniki reguł)"
"Merge Behaviour","Zachowanie scalania"
"Name: A-Z","Nazwa: A-Z"
"Name: Z-A","Nazwa: Z-A"
"Newest First","Najnowsze najpierw"
"New Rule","Nowa reguła"
"Oldest First","Najpierw najstarsze"
"Please select rule(s).","Proszę wybrać regułę(y)."
"Price: High to Low","Cena: od wysokiej do niskiej"
"Price: Low to High","Cena: od najniższej do wysokiej"
"Priority","Priorytet"
"Product Attribute","Atrybut produktu"
"Product Link Rules","Reguły linku produktu"
"Product Relationship Rules","Reguły relacji produktu"
"Random (Default)","Losowy (domyślny)"
"Related Products","Powiązane produkty"
"Replace (delete existing links, insert rule results)","Zastąp (usuń istniejące linki, wstaw wyniki reguły)"
"Rule Information","Informacje o Regule"
"Rule Name","Nazwa reguły"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Rule","Zapisz regułę"
"Sort Order","Kolejność sortowania"
"Source Product Conditions","Warunki produktu źródłowego"
"Source products matching %s of these conditions are %s:","Produkty źródłowe pasujące do %s z tych warunków to %s:"
"Status","Status"
"Target Conditions","Warunki docelowe"
"Target product attribute will be compared to source product","Cecha produktu docelowego zostanie porównana z produktem źródłowym"
"Target Product Conditions","Docelowe warunki produktu"
"Target products matching %s of these conditions are %s:","Produkty docelowe pasujące do %s z tych warunków to %s:"
"The rule has been deleted.","Reguła została usunięta."
"The rule has been saved.","Reguła została zapisana."
"This rule no longer exists.","Ta reguła już nie istnieje."
"To Date","Do daty"
"Total of %d record(s) were deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) were updated.","Całkowita liczba rekordów %d została zaktualizowana."
"Up-sell Products","Produkty up-sell"
