"%s message(s) discarded.","%s message(s) discarded."
"%s message(s) re-queued.","%s message(s) re-queued."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>."
"0 keeps failed messages forever.","0 utrzymuje nieudane wiadomości na zawsze."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 usuwa wiadomości natychmiast po sukcesie; pozytywna wartość utrzymuje je w siatce przez wiele dni."
"Action","Akcja"
"Available","Dostępny"
"Available (UTC)","Dostępne (UTC)"
"Back","Powrót"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Przetwarzanie wiadomości w tle. Maho cron utrzymuje jeden oddzielony pracownik ""kolejka:work"" uruchomiony na basen: ""szybki"" pracownik, tak krótkie prace, nigdy nie w kolejce za długimi, plus „wolny” wychwyt rozpoczął się tylko wtedy, gdy działa. Obydwa są odsuwane w ciągu minuty, jeśli umrze. Pule są deklarowane w pliku config.xml w globalnym/kolejce / pulach."
"Body (serialized)","Ciało (szeregowane)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Zakończone"
"Discard","Odrzuć"
"Discard Messages","Odrzuć wiadomości"
"Each retry waits this many times longer than the previous one.","Każda próba poczeka tak wiele razy dłużej niż poprzednia."
"Error","Błąd"
"Failed","Niepowodzenie"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Nieudane wiadomości są ponawiane wielokrotnie z wykładniczą kopią zapasową, a następnie oznaczone jako nieudane."
"ID","ID"
"Initial Retry Delay (seconds)","Początkowe opóźnienie powtórzenia (sekundy)"
"Keep Completed Messages (days)","Zachowaj ukończone wiadomości (dni)"
"Keep Failed Messages (days)","Zachowaj nieudane wiadomości (dni)"
"Max Retries","Maksymalna liczba prób"
"Max Retry Delay (seconds)","Maksymalne opóźnienie powtórzenia (sekundy)"
"Message","Wiadomość"
"Message #%s","Wiadomość nr%s"
"Message Class","Message Class"
"Message Details","Szczegóły wiadomości"
"Message discarded.","Wiadomość odrzucona."
"Message not found.","Nie znaleziono wiadomości."
"Message Queue","Kolejka wiadomości"
"Message re-queued.","Wiadomość ponownie w kolejce."
"Pending","Oczekujące"
"Permanently delete the selected messages?","Usunąć wybrane wiadomości?"
"Permanently delete this message?","Usunąć tę wiadomość na stałe?"
"Processed (UTC)","Przetworzony (UTC)"
"Processing","Przetwarzanie"
"Queue","Kolejka"
"Queued","Kolejka"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Ponownie dodać zaznaczone wiadomości?"
"Re-queue this message?","Ponownie dodać tę wiadomość?"
"Retries","Ponowne próby"
"Retry","Ponów próbę"
"Retry Delay Multiplier","Ponów mnożnik opóźnień"
"Retry Messages","Powtórz wiadomości"
"Status","Status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Wiadomość nie została ponowiona: można odzyskać tylko nieudane lub utknięte wiadomości bez nowszej kopii ich klucza odliczania."
"Upper bound for the backoff. 0 means no bound.","Górna granica dla kopii zapasowej. 0 oznacza brak limitu."
"View","Widok"
"View Messages","Zobacz wiadomości"
