"--Please Select--","-- Por favor, selecione --"
"Accepted Currency","Moedas Aceitas"
"API Login ID","ID de Login da API"
"Card Verification Number","Código de Verificação do Cartão"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Close","Fechar"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Types","Tipo do Cartão de Crédito"
"Credit Card Verification","Verificação do cartão de crédito"
"Debug","Depurar"
"Email Customer","Enviar E-mail ao Cliente"
"Enabled","Habilitado"
"Expiration Date","Data de Validade"
"Gateway URL","URL de entrada"
"Maximum Order Total","Total máximo de pedidos"
"Merchant's Email","E-mail do Comerciante"
"Minimum Order Total","Total mínimo do pedidos"
"New Order Status","Novo status do pedido"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Payment authorization error."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Sort Order","Ordenação"
"Test Mode","Modo de Teste"
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Título"
"Transaction Key","Chave de transação"
"What is this?","O que é isso?"
