"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data from: %s)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por favor selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"Action","Ação"
"Active Filters","Active Filters"
"Actual Price","Preço atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add attribute into attribute set","Add attribute into attribute set"
"Add Design Change","Adicionar Alteração de Design"
"Add Group","Adicionar Grupo"
"Add group into attribute set","Add group into attribute set"
"Add Group Price","Add Group Price"
"Additional Information","Additional Information"
"Additional Views","Additional Views"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add new custom option into product","Add new custom option into product"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Nova Imagem"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Add New Set"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar Produto Para Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Add Tier"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Alert Urls","Alert Urls"
"All","Todos"
"ALL GROUPS","TODOS OS GRUPOS"
"Allow All Products per Page","Permitir todos os produtos por página"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, novos produtos - produtos marcados como novo"
"All Product Types","Todos os tipos de produto"
"All Websites","Todos os sites"
"Amount","Quantidade"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"and","and"
"and above","e acima"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
