"A block identifier with the same properties already exists in the selected store.","Um identificador do bloco com as mesmas propriedades já existe na loja selecionada."
"Action","Ação"
"Add New Block","Adicionar novo bloco"
"Add New Page","Adicionar Nova Página"
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"All Countries","Todos os Países"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"An error occurred while saving the page.","An error occurred while saving the page."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","Bloquear"
"Block Content","Block Content"
"Block Information","Informação do Bloco"
"Block Title","Título do Bloco"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete page, it is used in ""%s"".","Cannot delete page, it is used in ""%s""."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot disable page, it is used in configuration ""%s"".","Cannot disable page, it is used in configuration ""%s""."
"Cannot upload file.","Cannot upload file."
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS homepage"
"CMS No-Route Page","CMS No-Route Page"
"CMS No Route Page","Página No Route CMS"
"CMS Page","Página CMS"
"CMS Page Link","Link da página CMS"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","Bloco estático do CMS"
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"Collapse All","Recolher Tudo"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Content Management","Gerenciamento de conteúdo"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
"Create Folder...","Create Folder..."
"Custom Design","Design Personalizado"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Customer Tax Class Information","Customer Tax Class Information"
"Custom Layout","Layout Personalizado"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Tema Personalizado"
"Date Created","Date Created"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Folder","Apagar Pasta"
"Delete Page","Excluir Página"
"Description","Descrição"
"Design","Visual"
"Disabled","Desabilitado"
"Disabled by Default","Desativado por padrão"
"Disabled Completely","Desativado Completamente"
"Edit Block","Editar o Bloco"
"Edit Block '%s'","Edit Block '%s'"
"Edit Image","Edit Image"
"Edit Page","Editar Página"
"Edit Page '%s'","Edit Page '%s'"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por padrão"
"Enable WYSIWYG Editor","Habilitar o Editor WYSIWYG"
"Expand All","Expandir Tudo"
"General Information","Informações gerais"
"Go to Home Page","Ir para a página inicial"
"Home","Início"
"ID","Id."
"Identifier","Identificador"
"If empty, the Page Title will be used","Se estiver vazio, será usado o título da página"
"Insert File","Inserir Arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Atualização do Layout XML"
"Link to a CMS Page","Link para uma página CMS"
"Manage Pages","Gerenciar páginas"
"Media Gallery","Galeria de mídia"
"Media Library","Media Library"
"Media Storage","Armazenamento de Mídia"
"Meta Data","Meta Data"
"Meta Description","Meta Descrição"
"Meta Keywords","Meta Palavras-chave"
"Meta Robots","Meta Robots"
"New Block","Novo Bloco"
"New Folder Name:","Nome da Nova Pasta:"
"New Page","Nova Página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informação da Página"
"Page Layout","Page Layout"
"Pages","Páginas"
"Page Status","Page Status"
"Page Title","Título da Página"
"Please add at least one image to the slideshow","Please add at least one image to the slideshow"
"Product Tax Class Information","Product Tax Class Information"
"px.","px."
"Relative to Website Base URL","Relative to Website Base URL"
"Robots","Robots"
"Save Block","Save Block"
"Save Page","Gravar Página"
"Save Process","Save Process"
"Select Block...","Selecione o Bloco..."
"Select Page...","Selecione a Página..."
"Show Breadcrumbs for CMS Pages","Mostrar migalhas para páginas CMS"
"Some content is not supported. Clean and continue?","Some content is not supported. Clean and continue?"
"Static Blocks","Blocos estáticos"
"Status","Situação"
"Storage Root","Matriz de Armazenamento"
"Store View","Visão de Loja"
"Template","Tema"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page has been deleted.","A página foi excluída."
"The page has been saved.","The page has been saved."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta página não existe mais."
"Title","Título"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete.","Unable to find a page to delete."
"URL Key","Chave URL"
"WYSIWYG Options","Opções do WYSIWYG"
