"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para sem prefixo)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicionado depois do URL base para acessar o painel de administração (ex: admin, backend, control, etc.)."
"Admin","Admin"
"Admin Path","Caminho da administração"
"Base URL","URL Base"
"Complete","Complete"
"Config","Config"
"Configuration","Configuração"
"Confirm Password","Confirmar Senha"
"Continue","Próximo"
"Create Admin Account","Criar conta de administrador"
"Creating Your Admin Account","Creating Your Admin Account"
"Database","Banco de dados"
"Database Connection","Conexão com banco de dados"
"Database connection error.","Erro de conexão de banco de dados."
"Database File Path","Database File Path"
"Database host","Servidor do banco de dados"
"Database Name","Nome do banco de dados"
"Database Name cannot be empty.","Nome do Banco de Dados não pode ser vazio."
"Database server does not support the InnoDB storage engine.","Servidor de banco de dados não suporta o mecanismo de armazenamento InnoDB."
"Database Type","Tipo de Banco de Dados"
"Database user name","Nome do usuário de banco de dados"
"Database user password","Senha do usuário do banco de dados"
"Default Currency","Moeda padrão"
"Download","Fazer Download"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Enable Charts","Habilitar gráficos"
"Ensure the URL ends with a trailing slash (/). For example: %s","Ensure the URL ends with a trailing slash (/). For example: %s"
"File System","Sistema de arquivos"
"First Name","Nome"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se para experimentar uma evolução em eCommerce com código aberto."
"Go to Backend","Ir para o backend"
"Go to Frontend","Ir para o frontend"
"Host","Servidor"
"I agree to the above terms and conditions.","I'm ready to translate. Please provide the content to be translated to pt_BR."
"Installation Progress","Installation Progress"
"Installer does not exist for %s database engine","Installer does not exist for %s database engine"
"Installing Maho","Installing Maho"
"Just a moment...","Just a moment..."
"Last Name","Sobrenome"
"License","License"
"Locale","Localidade"
"Localization","Localização"
"Login Information","Informações de entrada"
"Maho Installation Wizard","Maho Installation Wizard"
"No resource for %s database engine.","No resource for %s database engine."
"One of PHP Extensions ""%s"" must be loaded.","Um dos Extensões PHP ""%s"" deve ser carregado."
"Password","Senha"
"Password Confirmation","Confirmação de Senha"
"Passwords do not match.","Passwords do not match."
"Path ""%s"" must be writable.","Caminho ""%s"" deve ser gravável."
"Personal Information","Informações Pessoais"
"PHP extension ""%s"" must be loaded.","Extensão PHP ""%s"" deve ser carregada."
"PHP Extension '%s' loaded","Extensão PHP '%s' carregada"
"PHP Extensions ""%s"" must be loaded.","Extensões PHP ""%s"" devem ser carregadas."
"Please correct the user data and try again.","Por favor, corrija os dados do usuário e tente novamente."
"Please set all required settings before clicking Continue","Por favor, defina todas as configurações obrigatórias antes de clicar em continuar"
"Please wait while we set up your store...","Please wait while we set up your store..."
"Relative path from var/db/ directory, or absolute path, or :memory: for in-memory database","Relative path from var/db/ directory, or absolute path, or :memory: for in-memory database"
"Required Fields","Campos Obrigatórios"
"Response from server isn't valid.","Resposta do servidor não é válida."
"Run admin interface with SSL","Rodar interface admin com SSL"
"Save Session Data In","Salvar Dados de Sessão Em"
"Save Session Files In","Salvar Arquivos de Sessão Em"
"Secure Base URL","URL Base Segura"
"Session Storage Options","Opções de Armazenamento de Sessão"
"Tables Prefix","Prefixo de tabelas"
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","O prefixo da tabela deve conter apenas letras (a-z), números (0-9) ou underscores (_), o primeiro caractere deve ser uma letra."
"The URL ""%s"" is invalid.","O URL ""%s"" é inválido."
"The URL ""%s"" is not accessible.","O URL ""%s"" não é acessível."
"Time Zone","Fuso horário"
"URL must end with a trailing slash (/)","URL must end with a trailing slash (/)"
"User Name","Nome de Usuário"
"Username","Nome de Usuário"
"User Password","Senha de usuário"
"Use Secure URLs (SSL)","Usar URLs seguras (SSL)"
"Web Access Options","Web Access Options"
"Welcome to Maho's Installation Wizard","Bem-vindo ao Assistente de Instalação do Maho"
"You're All Set","Você está pronto"
"You can specify server port, ex.: localhost:3307<br>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You can specify server port, ex.: localhost:5432","You can specify server port, ex.: localhost:5432"
