"Action","Ação"
"Add New Template","Adicionar novo template"
"Add to Queue","Adicionar à Fila"
"Allow Guest Subscription","Permitir Assinatura a Utilizadores Não Registrados"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Back","Voltar"
"Be the first to know about new arrivals, special offers, and insider news.","Be the first to know about new arrivals, special offers, and insider news."
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first."
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Remetente do e-mail de confirmação"
"Confirmation Email Template","Template do e-mail de confirmação"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Converter para texto sem formatação"
"Coupon Code","Código do cupom"
"Coupon Expiration Date (Formatted)","Coupon Expiration Date (Formatted)"
"Coupon Expiration Date (Raw)","Coupon Expiration Date (Raw)"
"Coupon Rule Description","Coupon Rule Description"
"Create Newsletter Template","Novo Template de Newsletter"
"Customer","Cliente"
"Customer Email","E-mail do cliente"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Customer Middle Name","Customer Middle Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Customer Name","Nome do cliente"
"Customer Name (Object)","Customer Name (Object)"
"Customer Segments","Segmentação de Clientes"
"Customer Variables","Customer Variables"
"Date Added","Data de inclusão"
"Date Updated","Date Updated"
"Default Template","Modelo padrão"
"Delete","Excluir"
"Delete Selected Problems","Excluir os problemas selecionados"
"Delete Template","Excluir Template"
"Do you really want to cancel the queue?","Você realmente quer cancelar a fila?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editar newsletter"
"Edit Newsletter Template","Editar modelo de newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Template"
"Email","E-mail"
"Email Automation Variables","Email Automation Variables"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Follow this link to unsubscribe:","Follow this link to unsubscribe:"
"Guest","Visitante"
"ID","Id."
"Insert Variable...","Inserir variável..."
"Invalid queue selected.","Invalid queue selected."
"Invalid sender email address","Invalid sender email address"
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Message","Mensagem"
"Need to Confirm","Pedir Confirmação"
"New Newsletter Template","Novo modelo de newsletter"
"Newsletter","Boletim informativo"
"Newsletter Message Preview","Pré-visualização da Mensagem da Newsletter"
"Newsletter Problem Reports","Relatórios de Problemas da Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Inscritos de Newsletter"
"Newsletter Subscription","Assinar Newsletter"
"Newsletter subscription confirmation","Confirmação de assinatura da Newsletter"
"Newsletter Subscription Form","Newsletter Subscription Form"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter subscription success","Sucesso na assinatura da Newsletter"
"Newsletter Templates","Modelos de newsletter"
"Newsletter unsubscription success","Sucesso de cancelamento da Newsletter"
"Newsletter Variables","Newsletter Variables"
"New Template","Novo template"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Não Ativado"
"No Templates Found","Nenhum modelo foi encontrado"
"Not Sent","Não Enviado"
"Pause","Pausar"
"Paused","Pausado"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Pré-visualização"
"Preview Template","Visualizar template"
"Processed","Processado"
"Queue Date Start","Data de Início da Fila"
"Queue Finish","Queue Finish"
"Queue Information","Informações da fila"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Início da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Redefinir"
"Resume","Resumir"
"Return HTML Version","Retornar a versão HTML"
"Save and Resume","Save e Continuar"
"Save As","Salvar como"
"Save Newsletter","Salvar newsletter"
"Save Template","Salvar Template"
"Segment Name","Nome do segmento"
"Selected problems have been deleted.","Selected problems have been deleted."
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Sender name is required","Sender name is required"
"Sending","Enviando"
"Sent","Enviado"
"Sequence Step Number","Sequence Step Number"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign Up for Our Newsletter:","Inscreva-se na nossa Newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Ínicio"
"Status","Situação"
"Store","Loja"
"Store View","Visão de Loja"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Inscrito"
"Subscriber","Assinante"
"Subscriber Email","Subscriber Email"
"Subscribers","Inscritos"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de assinaturas"
"Success Email Sender","Remetente do E-mail de Sucesso"
"Success Email Template","Template do E-mail de Sucesso"
"Template code is required","Template code is required"
"Template Content","Conteúdo do Template"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Styles","Estilos de template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de modelo"
"Template type must be numeric","Template type must be numeric"
"Thank you for your subscription.","Obrigado por sua assinatura."
"The newsletter template has been deleted.","O template da newsletter foi removido."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"This email address is already assigned to another user.","Este endereço de e-mail já está associado a outra conta."
"This email address is already confirmed.","This email address is already confirmed."
"This email address is already registered.","This email address is already registered."
"Type","Tipo"
"Unconfirmed","Não confirmados"
"Unsubscribe","Cancelar Assinatura"
"Unsubscribed","Não Inscrito"
"Unsubscribe Link","Unsubscribe Link"
"Unsubscribe Selected","Remover Assinatura dos Selecionados"
"Unsubscription Email Sender","Remetente do E-mail de Cancelamento"
"Unsubscription Email Template","Template do E-mail de Cancelamento"
"View Newsletter","Ver newsletter"
"Website","Site"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","A sua inscrição foi confirmada."
