"3D Secure","Segurança 3D"
"3D Secure Card Validation","Validação de Cartão Seguro 3D"
"API Login ID","ID de login API"
"Accepted Currency","Moeda Aceita"
"Allow Partial Authorization","Permitir a autorização parcial"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Tem certeza que deseja cancelar o seu pagamento? Clique em OK para cancelar o seu pagamento e liberar o valor em espera. Clique em Cancelar para inserir outro cartão de crédito e continuar com o seu pagamento."
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Authorize.Net Transaction ID %s","Authorize.Net ID de transação %s"
"Authorize.net","Authorize.net"
"Authorize.net (Deprecated)","Authorize.net (obsoleto)"
"Cancel","cancelar"
"Credit Card Types","Tipos de Cartão Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Credit Card: xxxx-%s","Cartão de Crédito: xxxx-%s"
"Debug","Debug"
"Email Customer","Cliente de e-mail"
"Enabled","Ativado"
"Error in payment gateway.","Erro no gateway de pagamento."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","As ações do gateway estão bloqueadas porque o gateway não consegue concluir uma ou mais das transações. Por favor, faça login em sua conta Authorize.Net para resolver manualmente o(s) problema(s)."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio, um valor padrão será usado. O URL personalizado pode ser fornecido pelo acordo CardinalCommerce."
"Invalid amount for authorization.","Valor inválido para autorização."
"Invalid amount for capture.","Valor inválido para captura."
"Invalid amount for partial authorization.","Valor inválido para autorização parcial."
"Invalid amount for refund.","Valor inválido para reembolso."
"Invalid split tenderId ID.","ID split tenderId inválido."
"Maximum Order Total","Total máximo de pedidos"
"Merchant's Email","E-mail do Comerciante"
"Minimum Order Total","Total mínimo do pedidos"
"New Order Status","Status de Novo Pedido"
"Parent Authorize.Net transaction (ID %s) expired","Transação Authorize.Net (ID %s) expirada"
"Payment Action","Ação de pagamento"
"Payment authorization error.","Erro de autorização de pagamento."
"Payment canceling error.","Erro ao cancelar pagamento."
"Payment capturing error.","Erro ao capturar pagamento."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment partial authorization error.","Erro de autorização parcial de pagamento."
"Payment refunding error.","Erro de reembolso do pagamento."
"Payment updating error.","Erro ao atualizar."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Valor Processado"
"Remaining Balance","Saldo Restante"
"Severe 3D Secure Card Validation","Validação de cartão de segurança 3D severa"
"Severe Validation Removes Chargeback Liability on Merchant","Validação Severa Remove Responsabilidade de Reembolso no Comerciante"
"Shopping cart contents and/or address has been changed.","O conteúdo do carrinho de compras e/ou endereço foi alterado."
"Sort Order","Ordem de classificação"
"Test Mode","Modo de teste"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","O valor em seu cartão de crédito é insuficiente para completar sua compra. O valor disponível foi colocado. Para concluir sua compra, clique em OK e especifique número de cartão de crédito adicional. Para cancelar a compra e liberar o valor em espera, clique em Cancelar."
"There was an error canceling transactions. Please contact us or try again later.","Houve um erro ao cancelar as transações. Por favor, entre em contato conosco ou tente novamente mais tarde."
"Title","Título"
"Transaction Key","Chave de Transação"
"You have reached the maximum number of credit card allowed to be used for the payment.","Você atingiu o número máximo de cartões de crédito permitidos para o pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Você atingiu o número máximo de cartões de crédito que podem ser usados para um pagamento. Os valores disponíveis em todos os cartões usados eram insuficientes para completar o pagamento. O pagamento foi cancelado e os valores em espera foram liberados."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Seu cartão de crédito foi recusado. Clique em OK para especificar outro cartão de crédito para completar sua compra. Clique em Cancelar para liberar o montante em espera e selecione outro método de pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Seu pedido não foi feito, porque o conteúdo do carrinho de compras e/ou endereço foi alterado. Os valores autorizados do seu pagamento anterior que ficaram pendentes agora foram liberados. Por favor, faça check-out no conteúdo do seu carrinho recente."
"Your payment has been cancelled. All authorized amounts have been released.","Seu pagamento foi cancelado. Todos os valores autorizados foram liberados."
"amount %s","quantia %s"
"authorize","autorizar"
"authorize and capture","autorizar e capturar"
"capture","capturar"
"failed","falha"
"refund","reembolsar"
"successful","sucesso"
"void","anular"
