"
                                                        <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                    ","                                                         <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Por que Anunciar Financiamento?</a><br/>
                                            <strong>Dê um impulso às suas vendas quando anuncia financiamento.</strong><br/>PayPal ajuda a transformar navegadores em compradores com financiamento
                                            do Crédito Paypal&#174;. Seus clientes têm mais tempo para pagar, enquanto você recebe o pagamento antecipadamente – sem custo adicional para você.
                                            Use os banners publicitários gratuitos do PayPal que permitem anunciar o financiamento do Crédito Paypal&#174; como opção de pagamento quando seus clientes fazem checkout com o PayPal.
                                            O Programa de Publicidade do PayPal mostrou gerar compras adicionais, além de aumentar os tamanhos de compra médios dos consumidores em 15%
                                            ou mais. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Veja Detalhes</a>.                                                     "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                                    <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                                    from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                                    Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                                    The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                                    or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Por que Anunciar Financiamento?</a><br/>
                                                    <strong>Dê um impulso às suas vendas quando anuncia financiamento.</strong><br/>O PayPal ajuda a transformar navegadores em compradores com financiamento
                                                    do Crédito PayPal&#174;. Seus clientes têm mais tempo para pagar, enquanto você recebe o pagamento antecipadamente – sem custo adicional para você.
                                                    Use os banners publicitários gratuitos do PayPal que permitem anunciar o financiamento do Crédito PayPal&#174; como opção de pagamento quando seus clientes fazem checkout com o PayPal.
                                                    O Programa de Publicidade do PayPal mostrou gerar compras adicionais, além de aumentar os tamanhos de compra médios dos consumidores em 15%
                                                    ou mais. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Veja Detalhes</a>.                                                 "
"
                                                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                                ","                                                     <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Por que Anunciar Financiamento?</a><br/>
                                            <strong>Dê um impulso às suas vendas quando anuncia financiamento.</strong><br/>PayPal ajuda a transformar navegadores em compradores com financiamento
                                            do Crédito Paypal&#174;. Seus clientes têm mais tempo para pagar, enquanto você recebe o pagamento antecipadamente – sem custo adicional para você.
                                            Use os banners publicitários gratuitos do PayPal que permitem anunciar o financiamento do Crédito Paypal&#174; como opção de pagamento quando seus clientes fazem checkout com o PayPal.
                                            O Programa de Publicidade do PayPal mostrou gerar compras adicionais, além de aumentar os tamanhos de compra médios dos consumidores em 15%
                                            ou mais. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Veja Detalhes</a>.                                                 "
"
                                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from Paypal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise Paypal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                                        ","                                             <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Por que Anunciar Financiamento?</a><br/>
                                            <strong>Dê um impulso às suas vendas quando anuncia financiamento.</strong><br/>O PayPal ajuda a transformar navegadores em compradores com financiamento
                                            do Crédito PayPal&#174;. Seus clientes têm mais tempo para pagar, enquanto você recebe o pagamento antecipadamente – sem custo adicional para você.
                                            Use os banners publicitários gratuitos do PayPal que permitem anunciar o financiamento do Crédito PayPal&#174; como opção de pagamento quando seus clientes fazem checkout com o PayPal.
                                            O Programa de Publicidade do PayPal mostrou gerar compras adicionais, além de aumentar os tamanhos de compra médios dos consumidores em 15%
                                            ou mais. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Veja Detalhes</a>.                                         "
"-OR-","-Ou-"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"2-pixel perimeter around the header space.","Perímetro de 2 pixeis ao redor do espaço do cabeçalho."
