"Abandoned Carts","Carrinhos abandonados"
"Abandoned carts","Carrinhos abandonados"
"Action","Acão"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"All Time","Todos os tempos"
"Any","Qualquer"
"Applied Coupon","Cupom aplicado"
"Applies to Any of the Specified Order Statuses","Aplica-se a qualquer um dos status de pedidos especificados"
"Are you sure?","Você tem certeza?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem certeza que deseja atualizar estatísticas de tempo de vida? Pode haver impacto no desempenho durante esta operação."
"Avg. Approved Rating","Avaliação média aprovada"
"Avg. Rating","Avaliação média"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Modelo de Grade dos Bestsellers"
"Bestsellers Images and Names Template","Imagens de bestsellers e Templates de nomes"
"Bestsellers Images Only Template","Modelo Somente de Imagens de Bestsellers"
"Bestsellers List Template","Modelo de lista de bestsellers"
"Bestsellers Names Only Template","Modelo Somente de Nomes dos bestsellers"
"Carts","Carrinhos"
"Catalog Category (Without Subcategories)","Catálogo Categoria (sem Subcategorias)"
"Compared Product Images Only Template","Modelo Somente de Imagens do Produto Comparado"
"Compared Product Names Only Template","Modelo Somente de Nomes dos Produtos Comparados"
"Compared Products Grid Template","Modelo de grelha de produtos comparados"
"Compared Products Images and Names Template","Imagens de produtos comparados e Templates de nomes"
"Compared Products List Template","Modelo de lista de produtos comparados"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de utilização de cupons"
"Created At","Criado em"
"CSV","Csv"
"Current Month Starts","Início do Mês Atual"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customers","clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers Report","Relatório de Clientes"
"Customers Reviews","Comentários de clientes"
"Customers Tags","Tags de clientes"
"Customer Tags","Tags do Cliente"
"Dashboard","Painel"
"Day","dia"
"Default Recently Compared Products Count","Contagem de produtos comparados recentemente por padrão"
"Default Recently Viewed Products Count","Contagem de produtos visualizados recentemente por padrão"
"Description","Descrição:"
"Detail","Detalhe"
"Downloads","Downloads"
"Email","e-mail"
"Empty Rows","Linhas vazias"
"Enable Product Compare","Habilitar Comparação de Produto"
"Enable Recently Viewed Products","Ativar produtos visualizados recentemente"
"Enable Reports","Ativar Relatórios"
"Excel XML","Excel XML"
"Filter","filtro"
"First Name","Primeiro nome"
"From","De"
"General","Gerais"
"Guest","Visitante"
"Hits","Acertos"
"ID","ID"
"Index model name must be defined","Nome do modelo de índice deve ser definido"
"Invalid date specified.","Data especificada inválida."
"Invoiced","Faturado"
"IP Address","Endereço IP"
"Items in Cart","Itens no Carrinho"
"Last 7 Days","Últimos 7 Dias"
"Last 30 Days","Últimos 30 Dias"
"Last Name","Último Nome"
"Last Review","Última Revisão"
"Link","Vincular"
"List of best selling products for a given period","Lista de produtos mais vendidos por um determinado período"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Produtos Comparados Recentemente e Removidos da Lista de Comparação pelo Visitante"
"List of Products Recently Viewed by Visitor","Lista de Produtos Visualizados Recentemente pelo Visitante"
"Low Stock","Estoque Baixo"
"Low stock","Pouco estoque"
"Match Period To","Corresponder período a"
"Month","Mês"
"Most Viewed","Mais Vistos"
"Name","Nome:"
"New Accounts","Novas Contas"
"No","Não"
"Number Added","Número adicionado"
"Number Fulfilled","Número Cumprido"
"Number of Items","Número de Itens"
"Number of New Accounts","Número de Novas Contas"
"Number of Products to display","Número de Produtos para exibir"
"Number Of Reviews","Número de análises"
"Number of Reviews","Número de Comentários"
"Number of Total Tags","Número total de marcadores"
"Number of Unique Tags","Número de Tags Únicas"
"Number of Views","Número de visualizações"
"Number Purchased","Número Comprado"
"Number Viewed","Número visualizado"
"Only In-Stock Products","Apenas produtos em estoque"
"Orders","Encomendas"
"Order Status","Situação do pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de impostos de pedido agrupado por Taxas de imposto"
"Out of stock","Fora de estoque"
"Period","Menstruação"
"Poducts Report","Relatório de ducts"
"Popularity","Popularidade"
"Popular Tags","Marcadores Populares"
"Price","Quantidade"
"Product Name","Nome do Produto"
"Product Reviews","Avaliações do Produto"
"Products","produtos"
"Products in carts","Produtos nos carrinhos"
"Product SKU","SKU do produto"
"Products Ordered","Produtos comprados"
"Products Report","Relatório de Produtos"
"Products Reviews","Avaliações de Produtos"
"Products Tags","Tags de produtos"
"Product Tags","Tags de Produto"
"Purchases","Compras"
"Quantity of Items","Quantidade de Itens"
"Quantity Ordered","Quantidade comprada"
"Recently Compared","Recentemente Comparado"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed","Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos recentemente Visualizados/Comparados"
"Recently Viewed Products","Produtos vistos recentemente"
"Refresh Lifetime Statistics","Atualizar Estatísticas Vitalícias"
"Refresh Statistics","Atualizar estatísticas"
"Refresh Statistics for the Last Day","Atualizar estatísticas do último dia"
"Refunds","Restituições"
"Report","Denunciar"
"Reports","relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Avaliar"
"Reviews","Avaliações"
"Reviews for %s","Avaliações para %s"
"Sales","vendas"
"Sales Report","Relatório de vendas"
"Search Query","Consulta de Pesquisa"
"Search Terms","Buscar Termos"
"Select day of the month.","Selecione o dia do mês."
"Shipping","Envio:"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Price Rule","Regra de Preço do Carrinho"
"Show Actual Values","Mostrar valores reais"
"Show for Current","Exibir para a Atual"
"Show Report","Mostrar Relatório"
"Specified","Especificado"
"Statistics","estatísticas"
"Stock Qty","Qtde em estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado em"
"Subtotal","Sub-total"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalhes de marcação ""%s"
"Tag Detail","Detalhes da Tag"
"Tag Name","Nome do Marcador"
"Tags Submitted by %s","Tags Enviadas por %s"
"Tags submitted to %s","Etiquetas enviadas para %s"
"Tag Use","Uso de Etiqueta"
"Tax","Imposto"
"This Month","Este Mês"
"This Year","Este Ano"
"Title","Título"
"To","Para"
"Total","Total:"
"Total invoiced","Total faturado"
"Total Invoiced vs. Paid Report","Total Faturado vs. Relatório pago"
"Total Ordered Report","Relatório Total de Pedidos"
"Total refunded","Total reembolsado"
"Total Refunded Report","Relatório total reembolsado"
"Total Shipped Report","Relatório total de envios"
"Total Tags","Total de Etiquetas"
"undefined","indefinido"
"Updated At","Atualizado em"
"Viewed Products Grid Template","Modelo de grade de produtos visualizados"
"Viewed Products Images and Names Template","Imagens de produtos visualizados e Templates de nomes"
"Viewed Products Images Only Template","Modelo de Imagens de Produtos Visualizados"
"Viewed Products List Template","Modelo de lista de produtos visualizados"
"Viewed Products Names Only Template","Modelo limitado de Nomes de Produtos Visualizados"
"Visible In","Visível em"
"Year","ano"
"Year-To-Date Starts","Início do ano"
"Yes","sim"
"Your Recently Compared","Recentemente comparado"
"Your Recently Viewed","Visualizados Recentemente"
