"Add","Adicionar"
"ALL","TODOS"
"ANY","QUALQUER"
"Apply","Aplicar"
"by","por"
"Conditions Combination","Combinação de Condições"
"contains","contém"
"Customer Groups must be specified.","Grupos de Clientes devem ser especificados."
"does not contain","não contém"
"End Date must be greater than Start Date.","Data de término deve ser maior que a Data de início."
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"FALSE","FALSO"
"from","de"
"greater than","maior do que"
"If %s of these conditions are %s:","Se %s destas condições são %s:"
"Invalid discount amount.","Quantia de desconto inválida"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menos que"
"Open Chooser","Abrir Seletor"
"Perform following actions","Executar a sequência de ações"
"Please choose a condition to add...","Por favor, escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor, escolha uma ação para adicionar..."
"Remove","Remover"
"There is no information about associated entity type ""%s"".","Não há informações sobre o tipo de entidade associada ""%s""."
"to","para"
"TRUE","VERDADEIRO"
"Websites must be specified.","Os sites devem ser especificados."
