"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - coincide com qualquer; 'xyz*' - coincide com qualquer que comece com 'xyz' e não é mais longo que %d."
"-- Please Select --","-- Por favor selecione --"
"Add New Class","Adicionar Nova Classe"
"Add New Tax Rate","Adicionar Nova Taxa de Imposto"
"Add New Tax Rule","Adicionar Nova Regra de Taxa"
"After Discount","Após o Desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao deletar essa taxa."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao deletar essa taxa. ID de taxa incorreto."
"An error occurred while deleting this tax class.","Ocorreu um erro ao deletar essa classe de imposto."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao deletar essa regra de imposto."
"An error occurred while saving this tax class.","Ocorreu um erro ao salvar essa classe de imposto."
"An error occurred while saving this tax class. A class with the same name","Ocorreu um erro ao salvar essa classe de imposto. Uma classe com o mesmo nome"
"Apply Customer Tax","Aplicar Impostos ao Consumidor"
"Apply Discount On Prices","Aplicar Descontos nos Preços"
"Apply Tax On","Aplicar o imposto sobre"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Aplicar desconto no preço incluindo imposto é calculado com base no imposto da loja, se ""Aplicar Imposto após Desconto"" estiver selecionado."
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"CSV","CSV"
"Calculate off subtotal only","Calcular apenas sobre subtotal"
"Calculation Settings","Configurações de cálculo"
"Catalog Prices","Catálogo de preços"
"Class Name","Nome da classe"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Clique aqui para ir para <a href=""%s"">Configuração de impostos</a> e altere suas configurações."
"Code","Código"
"Country","País"
"Custom price if available","Preço personalizado se disponível"
"Customer Tax Class","Classe de Imposto do Cliente"
"Customer Tax Class Information","Informações de classe de impostos de cliente"
"Customer Tax Classes","Classes de Impostos de Clientes"
"Default Country","País Padrão"
"Default Post Code","ZIP Padrão"
"Default State","Estado padrão"
"Default Tax Destination Calculation","Cálculo de Destino de Imposto Padrão"
"Delete Class","Excluir classe"
"Delete Rate","Eliminar Taxa"
"Delete Rule","Excluir a regra"
"Display Full Tax Summary","Exibir Resumo de Impostos Completo"
"Display Prices","Exibir preços"
"Display Product Prices In Catalog","Exibir Preços de Produtos no Catálogo"
"Display Shipping Amount","Mostrar Valor de Entrega"
"Display Shipping Prices","Mostrar Valores de Entrega"
"Display Subtotal","Exibir o Subtotal"
"Display Zero Tax Subtotal","Mostrar subtotal sem impostos"
"Edit Class","Editar classe"
"Edit Class '%s'","Editar classe '%s'"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar a taxa de imposto"
"Enable Cross Border Trade","Habilitar Comércio Transfronteiriço"
"Excel XML","Excel, XML"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. imposto:"
"Excluding Tax","Excluindo impostos"
"Export Tax Rates","Taxas de imposto de exportação"
"Grand Total (Excl. Tax)","Preço Final (Sem Impostos)"
"Grand Total (Excl.Tax)","Preço Final (Sem Impostos)"
"Grand Total (Incl. Tax)","Preço Final (Com Impostos)"
"Grand Total (Incl.Tax)","Preço Final (Com Impostos)"
