"Action","Acão"
"Activities","Atividades"
"Activity Information","Informação de Atividade"
"Activity Log","Registro de atividades"
"Activity log entry not found","Entrada de log de atividade não encontrada"
"Admin Activity Log","Admin - Registro de Atividade"
"Back","Anterior"
"Configuration","Configuração"
"Create","Crio"
"CSV","Csv"
"Date/Time","Data/Hora"
"Days to Keep Logs","Dias para manter logs"
"Delete","excluir"
"Enable Admin Activity Log","Habilitar registro de atividades do administrador"
"Entity","Entidade"
"Entity Type","Tipo de entidade"
"Excel XML","Excel XML"
"Failed","Falhou"
"Failure Reason","Motivo falha"
"General Settings","Configurações Gerais"
"ID","ID"
"IP Address","Endereço IP"
"Log Delete Actions","Registrar ações de exclusão"
"Log Failed Login Attempts","Log de tentativas de login falhou"
"Login","Conectar-se"
"Login Activity","Atividade de login"
"Log Login/Logout Activity","Login/Logout de atividade"
"Log Mass Actions","Registrar Ações em Massa"
"Logout","Desconectar"
"Log Page Visits","Página de Log Visitas"
"Log Save Actions","Registrar ações de salvamento"
"Number of days to keep activity logs. Set to 0 to keep forever.","Número de dias para manter os registros de atividade. Defina como 0 para manter para sempre."
"Request URL","Solicitar URL"
"Status","SItuação"
"Success","Sucesso"
"System","SISTEMA"
"Type","tipo"
"Update","Atualização"
"URL","URL:"
"Username","Usuário:"
"View","Visualizar"
"View Activity Log","Visualizar registro de atividades"
"View Activity Log Entry #%s","Exibir Entrada de Registro de Atividade #%s"
"View Login Activity","Ver atividade de login"
