"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl imposto."
"%s-%s of %s","%s-%s de %s"
"%s and above","%s e acima"
"%s Item(s)","%s item(ns)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por favor selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não for definido. Para atualizar instantaneamente, limpe o cache de saída HTML dos blocos."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Obsoleto.</strong> Catálogo Flat será removido em uma versão futura. Bancos de dados modernos não requerem mais essa otimização."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Aviso!</strong> Aplicar o MAP por padrão irá ocultar todos os preços do produto no frontend."
"Action","Acão"
"Active Filters","Filtros ativos"
"Actual Price","Preço atual"
"Add","Adicionar"
"Add Attribute","Adicionar atributo"
"Add attribute into attribute set","Adicionar atributo ao conjunto de atributos"
"Add Design Change","Adicionar Alteração de Design"
"Add Group","Adicionar Grupo"
"Add group into attribute set","Adicionar grupo ao conjunto de atributos"
"Add Group Price","Adicionar Grupo de Preço"
"Additional Information","Informações Adicionais"
"Additional Views","Visualizações Adicionais"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add new custom option into product","Adicionar nova opção ao produto"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar Novo Conjunto"
"Add new values into custom option","Adicionar novos valores à opção personalizada"
"Add option","Adicionar alternativa"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar Produto Para Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Camada"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Alert Urls","URLs de Alerta"
"All","TODOS"
"ALL GROUPS","TODOS OS GRUPOS"
"Allow All Products per Page","Permitir Todos os Produtos por Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs Dinâmicas de Mídia em Produtos e Categorias"
"Allowed File Extensions","Extensões de arquivo permitidas"
"Allowed file extensions to upload","Extensões de arquivos permitidas para upload"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos adicionados recentemente, Novos produtos - produtos marcados como novo"
"All Product Types","Todos os Tipos de Produtos"
"All Websites","Todos os sites"
"Amount","Quantidade"
"Anchor Custom Text","Texto Personalizado Âncora"
"Anchor Custom Title","Título Personalizado Âncora"
"and","e"
"and above","e acima"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos ao websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta avaliação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos do websites."
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, cancelando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a consulta de pesquisa."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar a reescrita de URL"
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta avaliação."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos dos produtos."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o status dos produtos."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi especificado, ignorando registro."
