"A block identifier with the same properties already exists in the selected store.","Já existe na loja selecionada um identificador de bloco com as mesmas propriedades."
"Action","Ação"
"Add New Block","Adicionar Novo Bloco"
"Add New Page","Adicionar Nova Página"
"A directory with the same name already exists. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, tente outro nome de pasta."
"All Countries","Todos os países"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"An error occurred while saving the page.","Ocorreu um erro ao guardar a página."
"A page URL key for specified store already exists.","Uma chave de URL de página para loja especificada já existe."
"Are you sure you want to delete current folder?","Tem a certeza de que deseja eliminar a pasta atual?"
"Are you sure you want to delete the selected file?","Tem a certeza de que deseja eliminar o ficheiro seleccionado?"
"Block","Bloco"
"Block Information","Informação de Blocos"
"Block Title","Título do Bloco"
"Cannot create new directory.","Não é possível criar novo diretório."
"Cannot delete directory %s.","Não é possível eliminar o diretório %s."
"Cannot delete page, it is used in ""%s"".","Cannot delete page, it is used in ""%s""."
"Cannot delete root directory %s.","Não é possível eliminar o diretório raiz %s."
"Cannot disable page, it is used in configuration ""%s"".","Cannot disable page, it is used in configuration ""%s""."
"Cannot upload file.","Não é possível carregar ficheiro."
"CMS","Sistema de Gestão de Conteúdo"
"CMS Content Wrapper","Invólucro de Conteúdo CMS"
"CMS Home Page","Página Principal CMS"
"CMS No-Route Page","CMS Página Sem Rota"
"CMS No Cookies Page","Página No Cookies CMS"
"CMS No Route Page","Página No Route CMS"
"CMS Page","Página CMS"
"CMS Page Link","Link da Página CMS"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Static Block","Bloco Estático CMS"
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"Collapse All","Esconder Todos"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Content Management","Gestão de Conteúdo"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
"Create Folder...","Criar Pasta..."
"Custom Design","Design personalizado"
"Custom Design From","Designação Personalizada De"
"Custom Design To","Designação Personalizada Para"
"Customer Tax Class Information","Informação de Classe de Imposto do Cliente"
"Custom Layout","Layout Personalizado"
"Custom Layout Update XML","Atualização de Layout Personalizado XML"
"Custom Theme","Tema Personalizado"
"Date Created","Data Criada"
"Delete Block","Remover Bloco"
"Delete File","Apagar Ficheiro"
"Delete Folder","Remover Pasta"
"Delete Page","Remover Página"
"Description","Descrição"
"Design","Projetar"
"Disabled","Inativo"
"Disabled by Default","Desativado por Pré-definição"
"Disabled Completely","Desativado Completamente"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Image","Edit Image"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enabled","Ativo"
"Enabled by Default","Ativado por Pré-definição"
"Enable WYSIWYG Editor","Ativar Editor WYSIWYG"
"Expand All","Expandir Todos"
"General Information","Informação Geral"
"Go to Home Page","Ir para Página Inicial"
"Home","Início"
"ID","Id."
"Identifier","Identificador"
"If empty, the Page Title will be used","Se estiver vazio, será usado o Título da Página"
"Insert File","Inserir Ficheiro"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor, utilize caracteres alfanuméricos, sublinhados e travessões."
"Keywords","Palavras-Chave"
"Last Modified","Última Modificação"
"Layout","Layout"
"Layout Update XML","Atualização do Layout XML"
"Link to a CMS Page","Link para uma Página CMS"
"Manage Pages","Gerir Páginas"
"Media Gallery","Galeria de Média"
"Media Library","Media Library"
"Media Storage","Armazenamento Média"
"Meta Data","Dados Meta"
"Meta Description","Descrição Meta"
"Meta Keywords","Palavras-chave Meta"
"Meta Robots","Meta Robots"
"New Block","Novo Bloco"
"New Folder Name:","Nome da Nova Pasta:"
"New Page","Nova Página"
"No files found","Nenhum ficheiro encontrado"
"Page Information","Informações da Página"
"Page Layout","Layout da Página"
"Pages","Páginas"
"Page Status","Estado da Página"
"Page Title","Título da Página"
"Please add at least one image to the slideshow","Please add at least one image to the slideshow"
"Product Tax Class Information","Informação de Classe de Imposto de Produto"
"px.","px"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para Página CMS se as Cookies estiverem Desativadas"
"Relative to Website Base URL","Relativo à URL Base do Site"
"Robots","Robots"
"Save Block","Guardar Bloco"
"Save Page","Gravar Página"
"Save Process","Guardar Processo"
"Select Block...","Selecione o Bloco..."
"Select Page...","Selecione a Página..."
"Show Breadcrumbs for CMS Pages","Mostrar Breadcrumbs nas Páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
