"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" length must be equal or greater than %s characters.","""%s"" length must be equal or greater than %s characters."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
". Do not use ""event"" for an attribute code, it is a reserved keyword.",". Do not use ""event"" for an attribute code, it is a reserved keyword."
"Add Option","Adicionar Opção"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"An error occurred while loading a record, aborting. Error: %s","An error occurred while loading a record, aborting. Error: %s"
"An error occurred while loading the collection, aborting. Error: %s","An error occurred while loading the collection, aborting. Error: %s"
"An error occurred while saving a record, aborting. Error: ","An error occurred while saving a record, aborting. Error: "
"Are you sure you want to delete this set? Type ""confirm"" to proceed.","Are you sure you want to delete this set? Type ""confirm"" to proceed."
"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products","Attribute '%s' used in configurable products"
"Attribute Code","Código de Atributo"
"Attribute group with the ""%s"" name already exists","Attribute group with the ""%s"" name already exists"
"Attribute Label","Etiqueta do Atributo"
"Attribute object is undefined","O objeto de atributo está indefinido"
"Attribute Properties","Propriedade do Atributo"
"Attribute set with the ""%s"" name already exists.","Attribute set with the ""%s"" name already exists."
"Attribute with the same code","Atributo com o mesmo código"
"Cannot delete group.","Não é possível apagar o grupo."
"Cannot delete group. Please move system attributes to another group and try again.","Cannot delete group. Please move system attributes to another group and try again."
"Cannot unassign attribute","Cannot unassign attribute"
"Cannot unassign group","Cannot unassign group"
"Cannot unassign system attribute","Cannot unassign system attribute"
"Catalog Input Type for Store Owner","Tipo de Input de Catálogo para o Dono da Loja"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Current module pathname is undefined"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Date","Data"
"Decimal Number","Número Décimal"
"Default option value is not defined","Default option value is not defined"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","A Ordenação de Produtos Pré-definida não existe na Lista de Ordenações de Produto Disponíveis."
"Default Value","Valor Pré-definido"
"Delete","Eliminar"
"Dropdown","Menu"
"Email","Correio electrónico"
"Entity collection expected.","Entity collection expected."
"Entity collections expected.","Entity collections expected."
"Entity instance is not defined","Entity instance is not defined"
"Entity is not initialized","A entidade não foi inicializada"
"Entity object is undefined","O objeto entidade não está definido"
"Failed to load node %s from config","Failed to load node %s from config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %s symbols"
"Form code is not defined","Form code is not defined"
"Form Element with the same attribute","Elemento do Formulário com o mesmo atributo"
"Form Fieldset with the same code","Conjunto de Campos de Formulário com o mesmo código"
"Form Type with the same code","Tipo de Formulário com o mesmo código"
"Frontend label is not defined","Frontend label is not defined"
"Input Validation for Store Owner","Validação de Input para o Dono da Loja"
"Integer Number","Número Inteiro"
"Invalid alias, already exists in joint attributes","Nome inválido, já existe nos atributos combinados"
"Invalid attribute name: %s","Invalid attribute name: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Invalid attribute type"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid date","Data inválida"
"Invalid default date","Invalid default date"
"Invalid default decimal value","Invalid default decimal value"
"Invalid EAV attribute.","Invalid EAV attribute."
"Invalid entity specified","Invalid entity specified"
"Invalid entity supplied.","Invalid entity supplied."
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity type","Invalid entity type"
"Invalid entity_id, skipping the record.","Invalid entity_id, skipping the record."
"Invalid foreign key","Invalid foreign key"
"Invalid form type.","Invalid form type."
"Invalid joint fields","Campos combinados inválidos"
"Invalid store specified","Invalid store specified"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Joint field or attribute expression with this alias is already declared","Já está declarado um campo combinado ou uma expressão de atributo com este nome"
"Letters","Letras"
