"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar Nova Classificação"
"Assigned Options","Opções Atribuídas"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"Default Value","Valor Padrão"
"Delete Rating","Excluir Classificação"
"Edit Rating","Editar avaliação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, será usado o valor padrão."
"Manage Ratings","Gerenciar Avaliações"
"New Rating","Nova avaliação"
"Option Label","Etiqueta da Opção"
"Option Title","Título da Opção"
"Option Title:","Título da Opção:"
"Please select one of each ratings above","Por favor, selecione um de cada avaliação acima"
"Rating Information","Informação de Classificação"
"Rating Name","Nome da Classificação"
"Rating Options","Opções de avaliação"
"Rating Title","Título de Classificação"
"Rating Visibility","Visibilidade de Classificação"
"Rating isn't Available","Classificação não disponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Salvar avaliação"
"Sort Order","Ordem de classificação"
"Visible In","Visível em"
