"%d Review(s)","%d Review(s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Add New Review"
"Administrator","Administrador"
"Allow Guests to Write Reviews","Permitir que os convidados escrevam avaliações"
"All Reviews","Todas as avaliações"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Approved","Aprovado"
"Are you sure?","Tem a certeza?"
"Are you sure you want to do this?","Tem a certeza que quer fazer isso?"
"Average Customer Rating","Avaliação média do cliente"
"Average Customer Rating:","Avaliação média do cliente:"
"Back","Voltar"
"Back to My Reviews","Voltar para as minhas avaliações"
"Back to Product Reviews","Voltar para as Avaliações do Produto"
"Be the First to Review","Be the First to Review"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Cancel","Cancelar"
"Catalog Product Review View","Catalog Product Review View"
"Close","Fechar"
"Created On","Criada Em"
"Customer","Cliente"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Avaliações dos Clientes"
"Customers Reviews","Customers Reviews"
"Delete","Eliminar"
"Delete Review","Apagar Avaliação"
"Detailed Rating","Avaliação detalhada"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Convidado"
"ID","Id."
"Manage Ratings","Gerir Classificações"
"My Product Reviews","Minhas Avaliações de Produto"
"My Recent Reviews","Minhas classificações recentes"
"Name","Nome"
"Name in Store","Name in Store"
"New Review","Nova análise"
"Nickname","Pseudónimo"
"Nickname can't be empty","Nickname can't be empty"
"Not Approved","Não aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Pendente"
"Pending Reviews","Avaliações pendentes"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a rating for each category","Please select a rating for each category"
"Posted By","Posted By"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Classificação do Produto"
"Product Rating:","Classificação do Produto:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Avaliação do Produto"
"Product SKU","Product SKU"
"Products Reviews","Products Reviews"
"Qty","Qtd"
"Rating:","Rating:"
"Review","Avaliação"
"Review (submitted on %s):","Review (submitted on %s):"
"Review can't be empty","Review can't be empty"
"Review Details","Rever Detalhes"
"Review Form Fields Before","Review Form Fields Before"
"Reviews","Avaliações"
"Reviews and Ratings","Reviews and Ratings"
"Review summary can't be empty","Review summary can't be empty"
"Save Review","Guardar análise"
"SKU","REF"
"Status","Estado"
"Submit Review","Enviar avaliação"
"Summary","Resumo"
"Summary of Review","Resumo de análise"
"Summary Rating","Resumo da Avaliação"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Unable to post the review."
"Update Status","Estado da Atualização"
"View All Reviews","View All Reviews"
"View Details","Ver Detalhes"
"Visible In","Visible In"
"Websites","Sites"
"Write a Review","Write a Review"
"You're reviewing:","Está a avaliar:"
"You have submitted no reviews.","Ainda não enviou classificações."
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
