"Add","Adicionar"
"ALL","TODOS"
"ANY","QUALQUER"
"Apply","Aplicar"
"by","por"
"Conditions Combination","Combinação de Condições"
"contains","contém"
"Customer Groups must be specified.","Os Grupos de Clientes devem ser especificados."
"does not contain","não contém"
"End Date must be greater than Start Date.","Data de Fim deve ser superior à Data de Início."
"equals or greater than","superior ou igual a"
"equals or less than","inferior ou igual a"
"FALSE","FALSO"
"from","de"
"greater than","superior a"
"If %s of these conditions are %s:","Se %s dessas condições forem %s:"
"Invalid discount amount.","Montante de desconto inválido."
"is","está"
"is not","não está"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","inferior a"
"Open Chooser","Abrir o Seletor"
"Perform following actions","Executar a sequência de acções"
"Please choose a condition to add...","Escolha uma condição para adicionar..."
"Please choose an action to add...","Selecione uma ação para adicionar..."
"Remove","Eliminar"
"There is no information about associated entity type ""%s"".","Não há informações sobre o tipo de entidade associada ""%s""."
"to","para"
"TRUE","VERDADEIRO"
"Websites must be specified.","Os sites devem ser especificados."
