"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package."
"-- Please Select --","-- Por favor, selecione --"
"1 Day Freight","Frete de 1 dia"
"2 Day","2 Dias"
"2 Day AM","2º Dia de Manhã"
"2 Day Freight","Frete de 2 dias"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Frete de 3 dias"
"3 Day Select","3 Day Select"
"Access ID","ID de Acesso"
"Account ID","ID da conta"
"Account Number","Número de Conta"
"Account Number","Número de Conta"
"Adult","Adulto"
"Adult Signature Required","Adult Signature Required"
"Allowed Methods","Métodos Permitidos"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"API Environment","API Environment"
"Authentication error","Authentication error"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Central de Serviços Comerciais"
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Centimeters","Centímetros"
"Client ID","Client ID"
"Client ID (Consumer Key)","Client ID (Consumer Key)"
"Client Secret","Client Secret"
"Client Secret (Consumer Secret)","Client Secret (Consumer Secret)"
"cm","cm"
"Commercial","Commercial"
"Configuration","Configuração"
"Container","Container"
"Content Type","Content Type"
"CRID (Customer Registration ID)","CRID (Customer Registration ID)"
"Customer Packaging","Customer Packaging"
"Customer services","Customer services"
"Customer Supplied Package","Customer Supplied Package"
"Debug","Depurar"
"Delivery Confirmation","Delivery Confirmation"
"Depth","Profundidade"
"Destination Type","Destination Type"
"Development","Desenvolvimento"
"DHL","DHL"
"DHL service is not available at %s date","O serviço DHL não está disponível na data %s"
"Direct","Direto"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Divide Order Weight","Dividir o Peso da Encomenda"
"Documents","Documentos"
"Domestic economy select","Seleção de economia doméstica"
"Domestic express","Expresso nacional"
"Drop Box","Caixa de Depósito"
"Dropoff","Entrega"
"Easy shop","Compra fácil"
"Economy select","Seleção de economia"
"Empty response","Sem resposta"
"Enabled for Checkout","Ativado para Finalizar Compra"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enables/Disables SSL verification of Maho server by UPS.","Enables/Disables SSL verification of Maho server by UPS."
"Enable SSL Verification","Enable SSL Verification"
"Enable to receive discounted commercial rates instead of retail counter pricing. Recommended for online label printing.","Enable to receive discounted commercial rates instead of retail counter pricing. Recommended for online label printing."
"EPS (Enterprise Payment System)","EPS (Enterprise Payment System)"
"Error #%s : %s","Error #%s : %s"
"Error reading response from UPS","Error reading response from UPS"
"Europack","Europack"
"Europe First Priority","Envio Prioritário, Europa"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express 9:00","Expresso 09:00"
"Express 10:30","Expresso 10:30"
"Express 12:00","Expresso 12:00"
"Express easy","Express easy"
"Express envelope","Envelope Expresso"
"Express Saver","Express Saver"
"Express worldwide","Express mundial"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","Caixa 10kg FedEx"
"FedEx 25kg Box","Caixa 25kg FedEx"
"FedEx Box","Caixa FedEx"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Tube","Tubo FedEx"
"Field ""%s"" has wrong value.","Field ""%s"" has wrong value."
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Metered Letter","First-Class Mail Metered Letter"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Mail Stamped Letter","First-Class Mail Stamped Letter"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"First Overnight","Envio Noturno Prioritário"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Método Gratuito"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Freight","Frete"
"Freight worldwide","Transporte internacional"
"Gateway REST URL","Gateway REST URL"
"Gateway URL","URL do Gateway"
"Gift","Gift"
"Girth","Largura"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Terrestre"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Processamento Aplicado"
"Handling Fee","Taxa de Processamento"
"Height","Altura"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Entrega ao Domicílio"
"Hub ID","ID do Hub"
"inch","polegada"
"Inches","Polegadas"
"Indirect","Indireto"
"International Economy","Internacional económico"
"International First","Internacional Primeira"
"International Ground","Terrestre, Internacional"
"International Priority","Internacional Prioritário"
"Intl Economy Freight","Frete Económico Internacional"
"Intl Priority Freight","Frete Prioritário Internacional"
"Jetline","Jetline"
"Jumbo box","Caixa grande"
"Key","Chave"
"Kilograms","Quilogramas"
"Large","Large"
"Large Express Box","Large Express Box"
"Length","Comprimento"
"Letter","Letter"
"Library Mail Parcel","Library Mail Parcel"
"Live","Tempo real"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote (Por favor contacte a sua transportadora para saber qual o peso máximo suportado)"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Medical express"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter Number","Número do Contador"
"Method toOptionArray not found in source model.","Method toOptionArray not found in source model."
"MID (Mailer ID)","MID (Mailer ID)"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Mode","Modo"
"National Freight","Frete Nacional"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Não"
"No label data received from USPS","No label data received from USPS"
"Non-rectangular","Non-rectangular"
"Non Documents","Não Documentos"
"Non documents","Não documentos"
"None","Nenhum"
"No packages for request","Não há requisições de pacotes"
"Not Required","Não Necessário"
"Order","Encomenda"
"Order #%s","Order #%s"
"Origin of the Shipment","Origin of the Shipment"
"Other","Outro(s)"
"Others","Outros"
"Package","Pacote"
"Packages Request Type","Tipo de Pedido de Pacotes"
"Packaging","Acondicionamento"
"PAK","PAK"
"Pallet","Palete"
"Parcel","Parcel"
"Password","Palavra-passe"
"Payment account configuration is incomplete. Please configure Account Type, Account Number, CRID, and MID in System > Configuration > USPS.","Payment account configuration is incomplete. Please configure Account Type, Account Number, CRID, and MID in System > Configuration > USPS."
"Payment Account Number","Payment Account Number"
"Payment Account Type","Payment Account Type"
"PERMIT","PERMIT"
"Permit ZIP Code","Permit ZIP Code"
"Pickup Method","Pickup Method"
"Please, specify origin country","Please, specify origin country"
"Please make sure to use only digits here. No dashes are allowed.","Por favor certifique-se que apenas usa dígitos neste campo. Não são permitidos hífens."
"Pounds","Libras"
"Priority Mail","Correio Prioritário"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
