"%s message(s) discarded.","%s mensagem(ns) descartadas."
"%s message(s) re-queued.","%s mensagem(s) novamente na fila."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s mensagem(ns) foram ignoradas: somente mensagens falhadas ou travadas sem uma nova cópia da chave deduzir podem ser recuperadas."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","As mensagens de fila %s foram reivindicadas por um trabalhador que nunca terminou. Elas não são re-enfileiradas automaticamente: <a href=""%s"">tente ou descarte-as</a>."
"0 keeps failed messages forever.","0 mantém mensagens falhadas para sempre."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 remove mensagens imediatamente após o sucesso; um valor positivo as mantém visíveis na grade para este número de dias."
"Action","Acão"
"Available","Disponível"
"Available (UTC)","Disponível (UTC)"
"Back","Anterior"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Processamento de mensagens em segundo plano. Maho Cron mantém um trabalhador destacado ""fila:work"" executando por pool: um trabalhador ""rápido"" tão curtos trabalhos nunca na fila atrás dos longos, mais um catch-all ""lento"" começou apenas quando ele tem um trabalho. Ambos são respawnados dentro de um minuto se morrerem. Pools são declarados em config.xml sob global/fila/fila/pools."
"Body (serialized)","Corpo (serializado)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Concluído"
"Discard","Descartar"
"Discard Messages","Descartar Mensagens"
"Each retry waits this many times longer than the previous one.","Cada tentativa espera isso muitas vezes mais longo do que o anterior."
"Error","ERRO"
"Failed","Falhou"
"Failed messages are retried this many times with exponential backoff, then marked failed.","As mensagens falhadas são tentadas várias vezes com um retorno exponencial, então o erro foi marcado."
"ID","ID"
"Initial Retry Delay (seconds)","Atraso da Retentativa Inicial (segundos)"
"Keep Completed Messages (days)","Manter mensagens concluídas (dias)"
"Keep Failed Messages (days)","Manter Mensagens Falhadas (dias)"
"Max Retries","Máximo de buscas"
"Max Retry Delay (seconds)","Atraso máximo de repetição (segundos)"
"Message","mensagem"
"Message #%s","Mensagem #%s"
"Message Class","Message Class"
"Message Details","Detalhes da Mensagem"
"Message discarded.","Mensagem descartada."
"Message not found.","Mensagem não encontrada."
"Message Queue","Fila de mensagens"
"Message re-queued.","Mensagem novamente na fila."
"Pending","PENDENTE"
"Permanently delete the selected messages?","Excluir permanentemente as mensagens selecionadas?"
"Permanently delete this message?","Excluir permanentemente esta mensagem?"
"Processed (UTC)","Processado (UTC)"
"Processing","Processando"
"Queue","Fila"
"Queued","Enfileirado"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Re-enfileirar as mensagens selecionadas?"
"Re-queue this message?","Re-enfileirar esta mensagem?"
"Retries","Tentativas"
"Retry","Repetir"
"Retry Delay Multiplier","Multiplicador de Atraso Retentar"
"Retry Messages","Repetir Mensagens"
"Status","SItuação"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","A mensagem não foi tentada: apenas mensagens falhadas ou travadas sem uma cópia mais recente da sua chave de dedução podem ser recuperadas."
"Upper bound for the backoff. 0 means no bound.","Limite superior para o backoff. 0 significa não vinculado."
"View","Visualizar"
"View Messages","Ver mensagens"
