"Actions","Actiuni"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Sunteți sigur?"
"critical","critic"
"Date Added","Data Adăugării"
"Last Update","Ultima actualizare"
"major","major"
"Mark as Read","Marchează ca Citit"
"Mark as read","Mark as read"
"Message","Mesaj"
"Messages Inbox","Mesaje"
"minor","minor"
"notice","înștiințare"
"Notifications","Notificări"
"Please select messages.","Vă rugăm selectați mesajele."
"Read Details","Citire detalii"
"Remove","Ștergeți"
"Severity","Severitate"
"Show List","Arată lista"
"Show Toolbar","Arată bara de instrumente"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","Mesajul a fost șters."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Frecvența de actualizare"
"Wrong message type","Tipul de mesaj este greșit"
