"%s role is a special one and can't be changed.","Rolul %s este unul special și nu poate fi schimbat."
"%s role is a special one and can't be deleted.","Rolul %s este special și nu poate fi șters."
"%s role is protected.","Rolul %s este protejat."
"ACL Attribute Rules","Reguli atribute ACL"
"ACL Attributes Information","Informații atribute ACL"
"Add","Adăugare"
"Add Admin Role","Adaugă rol admin"
"Add New Role","Adaugă rol nou"
"Address Type","Tip de adresă"
"Admin","Admin"
"Allow","Permite"
"An error occurred while deleting the role.","A aparut o eroare la stergerea rolului."
"An error occurred while saving attribute rules.","A apărut o eroare la salvarea regulilor de atribuire."
"An error occurred while saving role.","A aparut o eroare la salvarea rolului."
"Api Rules Information","Informații Api Reguli"
"Assigned","Atribuit"
"Associate to Website","Asociat la website"
"Attribute Rules Information","Informații reguli de atribute"
"Attributes","Atribute"
"Attribute Set","Set de atribute"
"Automatically Return Credit Memo Item to Stock","Returnează automat nota de credit în stoc"
"Back","Înapoi"
"Backorders","Backcomenzi"
"Base Currency","Moneda de bază"
"Base Customer Balance","Soldul de bază al clientului"
"Base Discount","Reducere de bază"
"Base Discount Amount","Sumă reducere de bază"
"Base Item Subtotal","Subtotal articol de bază"
"Base Item Subtotal Including Tax","Subtotal articol de bază cu impozit"
"Base Original Price","Preț inițial de bază"
"Base Price","Preț de bază"
"Base Price Including Tax","Preț de bază cu TVA"
"Base Shipping","Livrare de bază"
"Base Shipping Discount","Reducere de bază pentru livrare"
"Base Shipping Tax","Taxa de baza pentru livrare"
"Base Subtotal","Subtotal bază"
"Base Subtotal Including Tax","Subtotal TVA inclusiv impozit"
"Base Tax Amount","Valoare impozit de bază"
"Base Total Due","Total de bază datorat"
"Base Total Paid","Total de bază plătit"
"Base Total Refunded","Total de bază rambursat"
"Buy Now URL","Cumpără acum URL"
"Can Be Divided into Multiple Boxes for Shipping","Poate fi împărțit în cutii multiple pentru livrare"
"Canceled Qty","Cantitate anulată"
"Catalog","Catalog"
"CatalogInventory","Inventar Catalogic"
"Catalog Product","Produs Catalog"
"Category ID","ID Categorie"
"City","Oraș"
"Company","Companie"
"Country","Țară"
"Coupon Code","Cod cupon"
"Create","Crează"
"Created From","Creat de la"
"Create Permanent Redirect for old URL","Creați Redirecționare permanentă pentru URL-ul vechi"
"Customer","Client"
"Customer Address","Adresă client"
"Customer Address ID","ID Adresă client"
"Customer Balance","Sold Client"
"Customer First Name","Prenume Client"
"Customer ID","ID client"
"Customer Last Name","Nume client"
"Customer Middle Name","Numele mijlociu al clientului"
"Customer Prefix","Prefix client"
"Customer Suffix","Sufix client"
"Default Image","Imagine implicită"
"Delete","Ștergere"
"Deny","Refuză"
"Disable automatic group change based on VAT ID","Dezactivați modificarea automată a grupului în funcție de ID-ul TVA"
"Discount","Reducere"
"Discount Amount","Sumă reducere"
"Discount Description","Descriere reducere"
"Edit","Editare"
"Edit %s ACL attribute rules","Editează regulile de atribut %s ACL"
"Edit attribute rules for %s Role","Editează regulile atributelor pentru Rol %s"
"Edit Role","Editează Rol"
"Email","E-mail"
"Enable Qty Increments","Activare Creștere Cantitate"
"Exclude","Excludere"
"File Content","Conținut fișier"
"File MIME Type","Tip fișier MIME"
"File Name","Numele fișierului"
"Final Price Without Tax","Preț final fără TVA"
"Final Price With Tax","Preț final cu TVA"
"First Name","Prenume"
"Gift Message","Mesaj cadou"
"Grand Total","Total general"
"Grand Total to Be Charged","Total general de încărcat"
"Group","Grup"
"Guest","Vizitator"
"Has Custom Options","Are opțiuni personalizate"
"ID","ID"
"Inventory Data","Date de inventar"
