"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Adăugare cantitate minimă"
"Allow Qty Below 0","Acceptați cantitate sub 0"
"Allow Qty Below 0 and Notify Customer","Acceptați cantitate sub 0 și notifică clientul"
"Automatically Return Credit Memo Item to Stock","Returnați automat aticolul notă de credit în stoc"
"Backorders","Comenzi în așteptare"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Scădeți din stoc la plasarea comenzii"
"Display Out of Stock Products","Afișați produsele epuizate din stoc"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Activați creșteri cantitate"
"Index Product Stock Status","Index Product Stock Status"
"In Stock","în stoc"
"Inventory","Inverntar"
"Inventory API","Inventory API"
"Manage Stock","Gestionare stoc"
"Maximum Qty Allowed in Shopping Cart","Cantitate maximă admisă în coșul de cumpărături"
"Minimum Qty","Cantitate minimă"
"Minimum Qty Allowed in Shopping Cart","Cantitate minimă admisă în coșul de cumpărături"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Nici o comandă în așteptare"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Only %s left","Only %s left"
"Only X left Threshold","Prag doar X articole rămase"
"Out of Stock","Epuizat din stoc"
"Product Name","Nume produs"
"Product Stock Options","Opțiuni stoc produs"
"Products will still be shown by direct product URLs.","Produsele vor fi afișate prin URL-uri directe produs"
"Qty","Cantitate"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Creșteri cantitate"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Rule price"
"Set Items' Status to be In Stock When Order is Cancelled","Setați statusul articolelor ca fiind în Stoc la anularea comenzii"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products are not available","Some of the products are not available"
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Opțiuni stoc"
"Stock Status","Stock Status"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The stock item for Product in option is not valid.","Articolul din stoc pentru Produsul din opțiune nu este valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","This product is currently out of stock."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"This product with current option is not available","This product with current option is not available"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Undefined product type.","Undefined product type."
"Update","Actualizare"
"Update product stock data","Update product stock data"
"Update the Product","Update the Product"
