"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Excl. Tax)","(fără taxe incluse)"
"(Incl. Tax)","(cu taxe incluse)"
"* Required Fields","* Câmpuri obligatorii"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Additional Product Info","Additional Product Info"
"Add New Address","Adăugați o adresă nouă"
"Add New Condition","Add New Condition"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Address","Adresa"
"Add to Cart","Adaugă în coș"
"Add to Compare","Adaugă la comparație"
"Add to Wishlist","Adaugă la lista dorinţelor"
"After Adding a Product Redirect to Shopping Cart","Redirecționare la coșul de cumpărături după adăugarea unui produs"
"Allow Guest Checkout","Permiteți Checkout Vizitatori"
"An error occurred. Please try again.","An error occurred. Please try again."
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while placing your order. Please try again.","An error occurred while placing your order. Please try again."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply","Aplicare"
"Applying...","Applying..."
"Are you sure you would like to remove this item from the shopping cart?","Sigur doriți să eliminați acest articol din coșul de cumpărături?"
"Back","înapoi"
"Billing Address","Adresă facturare"
"Billing Information","Informații facturare"
"Cancel","Anulează"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot configure product.","Cannot configure product."
"Cannot process the item.","Cannot process the item."
"Can not remove the item.","Can not remove the item."
"Cannot remove the item.","Cannot remove the item."
"Can not save item.","Can not save item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Referință vizuală număr verificare card"
"Cart","Cart"
"Cart Item Counter","Cart Item Counter"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Cart Subtotal:"
"Change","Modifică"
"Change Billing Address","Schimbați adresa principală de factuare"
"Checkbox Text","Checkbox Text"
"Checkout","Finalizare comandă"
"Checkout Conditions","Condiții de finalizare a comenzii"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Options","Opțiuni Checkout"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Terms and Conditions","Termenii și condițiile comenzii"
"City","Oraș"
"Clear Shopping Cart","Golește coșul de cumpărături"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","închideți"
"Company","Companie"
"Condition Name","Condition Name"
"Configurable Product Image","Imagine produs configurabilă"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirmați parola"
"Content","Conținut"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continuați"
"Continue Shopping","Continuați cumpărăturile"
"Controls how the item count is calculated in the cart icon badge.","Controls how the item count is calculated in the cart icon badge."
"Count Method","Count Method"
"Country","Țară?"
"Coupon:","Coupon:"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was removed.","Coupon code was removed."
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer's information","Customer's information"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Informații client"
"Delete Condition","Delete Condition"
"Details","Detalii"
"Disabled","Dezactivat"
"Discount code or gift card","Discount code or gift card"
"Discounts","Discounts"
"Display number of items in wishlist","Display number of items in wishlist"
"Displays all checkout steps on a single page in a 2-column layout","Displays all checkout steps on a single page in a 2-column layout"
"Edit","Editare"
"Edit Address","Editati adresa"
"Edit Condition","Editați condiția"
"Edit item parameters","Modificați parametri articole"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Email Address","Adresa Email "
"Empty Shopping Cart Content Before","Empty Shopping Cart Content Before"
"Enabled","Activat"
"Enable One-Step Checkout","Enable One-Step Checkout"
"Enable Onepage Checkout","Activați Pagină Unică Checkout"
"Enable Terms and Conditions","Activează Termenii și Condițiile"
"Enter discount code","Introduceți cod reducere"
"Enter promo code","Enter promo code"
"Estimate","Estimate"
"Estimate Shipping and Tax","Estimare livrare și taxe"
"Excl. Tax","Cără taxe incluse"
"Fax","Fax"
"Forgot your password?","Forgot your password?"
"Get list of available payment methods","Get list of available payment methods"
