"* Required Fields","* Câmpuri obligatorii"
"Auto Reply","Auto Reply"
"Comment","Comentariu"
"Contact Form","Contact Form"
"Contact Form Auto Reply","Contact Form Auto Reply"
"Contact Information","Informații de contact."
"Contacts","Contacte"
"Contact Us","Contactați-ne"
"Contact Us Form","Contact Us Form"
"Email","Email"
"Email Options","Opțiuni Email"
"Email Sender","Expeditor e-mail"
"Email Template","Șablon e-mail"
"Enable Auto Reply","Enable Auto Reply"
"Enable Contact Us","Activați Contactați-ne"
"Invalid Form Key. Please submit your request again.","Invalid Form Key. Please submit your request again."
"Name","Nume"
"Send Emails To","Trimiteți Email către"
"Submit","Trimiteți"
"Telephone","Telephone"
"Unable to submit your request. Please try again later","Unable to submit your request. Please try again later."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
