"Add","Adăugare"
"Add New Row","Adăugați rând nou"
"Add links and samples to downloadable product","Adăugare legături și mostre la produs descărcabil"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Caractere alfanumerice, linie de underscore și caracter de subliniere sunt recomandate pentru nume de fișiere. Caracterele necorespunzătoare sunt înlocuite cu '_'."
"An error occurred while getting the requested content.","Eroare la obținerea conținutului cerut."
"An error occurred while getting the requested content. Please contact the store owner.","Eroare la obținerea conținutului cerut. Contactați proprietarul magazinului."
"An error occurred while saving the file(s).","Eroare la salvarea fișierului(fișierelor)."
"Availability:","Disponibilitate:"
"Back","înapoi"
"Canceled","Anulat"
"Cannot connect to remote host, error: %s.","Nu se poate conecta la gazda remote, eroare: %s."
"Catalog Product View (Downloadable)","Vizualizare Produs Catalog (Descărcabil)"
"Category API","API Categorie"
"Customer My Account Downloadable Items","Articole Descărcabile Contul Meu Client"
"Date","Dată"
"Default Link Title","Titlu Implicit Legătură"
"Default Maximum Number of Downloads","Număr Maxim Implicit de Descărcări"
"Default Sample Title","Titlu Implicit Mostră"
"Delete","Șterge"
"Disable Guest Checkout if Cart Contains Downloadable Items","Dezactivare Finalizare Comandă Vizitator dacă Coșul Conține Articole Descărcabile"
"Disable Sample","Disable Sample"
"Downloadable Information","Informație Descărcabilă"
"Downloadable Product","Produs Descărcabil"
"Downloadable Product Options","Opțiuni Produs Descărcabil"
"Edit","Editare"
"Edit item parameters","Modificați parametri articole"
"Excl. Tax","Cără taxe incluse"
"File","Fişier"
"File:","File:"
"From:","De la:"
"Gift Message","Mesaj-cadou"
"Go to <a href=""%s"">My Downloadable Products</a>","Mergeți la <a href=""%s"">Produsele mele Descărcabile</a>"
"Guest checkout will only work with shareable.","Finalizarea comenzii pentru vizitatori va funcționa doar pentru produse partajabile."
"In stock","In stoc"
"Incl. Tax","Includere taxe"
"Invalid download URL host.","Gazdă URL descărcare invalidă."
"Invalid download URL scheme.","Schemă URL descărcare invalidă."
"Invalid download link type.","Tip legătură descărcare invalidă."
"Invoiced","Facturat"
"Links can be purchased separately","Legătura poate fi achiziționată separat"
"List","Listă"
"Max. Downloads","Nr. max. Descărcări"
"Message:","Mesaj:"
"Move","Mutare"
"Move to wishlist","Mută în lista de dorințe"
"My Downloadable Products","Produsele Mele Descărcabile"
"Open Links in New Window","Deschidere Legături în Fereastră Nouă"
"Order #","Comanda #"
"Order Item Status to Enable Downloads","Status Articol Comandă pentru Activarea Descărcării"
"Order id cannot be null","Id-ul comenzii nu poate fi nul"
"Order item id cannot be null","Id-ul articolului de comandă nu poate fi nul"
"Ordered","Comandat"
"Out of stock","Stoc epuizat"
"Pending","în așteptare"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Logați-vă pentru a vă descărca produsul sau achiziția <a href=""%s"">%s</a>."
"Please log in to download your product.","Logați-vă pentru a descărca produsul."
"Please set resource file and link type.","Vă rugăm setați fișierul resursă și tipul legăturii."
"Please specify product link(s).","Specificați legătura(ile) produsului."
"Price","Preț"
"Product downloadable links","Legături produs descărcabil"
"Qty","Cantitate"
"Refunded","Restituit"
"Remaining Downloads","Descărcări Rămase"
"Remove","Ștergeți"
"Remove Item","Eliminare Articol"
"Remove links and samples from downloadable product","Eliminare legături și mostre de la produsul descărcabil"
"Requested link does not exist.","Legătura solicitată nu există."
"Retrieve links and samples list from downloadable product","Recuperare listă legături și mostre pentru produsul descărcabil"
"SKU","Unitate de înmagazinare"
"Sample","Mostră"
"See price before order confirmation.","Vizualizare preț înaintea confirmării comenzii."
"Shareable","Partajabil"
"Shipped","Livrat"
"Sorry, there was an error getting requested content. Please contact the store owner.","Ne pare rău, a existat o eroare la obținerea conținutului solicitat. Vă rugăm contactați proprietarul magazinului."
"Sort Order","sortați comanda"
"Start Download","Pornire Descărcare"
"Status","Statut"
"Subtotal","Subtotal"
"The file does not exist.","Fișierul nu există."
"The link has expired.","Legătura a expirat."
"The link is not available.","Legătura nu este disponibilă."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Există fișiere care au fost selectate dar nu au fost încărcate încă. Vă rugăm întâi să le încărcați sau sa le eliminați"
"Title","Titlu"
"To:","Către:"
"U","Ți"
"URL:","URL:"
"Unlimited","Nelimitat"
"Update","Actualizare"
"Use Content-Disposition","Utilizare Dispunere-Conținut"
"Use Default Value","Folosiți valoare implicită"
"View Order","Vizualizează comanda"
"What's this?","Ce este aceasta?"
"You have not purchased any downloadable products yet.","Nu ați achiziționat niciun produs descărcabil încă."
"attachment","atașament"
"download","descărcare"
"inline","în linie"
"sample","mostră"
