"(Optional. Leave blank for no prefix)","(Opțional. Lăsați necompletat pentru a nu seta prefix)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Calea suplimentară adăugată după Adresa de Bază URL pentru a accesa panoul de Administrare (de exemplu, admin, backend, control etc)."
"Admin","Admin"
"Admin Path","Cale Admin"
"Base URL","URL de bază"
"Complete","Complete"
"Configuration","Configurație"
"Confirm Password","Confirmați parola"
"Continue","Continuați"
"Create Admin Account","Creare Cont Administrare"
"Creating Your Admin Account","Creating Your Admin Account"
"Database","Bază de date"
"Database Connection","Conexiune Bază de Date"
"Database connection error.","Eroare conexiune bază de date."
"Database File Path","Database File Path"
"Database host","Gazdă bază de date"
"Database Name","Nume Bază de Date"
"Database Name cannot be empty.","Nume Baza de Date nu poate fi gol."
"Database server does not support the InnoDB storage engine.","Serverul bazei de date nu suportă motorul de stocare InnoDB."
"Database Type","Tip Bază de Date"
"Database user name","Nume utilizator bază de date"
"Database user password","Parolă utilizator bază de date"
"Default Currency","Monedă Implicită"
"Download","Descărcați"
"Email","E-mail"
"Email Address","Adresa Email "
"Enable Charts","Activați graficele"
"Ensure the URL ends with a trailing slash (/). For example: %s","Ensure the URL ends with a trailing slash (/). For example: %s"
"File System","Sistem Fișiere"
"First Name","Prenume"
"Get ready to experience Open-Source eCommerce Evolved.","Pregătiți-vă să experimentați Comerțul Electronic Open-Source Evoluat."
"Go to Backend","Mergeți la Backend"
"Go to Frontend","Mergeți la Frontend"
"Host","Gazdă"
"I agree to the above terms and conditions.","Sunt de acord cu termenii și condițiile de mai sus."
"Installation Progress","Installation Progress"
"Installer does not exist for %s database engine","Installer does not exist for %s database engine"
"Installing Maho","Installing Maho"
"Just a moment...","Just a moment..."
"Last Name","Nume"
"License","License"
"Locale","Locală"
"Localization","Localizare"
"Login Information","Informații Logare"
"Maho Installation Wizard","Maho Installation Wizard"
"One of PHP Extensions ""%s"" must be loaded.","Una din Extensiile PHP ""%s"" trebuie încărcate."
"Password","Parolă"
"Password Confirmation","confirmare parolă"
"Passwords do not match.","Passwords do not match."
"Path ""%s"" must be writable.","Calea ""%s"" trebuie să fie inscriptibilă."
"Personal Information","Informații personale"
"PHP extension ""%s"" must be loaded.","Extensia PHP ""%s"" trebuie să fie încărcată."
"PHP Extension '%s' loaded","Extensia PHP '%s' încărcată"
"PHP Extensions ""%s"" must be loaded.","Extensiile PHP ""%s"" trebuie încărcate."
"Please correct the user data and try again.","Corectați datele utilizatorului și încercați din nou."
"Please set all required settings before clicking Continue","Setați toate setările necesare înainte de a apăsa pe Continuare"
"Please wait while we set up your store...","Please wait while we set up your store..."
"Relative path from var/db/ directory, or absolute path, or :memory: for in-memory database","Relative path from var/db/ directory, or absolute path, or :memory: for in-memory database"
"Required Fields","Câmpuri Obligatorii"
"Response from server isn't valid.","Răspunsul de la server nu este valid."
"Run admin interface with SSL","Rulare interfață de administrare cu SSL"
"Save Session Data In","Salvare datele sesiunii în"
"Save Session Files In","Salvare fișierele sesiunii în"
"Secure Base URL","URL de bază sigur"
"Session Storage Options","Opțiuni stocare sesiune"
"Tables Prefix","Prefix Tabele"
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","Prefixul tabelelor trebuie să conțină numai litere (a-z), numere (0-9) sau underscoruri (_), primul caracter trebuie să fie literă."
"The URL ""%s"" is invalid.","URL-ul ""%s"" e invalid."
"The URL ""%s"" is not accessible.","URL-ul ""%s"" nu e accesibil."
"Time Zone","Fus Orar"
"URL must end with a trailing slash (/)","URL must end with a trailing slash (/)"
"User Name","Nume Utilizator"
"Username","Nume utilizator"
"User Password","Parolă utilizator"
"Use Secure URLs (SSL)","Utilizare URL-uri Securizate (SSL)"
"Web Access Options","Web Access Options"
"Welcome to Maho's Installation Wizard","Bun venit în Wizardul de Instalare Maho"
"You're All Set","Totul este pregătit"
"You can specify server port, ex.: localhost:3307<br>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You can specify server port, ex.: localhost:5432","You can specify server port, ex.: localhost:5432"
