"%s %s cycle.","Ciclu %s %s."
"%s (unavailable)","%s (indisponibil)"
"* Required Fields","* Câmpuri obligatorii"
"--Please Select--","--Te rog selectează--"
"3D Secure Card Validation","Validare card 3D securizat"
"<label>Make Check payable to:</label> %s","<label>Fă o verificare plătibilă la:</label> %s"
"Action","Acțiune"
"Add New Restriction","Adaugă Restricție Nouă"
"Allow Initial Fee Failure","Permite Taxa inițială eșuată"
"An internal reference ID is required to save the payment profile.","Un ID intern de referință este necesar pentru a salva profilul de plată."
"Apply the restriction only if the following conditions are met (leave blank for all)","Aplică restricția numai dacă sunt îndeplinite următoarele condiții (lăsați necompletat pentru toți)"
"Are you sure?","Ești sigur?"
"Authorize action is not available.","Acțiunea de autorizare nu este disponibilă."
"Auto Bill on Next Cycle","Facturare automată pe următorul ciclu"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Factura automată a soldului în următorul ciclu de facturare (dacă au fost plăți eșuate)."
"Automatically Invoice All Items","Factura automată toate articolele"
"Bank Transfer Payment","Plata prin transfer bancar"
"Billing Agreement status is not set.","Statusul acordului de facturare nu este stabilit."
"Billing Amount","Suma facturării"
"Billing Frequency","Frecvența de facturare"
"Billing Period","Perioada de facturare"
"Billing Period Unit","Unitate Facturare Perioadă"
"Billing period unit is not defined or wrong.","Unitatea perioadei de facturare nu este definită sau greşită."
"Cannot retrieve the payment info model object.","Nu se poate prelua obiectul model info plată."
"Cannot retrieve the payment information object instance.","Nu se poate prelua instanța obiectului cu informații de plată."
"Cannot retrieve the payment method code.","Nu se poate prelua codul metodei de plată."
"Cannot retrieve the payment method model object.","Nu se poate prelua obiectul model metodă de plată."
"Capture action is not available.","Captura de acțiune nu este disponibilă."
"Card Verification Number","Număr verificare card"
"Cart Attribute","Atribut coș"
"Cash On Delivery Payment","Plata la livrare"
"Change status","Schimbă statusul"
"Check / Money Order","Verifică / Comandă Bani"
"Conditions","Condiţii"
"Conditions Combination","Combinatie Conditii"
"Countries","Țări"
"Created At","Creat la"
"Credit Card Number","Număr card de credit"
"Credit card number mismatch with credit card type.","Numărul cardului de credit nu se potrivește cu tipul cărții de credit."
"Credit Card Type","Tipul Cardului de Credit"
"Credit card type is not allowed for this payment method.","Tipul cardului de credit nu este permis pentru această metodă de plată."
"Credit Card Types","Tipuri de card de credit"
"Currency","Monedă"
"Currency code is undefined.","Codul valutei este nedefinit."
"Customer Groups","Grupuri de clienți"
"Customer ID is not set.","ID-ul clientului nu este setat."
"Day","Zi"
"Debug Mode","Mod depanare"
"Delete Restriction","Șterge Restricție"
"Description","Descriere"
"Edit","Editare"
"Edit Restriction","Editează Restricție"
"Edit Restriction '%s'","Editează Restricția '%s'"
"Enabled","Activat"
"equals or greater than","mai mare sau egal cu"
"equals or less than","mai mic sau egal cu"
"Expiration Date","Data expirării"
"FOUND","FOUNDĂ"
"Full name of the person receiving the product or service paid for by the recurring payment.","Numele complet al persoanei care primește produsul sau serviciul plătit de plata repetată."
"General Information","Informaţii generale"
"greater than","mai mare decât"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Dacă %s %s %s pentru o subselecție de articole din coș care se potrivesc cu %s din aceste condiții:"
"If an item is %s in the cart with %s of these conditions true:","Dacă un articol este %s în coș cu %s din aceste condiții adevărate:"
"Incorrect credit card expiration date.","Data de expirare incorectă a cardului de credit."
"Initial Fee","Taxa iniţială"
"Initial non-recurring payment amount due immediately upon profile creation.","Suma iniţială nerecurentă datorată imediat după crearea profilului."
"Instructions","Instrucţiuni"
"Internal Reference ID","ID intern de referință"
"Invalid Credit Card Number","Număr card de credit nevalid"
"is","este"
"is not","nu este"
"Issue Number","Număr problemă"
