"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Rating","Adaugă Evaluare nouă"
"Assigned Options","Opțiuni alocate"
"Be the first to review this product","Fii tu primul(a) care revizuieste acest produs"
"Default Value","Valoare implicită"
"Delete Rating","Șterge evaluarea"
"Edit Rating","Editare evaluare"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Dacă nu specificați un titlu de rating pentru un magazin, va fi folosită valoarea implicită."
"Manage Ratings","Gestionare evaluări"
"New Rating","Evaluare nouă"
"Option Label","Eticheta opţiunii"
"Option Title","Titlu Opțiune"
"Option Title:","Titlul Opțiunii:"
"Please select one of each ratings above","Vă rugăm să selectați una dintre evaluările de mai sus"
"Rating Information","Informații de evaluare"
"Rating isn't Available","Evaluarea nu este disponibilă"
"Rating Name","Nume Evaluare"
"Rating Title","Titlu rating"
"Rating Visibility","Vizibilitate rating"
"Rating with the same title","Evaluare cu același titlu"
"Save Rating","Salvează evaluarea"
"Sort Order","Ordinea de sortare"
"Visible In","Vizibil în"
