"Add","Adăugare"
"ALL","TOT"
"ANY","ORICE"
"Apply","Aplicare"
"by","după"
"Conditions Combination","Combinație Condiții"
"contains","conține"
"Customer Groups must be specified.","Grupurile de Clienți trebuie să fie specificate."
"does not contain","nu conține"
"End Date must be greater than Start Date.","Data de Final trebuie să fie mai mare decât Data de Start."
"equals or greater than","mai mare sau egal"
"equals or less than","mai mic sau egal"
"FALSE","FALS"
"from","de la"
"greater than","mai mare"
"If %s of these conditions are %s:","Dacă %s din aceste condiții sunt %s:"
"Invalid discount amount.","Sumă discount invalidă."
"is","este"
"is not","nu este"
"is not one of","nu e unul din"
"is one of","e unul din"
"less than","mai mic"
"Open Chooser","Deschidere Selector"
"Perform following actions","Realizare acțiunile următoare"
"Please choose a condition to add...","Alegeți o condiție pentru adăugare..."
"Please choose an action to add...","Alegeți o acțiune pentru adăugare..."
"Remove","Ștergeți"
"There is no information about associated entity type ""%s"".","Nu există nicio informație despre tipul de entitate asociat ""%s""."
"to","la"
"TRUE","ADEVĂRAT"
"Websites must be specified.","Website-urile trebuie să fie specificate."
