"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","Atributul %d Coş Preţ Coş bazat pe ""%s"" a fost dezactivat."
"%s Coupon(s) have been generated","%s Cupoane au fost generate"
"Actions","Acțiuni"
"Active","Activ"
"Add New Rule","Adaugă Regulă Nouă"
"Alphabetical","Alfabetic"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","A apărut o eroare la generarea cupoanelor. Examinați jurnalul și încercați din nou."
"Apply","Aplică"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplica regula numai daca urmatoarele conditii sunt indeplinite (lasati gol pentru toate produsele)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicați regula doar pentru a coșa elementele care corespund următoarelor condiții (lăsați necompletat pentru toate articolele)"
"Apply To","Aplică la"
"Apply to Shipping Amount","Aplică la suma de livrare"
"Are you sure you want to delete the selected coupon(s)?","Sunteţi sigur că doriţi să ştergeţi cupoanele de cupoane selectate?"
"Attribute ""%s"" %s %s %s","Atributul ""%s"" %s %s %s"
"Auto","Automat"
"Auto Generated Specific Coupon Codes","Coduri specifice de cupon generate automat"
"Buy X get Y free (discount amount is Y)","Cumpără X obține Y gratuit (valoarea reducerii este Y)"
"By Fixed value","După valoare fixă"
"By Percentage","După procentaj"
"Can't acquire coupon.","Nu se poate achiziționa cuponul."
"Cart Attribute","Atribut coș"
"Catalog","Catalog"
"Code Format","Formatul codului"
"Code Length","Lungime cod"
"Code Prefix","Prefix cod"
"Code Suffix","Code Suffix"
"Conditions","Condiţii"
"Conditions combination","Combinatie conditii"
"Coupon","Cupon"
"Coupon Code","Cod cupon"
"Coupon Qty","Cantitate Cupon"
"Coupons Information","Informații cupoane"
"Coupon with the same code","Cupon cu acelaşi cod"
"Created On","Creat la"
"Customer Groups","Grupuri de clienți"
"Dash Every X Characters","Dash Every X Character"
"Date Expire","Data expirării"
"Date Start","Data începerii"
"Default Label","Etichetă implicită"
"Default Rule Label for All Store Views","Eticheta standard a regulii pentru toate vizualizările din magazin"
"Description","Descriere"
"Discount Amount","Sumă reducere"
"Discount Qty Step (Buy X)","Pas de reducere (Cumpără X)"
"Edit Rule","Editează Regula"
"Edit Rule '%s'","Modifică Regula '%s'"
"Excluding prefix, suffix and separators.","Excluzând prefixul, sufixul și separatoarele."
"Fixed amount discount","Reducere sumă fixă"
"Fixed amount discount for whole cart","Reducere forfetară pentru întregul coș"
"For matching items only","Numai pentru potrivirea elementelor"
"For shipment with matching items","Pentru livrare cu articole corespunzătoare"
"FOUND","FOUNDĂ"
"Free Shipping","Livrare gratuită"
"From Date","De la data"
"General Information","Informaţii generale"
"Generate","Genereaza"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Dacă %s %s %s pentru o subselecție de articole din coș care se potrivesc cu %s din aceste condiții:"
"If an item is %s in the cart with %s of these conditions true:","Dacă un articol este %s în coș cu %s din aceste condiții adevărate:"
"If empty no separation.","Dacă este gol fără separare."
"If you select and save the rule you will be able to generate multiple coupon codes.","Dacă selectaţi şi salvaţi regula, veţi putea genera mai multe coduri de cupon."
"Inactive","Inactiv"
"is assigned","este atribuit"
"is not assigned","nu este atribuit"
"Item totals are not set for rule.","Totalurile articolului nu sunt setate pentru regulă."
"Labels","Etichete"
"Manage Coupon Codes","Gestionează codurile de cupon"
"Maximum Qty Discount is Applied To","Discount maxim cantitate se aplică la"
"New Rule","Regulă nouă"
"No","Nr"
"No Coupon","Fără cupon"
"NOT FOUND","NU ESTE PLĂTIT"
"NOT LOGGED IN","NU ESTE LOC ÎN"
"Not valid data provided","Nu sunt furnizate date valide"
"Number of Uses","Număr de utilizări"
"Numeric","Numeric"
"Payment Method","Metoda de plată"
"Percent of product price discount","Procentul reducerii prețului produsului"
"Period","Perioadă"
"Price in cart","Preț în coș"
"Priority","Prioritate"
"Product attribute combination","Combinatie atribut produs"
"Products subselection","Subselectie produse"
"Promotions","Promoții"
"Public In RSS Feed","Flux public în RSS"
"Quantity in cart","Cantitate in cos"
"Row total in cart","Total rand in cos"
"Rule Information","Informatii Regula"
"Rule is not defined","Regula nu este definită"
"Rule Name","Numele regulii"
"Sales Discount Amount","Valoare Reducere Vânzări"
"Sales Subtotal Amount","Suma Subtotală Vânzări"
"Sales Total Amount","Suma totală vanzari"
"Save and Continue Edit","Salvează și continuă editarea"
"Shipping Country","Tara de livrare"
"Shipping Method","Metoda de Livrare"
"Shipping Postcode","Cod poștal de livrare"
"Shipping Region","Regiunea de livrare"
"Shipping State/Province","Statul de livrare/provincia"
"Shopping Cart Price Rule","Regulă Preț Coș de Cumpărături"
"Shopping Cart Price Rules","Reguli pret cos cumparaturi"
"Special Price","Preț special"
"Specific Coupon","Cupon specific"
"Status","Status"
"Stop Further Rules Processing","Oprește procesarea altor reguli"
"Store View Specific Labels","Vezi etichete specifice Magazin"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Suma"
"The rule has been deleted.","Regula a fost ștearsă."
"The rule has been saved.","Regula a fost salvată."
"This rule no longer exists.","Această regulă nu mai există."
"Times Used","Oră folosită"
"To Date","Până la data"
"To Fixed Value","Pentru a fixa valoarea"
"To Percentage","La procentaj"
"Total","Total"
"Total Amount","Suma totală"
"total amount","sumă totală"
"Total Items Quantity","Cantitatea totală de articole"
"total quantity","cantitate totală"
"Total Weight","Greutate totală"
"Unable to create requested Coupon Qty. Please check settings and try again.","Imposibil de creat cantitatea de Cupon solicitată. Vă rugăm să verificaţi setările şi să încercaţi din nou."
"Unable to find a rule to delete.","Imposibil de găsit o regulă de șters."
"Update prices using the following information","Actualizează prețurile folosind următoarele informații"
"Update product's %s %s: %s","Actualizare produs %s %s: %s"
"Update the Product","Actualizați produsul"
"Usage limit enforced for logged in customers only","Limita de utilizare impusă doar pentru clienții înregistrați"
"Use Auto Generation","Utilizare generare automată"
"Used","Utilizat"
"Uses per Coupon","Utilizări per cupon"
"Uses per Customer","Utilizări per Client"
"Website","Website"
"Websites","Site-uri"
"Wrong rule specified.","Regulă specificată greșit."
"Yes","Da"
